step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel,inlet_mean_ux,outlet_mean_ux,midplane_mean_ux,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel,max_v,mach_proxy_observed
0,1.0,1.0,1.0,101568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.9999904632568359,1.001660704612732,1.000056153453802,101573.70339399576,5.703393995761871,5.61534538020033e-05,0.0009313106220739318,6.023871268568667e-06,0.0,1.9738331052726537,0.012746391490372686,1.961086713782281,0.9935423154792958,0.0009480807798174035,0.0016421240803232648
10,0.9998908042907715,1.004073977470398,1.0002304814326346,101591.40953814983,23.40953814983368,0.00023048143263462587,0.0020289977674970198,6.377124561878587e-05,0.0,4.308611787496796,0.13492526622996948,4.173686521266826,0.968684747458216,0.0021340066678515617,0.0036962079724096666
15,0.9996539950370789,1.0059630870819092,1.0004933902667512,101618.11266261339,50.112662613391876,0.000493390266751259,0.002976266628845167,0.00019850233216781656,0.0,6.3307130960754066,0.41988627008228735,5.910826825993119,0.9336747276791635,0.003154593417024714,0.005463916075509121
20,0.9993129968643188,1.0080205202102661,1.0008437633138825,101653.6993522644,85.6993522644043,0.0008437633138823674,0.003992523346184304,0.0003922834005354268,0.0,8.507678102257021,0.8295038570253268,7.678174245231694,0.9024993838441929,0.004247327581034356,0.007356587166740122
25,0.9988869428634644,1.0100696086883545,1.0012762936239412,101697.63059079647,129.63059079647064,0.0012762936239413068,0.004985952566092612,0.0006343226133176084,0.0,10.643354811629223,1.3407380338921149,9.302616777737107,0.8740305047025974,0.005337886572342283,0.009245490748336518
30,0.998391330242157,1.0121101140975952,1.0017865345682468,101749.45474302769,181.45474302768707,0.0017865345682467615,0.0059846517832823,0.0009153521873254068,1.831219890259567e-08,12.798019268740049,1.9337792084702843,10.864240060269765,0.8489001174428875,0.006527949058970882,0.011306739439359009
35,0.9978392124176025,1.0141658782958984,1.0023717218505308,101808.89104491472,240.89104491472244,0.0023717218505309,0.006982985657062346,0.0012279282597614108,7.155500777189432e-07,14.95962004988544,2.592698157666328,12.366921892219112,0.8266868978610067,0.007725284137920386,0.013380584629784044
40,0.997241199016571,1.0162193775177002,1.0030292634633338,101875.67623144388,307.676231443882,0.0030292634633337467,0.007980880496974168,0.0015661370680167467,3.9795888649795e-05,17.128029580064535,3.304827474877216,13.823202105187319,0.8070515082059565,0.008922982444460376,0.01545505894885051
45,0.9966054558753967,1.0182766914367676,1.003757308266597,101949.62228602171,381.62228602170944,0.0037573082665968557,0.00897902658447757,0.0019252810885030283,0.0004925075661645637,19.30480160643519,4.060098785980339,15.244702820454853,0.7896845112033206,0.010120246801881883,0.017528781645995865
50,0.9959385395050049,1.0203365087509155,1.004554377734971,102030.57903778553,462.5790377855301,0.004554377734970957,0.009977048406877426,0.002301567473586575,0.0016668318921956719,21.489159502596745,4.850380442206653,16.638779060390092,0.7742871031498215,0.011317384578441765,0.019602285098657617
55,0.9952459335327148,1.022398591041565,1.0054193500754505,102118.43254846334,550.4325484633446,0.005419350075450384,0.010975032743763722,0.0026920052668447684,0.0027619984894612405,23.681339591912383,5.66925715105671,18.01208244085567,0.76060234561254,0.012513610153516047,0.021674208571999573
60,0.9945319294929504,1.024463176727295,1.0063513816429963,102213.09713071585,645.097130715847,0.006351381642996289,0.011973047702060924,0.0030941619885036112,0.0039232842113522525,25.881532505530625,6.511511483185795,19.37002102234483,0.7484108994784466,0.013709564103631482,0.023745661577112203
65,0.9937998056411743,1.0265306234359741,1.0073498516315953,102314.50973051786,746.5097305178642,0.007349851631595229,0.012970966493379895,0.0035061238574335928,0.005150755732901226,28.089507234779514,7.3730361869976715,20.716471047781845,0.7375163570734122,0.014905092127748938,0.025816376856756064
70,0.9930524826049805,1.0286005735397339,1.0084143096766545,102422.62460523844,854.6246052384377,0.008414309676654436,0.013968866083432967,0.003926476263304704,0.006406670677676332,30.30547268588162,8.250789336859768,22.054683349021854,0.7277458951926015,0.01610099777413047,0.02788774619734738
75,0.9922928810119629,1.0306731462478638,1.0095442507472348,102537.39045989513,969.390459895134,0.0095442507472347,0.01496673763301822,0.004361396234232531,0.007700350465774994,32.529450053488866,9.157696353652376,23.37175369983649,0.7184798286293134,0.01729731707473146,0.02995983200806356
