step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.9999867677688599,1.0022146701812744,0.0012638692278414965,0.027744466438889503,0.33395183086395264,0.027744466438889503,0.33395183086395264,0,0.0,3859584,101568,101576.109375,7.984183010396976e-05,0,0,True
10,lightweight_reduction,0.9998467564582825,1.0054357051849365,0.0028449534438550472,0.027673479169607162,0.3350484371185303,0.027673479169607162,0.3350484371185303,0,0.0,3859584,101568,101598.75,0.0003027528355387524,0,0,True
15,lightweight_reduction,0.9995139241218567,1.0079596042633057,0.004205017816275358,0.027599859982728958,0.335888147354126,0.027599859982728958,0.335888147354126,0,0.0,3859584,101568,101636.7734375,0.0006771171776543794,0,0,True
20,lightweight_reduction,0.9990347623825073,1.0107085704803467,0.0056600673124194145,0.027521315962076187,0.3367929756641388,0.027521315962076187,0.3367929756641388,0,0.0,3859584,101568,101686.6875,0.0011685521030245748,0,0,True
25,lightweight_reduction,0.9984352588653564,1.0134488344192505,0.007116746623069048,0.027439013123512268,0.3377037048339844,0.027439013123512268,0.3377037048339844,0,0.0,3859584,101568,101756.25,0.00185343809073724,0,0,True
30,lightweight_reduction,0.9977372884750366,1.0161782503128052,0.00870211236178875,0.027355613186955452,0.33860498666763306,0.027355613186955452,0.33860498666763306,0,0.0,3859584,101568,101832.234375,0.0026015514236767488,0,0,True
35,lightweight_reduction,0.9969594478607178,1.018929362297058,0.010296564549207687,0.027271036058664322,0.33951321244239807,0.027271036058664322,0.33951321244239807,0,0.0,3859584,101568,101933.5234375,0.003598805110861689,0,0,True
40,lightweight_reduction,0.9961158037185669,1.021679401397705,0.011890675872564316,0.027186116203665733,0.340419203042984,0.027186116203665733,0.340419203042984,0,0.0,3859584,101568,102037.15625,0.0046191344714870824,0,0,True
45,lightweight_reduction,0.9952181577682495,1.0244354009628296,0.013483877293765545,0.027101213112473488,0.3413258194923401,0.027101213112473488,0.3413258194923401,0,0.0,3859584,101568,102114.0390625,0.005376093479245432,0,0,True
50,lightweight_reduction,0.994275689125061,1.0271966457366943,0.015076417475938797,0.027016667649149895,0.34223252534866333,0.027016667649149895,0.34223252534866333,0,0.0,3859584,101568,102201.4453125,0.0062366622607514174,0,0,True
55,lightweight_reduction,0.9932958483695984,1.0299627780914307,0.016667533665895462,0.026932701468467712,0.3431394100189209,0.026932701468467712,0.3431394100189209,0,0.0,3859584,101568,102289.09375,0.0070996155285129176,0,0,True
60,lightweight_reduction,0.99228435754776,1.0327342748641968,0.018258078023791313,0.0268495362251997,0.344046413898468,0.0268495362251997,0.344046413898468,0,0.0,3859584,101568,102404.703125,0.00823786158041903,0,0,True
65,lightweight_reduction,0.9912464618682861,1.0355114936828613,0.019848164170980453,0.02676727995276451,0.344953715801239,0.02676727995276451,0.344953715801239,0,0.0,3859584,101568,102534.5234375,0.009516023132285759,0,0,True
70,lightweight_reduction,0.9901853203773499,1.0382946729660034,0.021438727155327797,0.02668612264096737,0.3458613455295563,0.02668612264096737,0.3458613455295563,0,0.0,3859584,101568,102696.8203125,0.011113936599125709,0,0,True
75,lightweight_reduction,0.9891059398651123,1.0410836935043335,0.023030174896121025,0.026606086641550064,0.346769243478775,0.026606086641550064,0.346769243478775,0,0.0,3859584,101568,102873.03125,0.012848842647290486,0,0,True
80,lightweight_reduction,0.9880437850952148,1.041528344154358,0.024193869903683662,0.02652270346879959,0.3470354378223419,0.02652270346879959,0.3470354378223419,0,0.0,3859584,101568,103009.6796875,0.014194231327780403,0,0,True
85,lightweight_reduction,0.9872204065322876,1.040948510169983,0.024349326267838478,0.026490578427910805,0.3468163013458252,0.026490578427910805,0.3468163013458252,0,0.0,3859584,101568,103143.859375,0.015515313632246376,0,0,True
90,lightweight_reduction,0.9866458773612976,1.0410921573638916,0.024605851620435715,0.026373757049441338,0.34686383605003357,0.026373757049441338,0.34686383605003357,0,0.0,3859584,101568,103262.109375,0.016679558276228735,0,0,True
95,lightweight_reduction,0.9863168597221375,1.0408016443252563,0.02496964856982231,0.02615252323448658,0.3467848300933838,0.02615252323448658,0.3467848300933838,0,0.0,3859584,101568,103316.625,0.017216298440453685,0,0,True
