step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
5,0.9999915957450867,1.001660704612732,1.0000561820795006,101573.70630145073,5.70630145072937,5.6182079500722376e-05
10,0.9999023079872131,1.004073977470398,1.000230927757975,101591.45487052202,23.454870522022247,0.00023092775797517177
15,0.9996904134750366,1.0059630870819092,1.0004954740267762,101618.3243059516,50.324305951595306,0.0004954740267761038
20,0.999385416507721,1.0080205202102661,1.0008494076603658,101654.27263724804,86.27263724803925,0.0008494076603658558
25,0.9990040063858032,1.0100696086883545,1.001287984653542,101698.81802529097,130.81802529096603,0.00128798465354212
30,0.9985604882240295,1.0121101140975952,1.0018072141752248,101751.55512934923,183.55512934923172,0.0018072141752247925
35,0.9980666637420654,1.0141658782958984,1.0024046987329187,101812.2404409051,244.24044090509415,0.002404698732918775
40,0.997531533241272,1.0162193775177002,1.0030781387538656,101880.64039695263,312.6403969526291,0.003078138753865677
45,0.9969627261161804,1.0182766914367676,1.0038259211650662,101956.59116089344,388.59116089344025,0.003825921165066165
50,0.9963660836219788,1.0203365087509155,1.0046467615570813,102039.96227782965,471.96227782964706,0.004646761557081434
55,0.9957464933395386,1.022398591041565,1.0055396931671972,102130.65555560589,562.6555556058884,0.005539693167197231
60,0.9951077699661255,1.0244632959365845,1.006504001318305,102228.59840589762,660.5984058976173,0.0065040013183051484
65,0.9944526553153992,1.026530385017395,1.0075391706386752,102333.73848342896,765.7384834289551,0.0075391706386751245
70,0.9937842488288879,1.0286006927490234,1.0086448368955012,102446.03879380226,878.0387938022614,0.008644836895501155
75,0.9931049346923828,1.0306731462478638,1.0098205683606183,102565.45548725128,997.4554872512817,0.009820568360618322
80,0.9924305081367493,1.0327450037002563,1.0110617371190342,102691.51851570606,1123.5185157060623,0.011061737119034168
85,0.9918334484100342,1.0348058938980103,1.0123311434042064,102820.44957327843,1252.4495732784271,0.012331143404206317
90,0.9912758469581604,1.0368435382843018,1.0135233534468313,102941.53996288776,1373.539962887764,0.013523353446831324
95,0.9908086061477661,1.0387611389160156,1.0145758458805783,103048.43951439857,1480.4395143985748,0.014575845880578281
100,0.9906807541847229,1.0404189825057983,1.015527393676519,103145.08632093668,1577.0863209366798,0.01552739367651898
105,0.9907698035240173,1.0401380062103271,1.016325155401012,103226.11338376999,1658.113383769989,0.016325155401012023
110,0.9910719990730286,1.038976788520813,1.0169117184562424,103285.68942016363,1717.6894201636314,0.016911718456242432
115,0.9916425943374634,1.0382699966430664,1.0173249559714057,103327.66112810373,1759.661128103733,0.017324955971405688
120,0.9924114346504211,1.0372875928878784,1.017569856368423,103352.535171628,1784.5351716279984,0.01756985636842311
125,0.9933525323867798,1.0362563133239746,1.017656918372736,103361.37788528204,1793.3778852820396,0.0176569183727359
130,0.994434118270874,1.0351829528808594,1.0175939352024481,103354.98081064224,1786.9808106422424,0.01759393520244804
135,0.9956332445144653,1.034054160118103,1.017386764562592,103333.93890309334,1765.938903093338,0.017386764562591937
140,0.9969282150268555,1.03288996219635,1.0170403770620042,103298.75701743364,1730.7570174336433,0.017040377062004206
145,0.9983017444610596,1.0316898822784424,1.0165585973385132,103249.82361447811,1681.8236144781113,0.016558597338513226
150,0.999740481376648,1.0304607152938843,1.0159445047342155,103187.4514568448,1619.4514568448067,0.015944504734215565
155,1.0012329816818237,1.0292026996612549,1.0152004778821775,103111.882137537,1543.8821375370026,0.015200477882177483
160,1.0027716159820557,1.027900218963623,1.014327990108304,103023.26529932022,1455.265299320221,0.014327990108304003
165,1.0043479204177856,1.0264173746109009,1.0133264492199567,102921.54079437256,1353.5407943725586,0.013326449219956665
170,1.0059503316879272,1.0242377519607544,1.012192791729236,102806.39747035503,1238.3974703550339,0.01219279172923592
175,1.0075621604919434,1.020542860031128,1.01093079896659,102678.21938943863,1110.2193894386292,0.010930798966590157
180,1.0082772970199585,1.015683650970459,1.009579277535749,102540.94806075096,972.9480607509613,0.009579277535749067
185,1.00725519657135,1.0116671323776245,1.0082465812467654,102405.58876407146,837.5887640714645,0.008246581246765364
190,1.0041162967681885,1.012033462524414,1.0070359781583995,102282.63022959232,714.6302295923233,0.007035978158399529
195,1.0014081001281738,1.0130512714385986,1.005931135705979,102170.41359138489,602.4135913848877,0.005931135705979125
200,0.9990734457969666,1.013816475868225,1.004913752414427,102067.08000522852,499.08000522851944,0.004913752414426979
205,0.9970542788505554,1.014379858970642,1.0039824977172063,101972.49432814121,404.49432814121246,0.00398249771720633
210,0.99543297290802,1.0147355794906616,1.0031283562744733,101885.7408900857,317.7408900856972,0.0031283562744732316
215,0.9940803050994873,1.014950156211853,1.0023462782656773,101806.30679088831,238.30679088830948,0.002346278265677275
220,0.992913544178009,1.0150328874588013,1.0016314236214825,101733.70043438673,165.7004343867302,0.001631423621482457
225,0.9918982982635498,1.0150048732757568,1.00097966303482,101667.5024151206,99.50241512060165,0.0009796630348200383
230,0.9910352230072021,1.0148799419403076,1.0003876786652035,101607.37574666739,39.3757466673851,0.00038767866520346075
235,0.990265429019928,1.0146760940551758,0.9998532552489214,101553.09542912245,-14.904570877552032,-0.00014674475107860776
240,0.989590048789978,1.014389991760254,0.9993778005642576,101504.80444771051,-63.19555228948593,-0.0006221994357424182
245,0.9889959096908569,1.0140103101730347,0.9989743895626849,101463.83079910278,-104.1692008972168,-0.0010256104373150678
250,0.9884920120239258,1.0135290622711182,0.998678586566052,101433.78668034077,-134.2133196592331,-0.001321413433948026
