step,lbm_open_boundary_semantics,row_role,step135_interior_reflection_candidate,step136_ramped_throughput_calibration_candidate,step137_ramp_target_refinement_candidate,step134_outlet_stationarity_candidate,step133_mass_damped_candidate,step132_authority_sweep_candidate,open_boundary_flux_control_measure_plane_offset,open_boundary_outlet_flux_drop_guard_enabled,open_boundary_outlet_flux_drop_guard_min_ratio,open_boundary_inlet_ramp_steps,open_boundary_inlet_ramp_profile,open_boundary_inlet_ramp_factor,open_boundary_flux_control_target_scale,target_outlet_flux,outlet_flux_raw_before_correction,outlet_flux_after_correction,outlet_flux_error,outlet_flux_error_filtered,correction_gain_effective,flow_correction_cap_u,correction_delta_abs_sum,correction_delta_abs_sum_run,controller_target_outlet_flux,controller_measured_outlet_flux,controller_raw_flux_error,controller_filtered_flux_error,controller_u_feedback,controller_u_feedback_abs,controller_density_feedback,controller_density_feedback_abs,controller_delta_cap_u,controller_slew_alpha,controller_authority_ratio,controller_saturation_count_step,controller_saturation_count_run,controller_saturation_fraction_run,controller_measure_plane_offset,controller_target_scale,controller_drop_guard_active_step,controller_drop_guard_activation_count_run,controller_drop_guard_activation_fraction_run,controller_drop_guard_reference_flux,controller_true_outlet_flux_for_guard,outlet_plane_ux_min,outlet_plane_ux_max,outlet_plane_ux_mean,outlet_plane_negative_ux_fraction,outlet_plane_rho_mean,outlet_plane_rho_std,midplane_flux,near_outlet_flux_xminus1,near_outlet_flux_xminus2,near_outlet_flux_xminus3,near_outlet_to_outlet_flux_ratio,x_profile_flux_samples,x_profile_ux_mean_samples,x_profile_rho_mean_samples,sampled_x_profile_flux,mass_total_delta_rel,validation_claim_allowed,selected96_claim_allowed
0,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,False,True,False,False,False,2,True,0.7,90,linear,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.5,0.0,0,0,0.0,2,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""0"":0.0,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.0,""45"":0.0,""46"":0.0,""47"":0.0,""6"":0.0}","{""0"":0.0,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.0,""45"":0.0,""46"":0.0,""47"":0.0,""6"":0.0}","{""0"":1.0,""12"":1.0,""18"":1.0,""24"":1.0,""30"":1.0,""36"":1.0,""42"":1.0,""45"":1.0,""46"":1.0,""47"":1.0,""6"":1.0}",0:0;6:0;12:0;18:0;24:0;30:0;36:0;42:0;45:0;46:0;47:0,0.0,False,False
5,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,False,True,False,False,False,2,True,0.7,90,linear,0.05555555555555555,0.8,1.7546809398829195,0.01188500405554595,0.01188500405554595,1.7427959358273735,0.05321676284074783,0.5,0.005,0.08913112431764603,0.15681491792201996,1.2640373706817627,9.155459702014923e-05,1.2639458160847425,0.05321676284074783,8.398797035624739e-06,8.398797035624739e-06,2.5149699212079213e-08,2.5149699212079213e-08,0.0005,0.5,0.0016797594071249478,0,0,0.0,2,0.8,0,0,0.0,1.2640373706817627,0.00531676784157753,4.855958195548737e-06,5.694156243407633e-06,5.616780554200388e-06,0.0,0.9999912829897128,3.908222166360285e-08,0.0,0.0027593225564890717,0.0004067681737448028,7.534958263088943e-05,0.2321684152224986,"{""0"":2.193351174853649,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.0,""45"":0.0004067681737448028,""46"":0.0027593225564890717,""47"":0.01188500405554595,""6"":0.0}","{""0"":0.0010347002087291225,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.0,""45"":1.9223455425345462e-07,""46"":1.3040302083373203e-06,""47"":5.616780554200388e-06,""6"":0.0}","{""0"":1.001793185963748,""12"":0.9999998807907104,""18"":0.9999998807907104,""24"":0.9999998807907104,""30"":0.9999998807907104,""36"":0.9999998807907104,""42"":0.9999998807907104,""45"":0.9999996502593245,""46"":0.999998059046291,""47"":0.9999912829897128,""6"":0.9999998807907104}",0:2.19335117485;6:0;12:0;18:0;24:0;30:0;36:0;42:0;45:0.000406768173745;46:0.00275932255649;47:0.0118850040555,6.244781003970355e-05,False,False
10,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,False,True,False,False,False,2,True,0.7,90,linear,0.1111111111111111,0.8,3.8313083736561495,0.12631173175811136,0.12631173175811136,3.7049966418980382,0.30355414748191833,0.5,0.005,0.6169980764389038,1.9876326322555542,3.4723451137542725,0.017597757279872894,3.4547473564743996,0.30355414748191833,5.8178018662147224e-05,5.8178018662147224e-05,1.4345660304115881e-07,1.4345660304115881e-07,0.0005,0.5,0.011635603732429445,0,0,0.0,2,0.8,0,0,0.0,3.4723451137542725,0.09069106727838516,4.5971039071446285e-05,6.139528704807162e-05,5.9699716746072296e-05,0.0,0.9998981283664252,9.80098139216592e-08,0.0,0.06862344604425766,0.031178081625079235,0.011188308064884252,0.5432864001553906,"{""0"":4.789135467070187,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.0005449373406347512,""45"":0.031178081625079235,""46"":0.06862344604425766,""47"":0.12631173175811136,""6"":0.08085412779470806}","{""0"":0.002254396047846314,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":2.5753194474160494e-07,""45"":1.4734798072640498e-05,""46"":3.243251186281952e-05,""47"":5.9699716746072296e-05,""6"":3.820878360794579e-05}","{""0"":1.0039496548009055,""12"":0.9999998807907104,""18"":0.9999998807907104,""24"":0.9999998807907104,""30"":0.9999998807907104,""36"":0.9999998807907104,""42"":0.9999995367400814,""45"":0.9999759689339618,""46"":0.9999454176380864,""47"":0.9998981283664252,""6"":1.0000527721384298}",0:4.78913546707;6:0.0808541277947;12:0;18:0;24:0;30:0;36:0;42:0.000544937340635;45:0.0311780816251;46:0.0686234460443;47:0.126311731758,0.0002569111249519356,False,False
15,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,False,True,False,False,False,2,True,0.7,90,linear,0.16666666666666666,0.8,5.630570956694424,0.39296811732827946,0.39296811732827946,5.2376028393661445,0.7033310532569885,0.5,0.005,1.5499742031097412,7.736968994140625,5.251297950744629,0.14706027507781982,5.104237675666809,0.7033310532569885,0.0001461536157876253,0.0001461536157876253,3.3238708851968113e-07,3.3238708851968113e-07,0.0005,0.5,0.029230723157525063,0,0,0.0,2,0.8,0,0,0.0,5.251297950744629,0.32917875051498413,0.00013190867321100086,0.00019489174883347005,0.00018577260548115307,0.0,0.9996776372363302,2.4441081642392877e-07,0.0,0.28449893742746446,0.1920303825635184,0.11777307179328553,0.7239746047636696,"{""0"":7.038213695868029,""12"":0.00020123832003771092,""18"":0.0,""24"":0.0,""30"":0.0,""36"":5.297176488760977e-05,""42"":0.028800027552358796,""45"":0.1920303825635184,""46"":0.28449893742746446,""47"":0.39296811732827946,""6"":1.8486052664433996}","{""0"":0.0033069679671801654,""12"":9.510317631982796e-08,""18"":0.0,""24"":0.0,""30"":0.0,""36"":2.5033918337588364e-08,""42"":1.361090317185233e-05,""45"":9.076578612750179e-05,""46"":0.00013448258356144673,""47"":0.00018577260548115307,""6"":0.0008723205097814333}","{""0"":1.0058139834151603,""12"":0.9999999898874917,""18"":0.9999998807907104,""24"":0.9999998807907104,""30"":0.9999998807907104,""36"":0.9999998807907104,""42"":0.9999778017767886,""45"":0.9998438398024535,""46"":0.9997674144508708,""47"":0.9996776372363302,""6"":1.0014964499861172}",0:7.03821369587;6:1.84860526644;12:0.000201238320038;18:0;24:0;30:0;36:5.29717648876e-05;42:0.0288000275524;45:0.192030382564;46:0.284498937427;47:0.392968117328,0.0005518805679278924,False,False
20,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,False,True,False,False,False,2,True,0.7,90,linear,0.2222222222222222,0.8,7.568242724227251,0.7765429474056038,0.7765429474056038,6.791699776821647,1.22335684299469,0.5,0.005,2.7931058406829834,19.088077545166016,7.183106422424316,0.4263961613178253,6.756710261106491,1.22335684299469,0.00026343841454945505,0.00026343841454945505,5.781460004072869e-07,5.781460004072869e-07,0.0005,0.5,0.05268768290989101,0,0,0.0,2,0.8,0,0,0.0,7.183106422424316,0.691662609577179,0.00024112540995702147,0.00038837757892906666,0.0003672214213587385,0.0,0.999359628400415,4.0438646609914396e-07,0.0,0.6302765517159041,0.49673393710841407,0.37649209964467106,0.8116441644620309,"{""0"":9.460303405284064,""12"":0.09247725680494788,""18"":0.0,""24"":0.0,""30"":1.6987324156225437e-06,""36"":0.0007291436218068575,""42"":0.18108584131285466,""45"":0.49673393710841407,""46"":0.6302765517159041,""47"":0.7765429474056038,""6"":4.563571432424809}","{""0"":0.004436114541737324,""12"":4.3700885086999716e-05,""18"":0.0,""24"":0.0,""30"":8.028036947671324e-10,""36"":3.4458602635436065e-07,""42"":8.559193037569589e-05,""45"":0.00023484727327761616,""46"":0.00029801690775431455,""47"":0.0003672214213587385,""6"":0.0021486168916316065}","{""0"":1.0078312453227594,""12"":1.000065055314895,""18"":0.9999998807907104,""24"":0.9999998807907104,""30"":0.9999998807907104,""36"":0.9999994492204067,""42"":0.999853029790808,""45"":0.9995919092503748,""46"":0.999481201115538,""47"":0.999359628400415,""6"":1.0037602452677454}",0:9.46030340528;6:4.56357143242;12:0.0924772568049;18:0;24:0;30:1.69873241562e-06;36:0.000729143621807;42:0.181085841313;45:0.496733937108;46:0.630276551716;47:0.776542947406,0.00094740771616339,False,False
25,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,False,True,False,False,False,2,True,0.7,90,linear,0.2777777777777778,0.8,9.470065222936652,1.2552978060962126,1.2552978060962126,8.21476741684044,1.8444359302520752,0.5,0.005,4.301095962524414,37.49796676635742,9.089378356933594,0.8192430138587952,8.270135343074799,1.8444359302520752,0.00040566391544416547,0.00040566391544416547,8.716616548554157e-07,8.716616548554157e-07,0.0005,0.5,0.0811327830888331,0,0,0.0,2,0.8,0,0,0.0,9.089378356933594,1.152811884880066,0.0003630650753621012,0.0006280661327764392,0.0005938575572065969,0.0,0.9989616241313108,5.838806708198773e-07,0.0,1.0770657128620091,0.9095529625065163,0.7534737009053138,0.8580160880002823,"{""0"":11.837581528670814,""12"":1.5523258543982563,""18"":0.000785423447532139,""24"":0.0,""30"":0.00013731978995589682,""36"":0.02491739396816501,""42"":0.4783614667949926,""45"":0.9095529625065163,""46"":1.0770657128620091,""47"":1.2552978060962126,""6"":6.784514851898025}","{""0"":0.005539985904637337,""12"":0.000732691814196591,""18"":3.71182940303483e-07,""24"":0.0,""30"":6.489594431642418e-08,""36"":1.1775935743035195e-05,""42"":0.00022615768079314072,""45"":0.0004301684129078602,""46"":0.0005094637058864327,""47"":0.0005938575572065969,""6"":0.0031884530775837905}","{""0"":1.0098109117978462,""12"":1.001244480871298,""18"":1.0000004086974439,""24"":0.9999998807907104,""30"":0.9999997996934645,""36"":0.9999807758401157,""42"":0.999607199869895,""45"":0.9992494599749325,""46"":0.999110096963457,""47"":0.9989616241313108,""6"":1.005594242103609}",0:11.8375815287;6:6.7845148519;12:1.5523258544;18:0.000785423447532;24:0;30:0.000137319789956;36:0.0249173939682;42:0.478361466795;45:0.909552962507;46:1.07706571286;47:1.2552978061,0.0014385169391915268,False,False
30,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,False,True,False,False,False,2,True,0.7,90,linear,0.3333333333333333,0.8,11.38945405501919,1.8109001085020167,1.8109001085020167,9.578553946517173,2.5457448959350586,0.5,0.005,6.018925666809082,64.09551239013672,11.004121780395508,1.3051433563232422,9.698978424072266,2.5457448959350586,0.0005677277222275734,0.0005677277222275734,1.2030931202389183e-06,1.2030931202389183e-06,0.0005,0.5,0.11354554444551468,0,0,0.0,2,0.8,0,0,0.0,11.004121780395508,1.6943901777267456,0.0004903255612589419,0.0009065863559953868,0.0008570999105974577,0.0,0.9984983700153283,7.65974706999808e-07,4.0486454944809376e-05,1.6070569165901831,1.4118646794244119,1.225913737952123,0.8874354300633107,"{""0"":14.236817568773986,""12"":4.336643147044634,""18"":0.09456440798374892,""24"":4.0486454944809376e-05,""30"":0.0007864963270150298,""36"":0.16058399521092237,""42"":0.884653741869716,""45"":1.4118646794244119,""46"":1.6070569165901831,""47"":1.8109001085020167,""6"":9.19589947319041}","{""0"":0.006649653941598881,""12"":0.0020421397284030676,""18"":4.4686996840553955e-05,""24"":1.9133488080303432e-08,""30"":3.716903620040236e-07,""36"":7.590028416638103e-05,""42"":0.00041838384270881493,""45"":0.0006680135643063465,""46"":0.000760491243542136,""47"":0.0008570999105974577,""6"":0.004313111620372433}","{""0"":1.0118120323958153,""12"":1.0035781004027744,""18"":1.0000686092840927,""24"":0.9999998729035173,""30"":0.9999994102351382,""36"":0.9998699773124126,""42"":0.9992703090656007,""45"":0.9988315732751767,""46"":0.9986687245407266,""47"":0.9984983700153283,""6"":1.0075991006677227}",0:14.2368175688;6:9.19589947319;12:4.33664314704;18:0.0945644079837;24:4.04864549448e-05;30:0.000786496327015;36:0.160583995211;42:0.88465374187;45:1.41186467942;46:1.60705691659;47:1.8109001085,0.0020211015921262126,False,False
35,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,False,True,False,False,False,2,True,0.7,90,linear,0.3888888888888889,0.8,13.315751845163215,2.428286235363985,2.428286235363985,10.887465609799229,3.313286304473877,0.5,0.005,7.9104413986206055,99.77330780029297,12.930228233337402,1.866023302078247,11.064204931259155,3.313286304473877,0.000746087753213942,0.000746087753213942,1.565825414218125e-06,1.565825414218125e-06,0.0005,0.5,0.1492175506427884,0,0,0.0,2,0.8,0,0,0.0,12.930228233337402,2.3004372119903564,0.0006178732728585601,0.0012220721691846848,0.0011499034738357819,0.0,0.9979822102420046,9.468130388782562e-07,0.0016394183017860425,2.2034643745678784,1.9858429836707674,1.7758726057848147,0.9074154201749584,"{""0"":16.644689806454018,""12"":6.542371969354929,""18"":1.3211052730244357,""24"":0.0016394183017860425,""30"":0.021861616539153424,""36"":0.44290124606332293,""42"":1.3808999934758561,""45"":1.9858429836707674,""46"":2.2034643745678784,""47"":2.428286235363985,""6"":11.571382551543842}","{""0"":0.007758898249895986,""12"":0.0030752637896498416,""18"":0.0006236724102718774,""24"":7.747716794763198e-07,""30"":1.0331755351666587e-05,""36"":0.00020938687934922578,""42"":0.00065334604409702,""45"":0.0009400379775486586,""46"":0.0010432434534411509,""47"":0.0011499034738357819,""6"":0.005416672148531398}","{""0"":1.0138222541385427,""12"":1.005393215749124,""18"":1.0010543982788835,""24"":1.0000008067471768,""30"":0.9999830992100144,""36"":0.9996366275224433,""42"":0.998857580083079,""45"":0.9983527011084872,""46"":0.9981706231438144,""47"":0.9979822102420046,""6"":1.0095718133427019}",0:16.6446898065;6:11.5713825515;12:6.54237196935;18:1.32110527302;24:0.00163941830179;30:0.0218616165392;36:0.442901246063;42:1.38089999348;45:1.98584298367;46:2.20346437457;47:2.42828623536,0.0026927150905639327,False,False
40,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,False,True,False,False,False,2,True,0.7,90,linear,0.4444444444444444,0.8,15.248932184351169,3.0958272674216705,3.0958272674216705,12.153104916929498,4.134865760803223,0.5,0.005,9.94182300567627,145.46026611328125,14.861444473266602,2.487307548522949,12.374136924743652,4.134865760803223,0.0009377683745697141,0.0009377683745697141,1.9540955236152513e-06,1.9540955236152513e-06,0.0005,0.5,0.1875536749139428,0,0,0.0,2,0.8,0,0,0.0,14.861444473266602,2.9587666988372803,0.0007425979129038751,0.0015643163351342082,0.0014668368225349887,0.0,0.9974226274427259,1.1281038552242246e-06,0.09336881338384619,2.8538141827321537,2.617774354300473,2.388068521674312,0.9218260375065839,"{""0"":19.06116523043896,""12"":8.934448720509714,""18"":4.077344996919878,""24"":0.09336881338384619,""30"":0.14225886197060317,""36"":0.836240082228471,""42"":1.9494100351093147,""45"":2.617774354300473,""46"":2.8538141827321537,""47"":3.0958272674216705,""6"":13.962957384596539}","{""0"":0.008867682389112185,""12"":0.004191384460519126,""18"":0.001920437271760016,""24"":4.4122029277395086e-05,""30"":6.723788771054325e-05,""36"":0.00039547154690787754,""42"":0.0009227636697319634,""45"":0.001239831700230269,""46"":0.0013518930756518202,""47"":0.0014668368225349887,""6"":0.006523342141379833}","{""0"":1.015840846164916,""12"":1.0073804300989682,""18"":1.0033631829548424,""24"":1.0000677537489928,""30"":0.9998851046952048,""36"":0.9993106278895431,""42"":0.9983834039229752,""45"":0.9978240810067082,""46"":0.9976260375323053,""47"":0.9974226274427259,""6"":1.011560711270244}",0:19.0611652304;6:13.9629573846;12:8.93444872051;18:4.07734499692;24:0.0933688133838;30:0.142258861971;36:0.836240082228;42:1.94941003511;45:2.6177743543;46:2.85381418273;47:3.09582726742,0.003451015152361082,False,False
45,regularized_plane_flux_controlled_pressure_outlet,interior_reflection_diagnostic_48,False,False,True,False,False,False,2,True,0.7,90,linear,0.5,0.8,17.19028809727586,3.8039496205837096,3.8039496205837096,13.386338476692151,5.00094747543335,0.5,0.005,12.090182304382324,201.479248046875,16.801471710205078,3.157602071762085,13.643869638442993,5.00094747543335,0.0011403941316530108,0.0011403941316530108,2.363396788496175e-06,2.363396788496175e-06,0.0005,0.5,0.22807882633060217,0,0,0.0,2,0.8,0,0,0.0,16.801471710205078,3.6594767570495605,0.0008625659975223243,0.0019278216641396284,0.0018034290291211834,0.0,0.996827453290357,1.3013987516866711e-06,1.1570431836727684,3.5478472376879564,3.296698626279711,3.050818906764896,0.9326746123266336,"{""0"":21.487860121594824,""12"":11.31069039520588,""18"":6.307243555592433,""24"":1.1570431836727684,""30"":0.4111355503512305,""36"":1.3203679641676076,""42"":2.5762779598190173,""45"":3.296698626279711,""46"":3.5478472376879564,""47"":3.8039496205837096,""6"":16.367724345046273}","{""0"":0.00997671662937209,""12"":0.005295775967407162,""18"":0.0029653191940800863,""24"":0.0005463093420607147,""30"":0.00019436361938568637,""36"":0.0006246751595813594,""42"":0.0012201357469530882,""45"":0.0015622758670113207,""46"":0.0016816488953449434,""47"":0.0018034290291211834,""6"":0.007631732537349534}","{""0"":1.0178693842234368,""12"":1.009353106943556,""18"":1.0051962280318507,""24"":1.0008909722019008,""30"":0.9996660773154693,""36"":0.9989081540889686,""42"":0.997859144509402,""45"":0.9972545992167551,""46"":0.9970433004693408,""47"":0.996827453290357,""6"":1.0135615249437284}",0:21.4878601216;6:16.367724345;12:11.3106903952;18:6.30724355559;24:1.15704318367;30:0.411135550351;36:1.32036796417;42:2.57627795982;45:3.29669862628;46:3.54784723769;47:3.80394962058,0.004294369889689679,False,False
