step,lbm_open_boundary_semantics,row_role,step135_interior_reflection_candidate,step136_ramped_throughput_calibration_candidate,step137_ramp_target_refinement_candidate,step138_high_authority_outlet_candidate,step139_planeflux_final48_candidate,step134_outlet_stationarity_candidate,step133_mass_damped_candidate,step132_authority_sweep_candidate,open_boundary_flux_control_measure_plane_offset,open_boundary_outlet_flux_drop_guard_enabled,open_boundary_outlet_flux_drop_guard_min_ratio,open_boundary_inlet_ramp_steps,open_boundary_inlet_ramp_profile,open_boundary_inlet_ramp_factor,open_boundary_flux_control_target_scale,target_outlet_flux,outlet_flux_raw_before_correction,outlet_flux_after_correction,outlet_flux_error,outlet_flux_error_filtered,correction_gain_effective,flow_correction_cap_u,correction_delta_abs_sum,correction_delta_abs_sum_run,controller_target_outlet_flux,controller_measured_outlet_flux,controller_raw_flux_error,controller_filtered_flux_error,controller_u_feedback,controller_u_feedback_abs,controller_density_feedback,controller_density_feedback_abs,controller_delta_cap_u,controller_slew_alpha,controller_authority_ratio,controller_saturation_count_step,controller_saturation_count_run,controller_saturation_fraction_run,controller_measure_plane_offset,controller_target_scale,controller_drop_guard_active_step,controller_drop_guard_activation_count_run,controller_drop_guard_activation_fraction_run,controller_drop_guard_reference_flux,controller_true_outlet_flux_for_guard,outlet_plane_ux_min,outlet_plane_ux_max,outlet_plane_ux_mean,outlet_plane_negative_ux_fraction,outlet_plane_rho_mean,outlet_plane_rho_std,midplane_flux,near_outlet_flux_xminus1,near_outlet_flux_xminus2,near_outlet_flux_xminus3,near_outlet_to_outlet_flux_ratio,x_profile_flux_samples,x_profile_ux_mean_samples,x_profile_rho_mean_samples,sampled_x_profile_flux,source_step,source_row_name,source_solver_state_hash,source_run_manifest_hash,source_code_commit,mass_total_delta_rel,validation_claim_allowed,selected96_claim_allowed
0,regularized_plane_flux_controlled_pressure_outlet,final_evidence_candidate_48,False,False,False,False,True,False,False,False,2,True,0.7,85,linear,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.5,0.0,0,0,0.0,2,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""0"":0.0,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.0,""45"":0.0,""46"":0.0,""47"":0.0,""6"":0.0}","{""0"":0.0,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.0,""45"":0.0,""46"":0.0,""47"":0.0,""6"":0.0}","{""0"":1.0,""12"":1.0,""18"":1.0,""24"":1.0,""30"":1.0,""36"":1.0,""42"":1.0,""45"":1.0,""46"":1.0,""47"":1.0,""6"":1.0}",0:0;6:0;12:0;18:0;24:0;30:0;36:0;42:0;45:0;46:0;47:0,138,duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p001_alpha0p02_du0p0005_slew0p50_offset2_guard_on_min0p70_ramp85_target0p80_out5_250step_high_authority,34437ee966ac063d03d80bd4a9c9dea30961897cbb87d41cc5c7de1571ef3ed8,e689ad17b0de0f478d57ef9d419e2ed10579692cfb94866dbc1095b5c7239969,f0284d3f6207eb1c9341dfc9906293b651c6b0f7,0.0,False,False
10,regularized_plane_flux_controlled_pressure_outlet,final_evidence_candidate_48,False,False,False,False,True,False,False,False,2,True,0.7,85,linear,0.11764705882352941,0.8,4.057472637070362,0.20049849480389137,0.20049849480389137,3.856974142266471,0.3211151957511902,0.75,0.0075,0.9785944819450378,3.154520034790039,3.6772525310516357,0.028222767636179924,3.649029763415456,0.3211151957511902,9.233634045813233e-05,9.233634045813233e-05,1.5175577061654622e-07,1.5175577061654622e-07,0.0005,0.5,0.012311512061084311,0,0,0.0,2,0.8,0,0,0.0,3.6772525310516357,0.1439838707447052,7.315047696465626e-05,9.746743307914585e-05,9.476887400750936e-05,0.0,0.999838215135221,1.301057450242394e-07,0.0,0.1091238731730868,0.0497620210797306,0.017853159770054198,0.5442628049643038,"{""0"":5.071840796337953,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":0.0008949953926636314,""45"":0.0497620210797306,""46"":0.1091238731730868,""47"":0.20049849480389137,""6"":0.08561596509254264}","{""0"":0.0023869214507281104,""12"":0.0,""18"":0.0,""24"":0.0,""30"":0.0,""36"":0.0,""42"":4.22965967597893e-07,""45"":2.351792854377442e-05,""46"":5.1575304114831184e-05,""47"":9.476887400750936e-05,""6"":4.045893233489726e-05}","{""0"":1.0041822802366966,""12"":0.9999998807907104,""18"":0.9999998807907104,""24"":0.9999998807907104,""30"":0.9999998807907104,""36"":0.9999998807907104,""42"":0.9999993444615817,""45"":0.9999616012005365,""46"":0.9999132951570143,""47"":0.999838215135221,""6"":1.0000558325383524}",0:5.07184079634;6:0.0856159650925;12:0;18:0;24:0;30:0;36:0;42:0.000894995392664;45:0.0497620210797;46:0.109123873173;47:0.200498494804,138,duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p001_alpha0p02_du0p0005_slew0p50_offset2_guard_on_min0p70_ramp85_target0p80_out5_250step_high_authority,34437ee966ac063d03d80bd4a9c9dea30961897cbb87d41cc5c7de1571ef3ed8,e689ad17b0de0f478d57ef9d419e2ed10579692cfb94866dbc1095b5c7239969,f0284d3f6207eb1c9341dfc9906293b651c6b0f7,0.00026994179077469935,False,False
20,regularized_plane_flux_controlled_pressure_outlet,final_evidence_candidate_48,False,False,False,False,True,False,False,False,2,True,0.7,85,linear,0.23529411764705882,0.8,8.017172209559169,1.2207757823792793,1.2207757823792793,6.796396427179889,1.2761090993881226,0.75,0.0075,4.373996734619141,30.10887908935547,7.6089019775390625,0.6745355129241943,6.934366464614868,1.2761090993881226,0.00041284412145614624,0.00041284412145614624,6.030761596775847e-07,6.030761596775847e-07,0.0005,0.5,0.0550458828608195,0,0,0.0,2,0.8,0,0,0.0,7.6089019775390625,1.0892490148544312,0.0003787289606407285,0.0006108180386945605,0.0005775077490418594,0.0,0.9989929269076746,6.243364836208911e-07,0.0,0.9935760101678691,0.7849116586929983,0.596047049559393,0.8138890241018706,"{""0"":10.021465261948961,""12"":0.09802652744567551,""18"":0.0,""24"":0.0,""30"":9.42870960374253e-06,""36"":0.001188620920587832,""42"":0.28729276308863483,""45"":0.7849116586929983,""46"":0.9935760101678691,""47"":1.2207757823792793,""6"":4.83397709122844}","{""0"":0.004697099135702719,""12"":4.6323051411200624e-05,""18"":0.0,""24"":0.0,""30"":4.4559124422175975e-09,""36"":5.617306166060242e-07,""42"":0.00013580337909002642,""45"":0.0003711808261360105,""46"":0.0004699385109820116,""47"":0.0005775077490418594,""6"":0.002275424937962771}","{""0"":1.0082937433386119,""12"":1.0000689759258963,""18"":0.9999998807907104,""24"":0.9999998807907104,""30"":0.9999998807907104,""36"":0.9999991293947278,""42"":0.9997667569688228,""45"":0.9993548347898151,""46"":0.9991817016908037,""47"":0.9989929269076746,""6"":1.0039826018598446}",0:10.0214652619;6:4.83397709123;12:0.0980265274457;18:0;24:0;30:9.42870960374e-06;36:0.00118862092059;42:0.287292763089;45:0.784911658693;46:0.993576010168;47:1.22077578238,138,duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p001_alpha0p02_du0p0005_slew0p50_offset2_guard_on_min0p70_ramp85_target0p80_out5_250step_high_authority,34437ee966ac063d03d80bd4a9c9dea30961897cbb87d41cc5c7de1571ef3ed8,e689ad17b0de0f478d57ef9d419e2ed10579692cfb94866dbc1095b5c7239969,f0284d3f6207eb1c9341dfc9906293b651c6b0f7,0.0009773071361183368,False,False
30,regularized_plane_flux_controlled_pressure_outlet,final_evidence_candidate_48,False,False,False,False,True,False,False,False,2,True,0.7,85,linear,0.35294117647058826,0.8,12.067769028706426,2.7880058603633597,2.7880058603633597,9.279763168343067,2.5980100631713867,0.75,0.0075,9.22624683380127,99.61848449707031,11.6592435836792,2.0288751125335693,9.63036847114563,2.5980100631713867,0.0008707923698239028,0.0008707923698239028,1.2277930636628298e-06,1.2277930636628298e-06,0.0005,0.5,0.11610564930985372,0,0,0.0,2,0.8,0,0,0.0,11.6592435836792,2.6144559383392334,0.0007516357582062483,0.0013976581394672394,0.0013206382966761006,0.0,0.9976865077120145,1.1725882904589854e-06,5.846656878527403e-05,2.4835501256572936,2.1900634742883813,1.9085517286963873,0.8907980291453238,"{""0"":15.084711285883031,""12"":4.594726998372044,""18"":0.10030046483133236,""24"":5.846656878527403e-05,""30"":0.001316998152566002,""36"":0.2548708281825045,""42"":1.3866908522248442,""45"":2.1900634742883813,""46"":2.4835501256572936,""47"":2.7880058603633597,""6"":9.74341039271304}","{""0"":0.007040817203178002,""12"":0.0021632137488959346,""18"":4.7397399777286843e-05,""24"":2.7630708245457006e-08,""30"":6.224005082261498e-07,""36"":0.00012047435960141576,""42"":0.000656087267743921,""45"":0.001036882557832928,""46"":0.0011761220098215213,""47"":0.0013206382966761006,""6"":0.004567864958688948}","{""0"":1.0125115592673506,""12"":1.0037906398056586,""18"":1.0000728031299966,""24"":0.9999998612980762,""30"":0.9999990329174554,""36"":0.9997936315088056,""42"":0.9988556545657337,""45"":0.9981864465432266,""46"":0.9979412982729747,""47"":0.9976865077120145,""6"":1.008049802428608}",0:15.0847112859;6:9.74341039271;12:4.59472699837;18:0.100300464831;24:5.84665687853e-05;30:0.00131699815257;36:0.254870828183;42:1.38669085222;45:2.19006347429;46:2.48355012566;47:2.78800586036,138,duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p001_alpha0p02_du0p0005_slew0p50_offset2_guard_on_min0p70_ramp85_target0p80_out5_250step_high_authority,34437ee966ac063d03d80bd4a9c9dea30961897cbb87d41cc5c7de1571ef3ed8,e689ad17b0de0f478d57ef9d419e2ed10579692cfb94866dbc1095b5c7239969,f0284d3f6207eb1c9341dfc9906293b651c6b0f7,0.002048966676705689,False,False
40,regularized_plane_flux_controlled_pressure_outlet,final_evidence_candidate_48,False,False,False,False,True,False,False,False,2,True,0.7,85,linear,0.47058823529411764,0.8,16.160923887160727,4.663102098635676,4.663102098635676,11.497821788525052,4.1306986808776855,0.75,0.0075,14.914992332458496,222.6148681640625,15.749873161315918,3.7821807861328125,11.967692375183105,4.1306986808776855,0.001407885691151023,0.001407885691151023,1.952126012838562e-06,1.952126012838562e-06,0.0005,0.5,0.18771809215346974,0,0,0.0,2,0.8,0,0,0.0,15.749873161315918,4.466117858886719,0.0011091899359598756,0.0023606789764016867,0.0022123312181595092,0.0,0.9961140291846317,1.670837759683914e-06,0.09958312103056735,4.314141776383484,3.9718990693116623,3.6369011986365307,0.925165626900108,"{""0"":20.201154858950908,""12"":9.4686074858318,""18"":4.321195419248452,""24"":0.09958312103056735,""30"":0.22577394911308102,""36"":1.3112522536455793,""42"":2.9913701225110896,""45"":3.9718990693116623,""46"":4.314141776383484,""47"":4.663102098635676,""6"":14.797871756805993}","{""0"":0.009389343457155648,""12"":0.00444003433739108,""18"":0.002034883149318566,""24"":4.705845246431612e-05,""30"":0.0001067181186909557,""36"":0.0006203562354409076,""42"":0.0014172105832143806,""45"":0.001883303117932838,""46"":0.0020461699541126483,""47"":0.0022123312181595092,""6"":0.006908711261645889}","{""0"":1.0167810373811055,""12"":1.0078199933404508,""18"":1.0035639572008346,""24"":1.0000715628688863,""30"":0.9998176060405706,""36"":0.9989185821976238,""42"":0.9975175635575797,""45"":0.9966956501534395,""46"":0.99640793056141,""47"":0.9961140291846317,""6"":1.0122480184008809}",0:20.201154859;6:14.7978717568;12:9.46860748583;18:4.32119541925;24:0.0995831210306;30:0.225773949113;36:1.31125225365;42:2.99137012251;45:3.97189906931;46:4.31414177638;47:4.66310209864,138,duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p001_alpha0p02_du0p0005_slew0p50_offset2_guard_on_min0p70_ramp85_target0p80_out5_250step_high_authority,34437ee966ac063d03d80bd4a9c9dea30961897cbb87d41cc5c7de1571ef3ed8,e689ad17b0de0f478d57ef9d419e2ed10579692cfb94866dbc1095b5c7239969,f0284d3f6207eb1c9341dfc9906293b651c6b0f7,0.0034489906313767507,False,False
50,regularized_plane_flux_controlled_pressure_outlet,final_evidence_candidate_48,False,False,False,False,True,False,False,False,2,True,0.7,85,linear,0.5882352941176471,0.8,20.288594579427297,6.713010578602611,6.713010578602611,13.575584000824687,5.78880500793457,0.75,0.0075,21.102277755737305,405.3626708984375,19.874101638793945,5.759885311126709,14.114216327667236,5.78880500793457,0.0019918731413781643,0.0019918731413781643,2.735730276981485e-06,2.735730276981485e-06,0.0005,0.5,0.2655830855170886,0,0,0.0,2,0.8,0,0,0.0,19.874101638793945,6.502542495727539,0.001425036694854498,0.0034172453451901674,0.00319041504046223,0.0,0.9943846318807403,2.044021807966317e-06,4.215194907642869,6.337296514454984,5.965896965834228,5.599140337437318,0.9440319570856633,"{""0"":25.36074322428412,""12"":14.517158435163559,""18"":9.195245067885587,""24"":4.215194907642869,""30"":1.3325481488853532,""36"":2.8830312987258404,""42"":4.880968104222028,""45"":5.965896965834228,""46"":6.337296514454984,""47"":6.713010578602611,""6"":19.907955840415532}","{""0"":0.011737735923080368,""12"":0.00677922197266804,""18"":0.0043128284404321884,""24"":0.001985785527464437,""30"":0.0006303486086024123,""36"":0.001365759807569723,""42"":0.0023161199627490803,""45"":0.0028335428621205335,""46"":0.0030108911419592776,""47"":0.00319041504046223,""6"":0.0092556222118807}","{""0"":1.0210909495844958,""12"":1.0120114962973532,""18"":1.0075895253336498,""24"":1.0031449466324034,""30"":0.9990493969565754,""36"":0.9976084581620301,""42"":0.9959321946525393,""45"":0.9950171813847662,""46"":0.9947030564562359,""47"":0.9943846318807403,""6"":1.0164974458614233}",0:25.3607432243;6:19.9079558404;12:14.5171584352;18:9.19524506789;24:4.21519490764;30:1.33254814889;36:2.88303129873;42:4.88096810422;45:5.96589696583;46:6.33729651445;47:6.7130105786,138,duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p001_alpha0p02_du0p0005_slew0p50_offset2_guard_on_min0p70_ramp85_target0p80_out5_250step_high_authority,34437ee966ac063d03d80bd4a9c9dea30961897cbb87d41cc5c7de1571ef3ed8,e689ad17b0de0f478d57ef9d419e2ed10579692cfb94866dbc1095b5c7239969,f0284d3f6207eb1c9341dfc9906293b651c6b0f7,0.005159632998231679,False,False
60,regularized_plane_flux_controlled_pressure_outlet,final_evidence_candidate_48,False,False,False,False,True,False,False,False,2,True,0.7,85,linear,0.7058823529411765,0.8,24.45103803873104,8.86549493219636,8.86549493219636,15.58554310653468,7.525366306304932,0.75,0.0075,27.60114860534668,652.46923828125,24.03314781188965,7.867367744445801,16.165780067443848,7.525366306304932,0.0026050054002553225,0.0026050054002553225,3.5564114568842342e-06,3.5564114568842342e-06,0.0005,0.5,0.3473340533673763,0,0,0.0,2,0.8,0,0,0.0,24.03314781188965,8.64691162109375,0.00169594946783036,0.004523542243987322,0.004221155024410907,0.0,0.9925580594568938,2.2489060091224245e-06,10.085823026704055,8.472762439798078,8.083025801890294,7.696441310288806,0.9557010076254159,"{""0"":30.563797548413795,""12"":19.623164131225018,""18"":14.411703599189854,""24"":10.085823026704055,""30"":6.479385838607046,""36"":4.83641540547801,""42"":6.933603048929436,""45"":8.083025801890294,""46"":8.472762439798078,""47"":8.86549493219636,""6"":25.063606553401584}","{""0"":0.014085890628865767,""12"":0.009125378352787084,""18"":0.006732459487050194,""24"":0.004736133690572226,""30"":0.0030598034368654525,""36"":0.0022945606542497236,""42"":0.0032958713565783182,""45"":0.003846016974971385,""46"":0.004032804075193227,""47"":0.004221155024410907,""6"":0.01160364669205406}","{""0"":1.0254394329788554,""12"":1.0162538900154525,""18"":1.0116378420467413,""24"":1.0063986635726432,""30"":1.0007336972904566,""36"":0.9961133280413362,""42"":0.9941996689216852,""45"":0.9932244648216803,""46"":0.9928928737040954,""47"":0.9925580594568938,""6"":1.0207863360474376}",0:30.5637975484;6:25.0636065534;12:19.6231641312;18:14.4117035992;24:10.0858230267;30:6.47938583861;36:4.83641540548;42:6.93360304893;45:8.08302580189;46:8.4727624398;47:8.8654949322,138,duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p001_alpha0p02_du0p0005_slew0p50_offset2_guard_on_min0p70_ramp85_target0p80_out5_250step_high_authority,34437ee966ac063d03d80bd4a9c9dea30961897cbb87d41cc5c7de1571ef3ed8,e689ad17b0de0f478d57ef9d419e2ed10579692cfb94866dbc1095b5c7239969,f0284d3f6207eb1c9341dfc9906293b651c6b0f7,0.0071724865605518285,False,False
70,regularized_plane_flux_controlled_pressure_outlet,final_evidence_candidate_48,False,False,False,False,True,False,False,False,2,True,0.7,85,linear,0.8235294117647058,0.8,28.648765132904266,11.081491881441828,11.081491881441828,17.56727325146244,9.314465522766113,0.75,0.0075,34.30196762084961,965.658935546875,28.227359771728516,10.0545072555542,18.172852516174316,9.314465522766113,0.0032375019509345293,0.0032375019509345293,4.401921614771709e-06,4.401921614771709e-06,0.0005,0.5,0.4316669267912706,0,0,0.0,2,0.8,0,0,0.0,28.227359771728516,10.857583999633789,0.0019271211931481957,0.005669731646776199,0.005286334467931195,0.0,0.9906672775069346,2.2879362341258933e-06,16.625964472466418,10.67771519102403,10.278011816966927,9.885890577473289,0.9635629665447842,"{""0"":35.81095641613033,""12"":24.921202710475505,""18"":20.42022822800569,""24"":16.625964472466418,""30"":13.267857312131035,""36"":10.18675158292454,""42"":9.169536074053255,""45"":10.278011816966927,""46"":10.67771519102403,""47"":11.081491881441828,""6"":30.265942319215867}","{""0"":0.01643385239331041,""12"":0.011541843321768563,""18"":0.009506717236890389,""24"":0.007784683839417994,""30"":0.006249714930170341,""36"":0.004828009324133773,""42"":0.004366437872517009,""45"":0.004899617085761051,""46"":0.005091934099891144,""47"":0.005286334467931195,""6"":0.013953055603260664}","{""0"":1.0298256169870805,""12"":1.0204194682757661,""18"":1.0151130195376101,""24"":1.0093216013254875,""30"":1.003281617491367,""36"":0.9971145672304644,""42"":0.9924404661686975,""45"":0.9913604803425603,""46"":0.9910145827581391,""47"":0.9906672775069346,""6"":1.0251116820229025}",0:35.8109564161;6:30.2659423192;12:24.9212027105;18:20.420228228;24:16.6259644725;30:13.2678573121;36:10.1867515829;42:9.16953607405;45:10.278011817;46:10.677715191;47:11.0814918814,138,duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p001_alpha0p02_du0p0005_slew0p50_offset2_guard_on_min0p70_ramp85_target0p80_out5_250step_high_authority,34437ee966ac063d03d80bd4a9c9dea30961897cbb87d41cc5c7de1571ef3ed8,e689ad17b0de0f478d57ef9d419e2ed10579692cfb94866dbc1095b5c7239969,f0284d3f6207eb1c9341dfc9906293b651c6b0f7,0.009484236943755574,False,False
80,regularized_plane_flux_controlled_pressure_outlet,final_evidence_candidate_48,False,False,False,False,True,False,False,False,2,True,0.7,85,linear,0.9411764705882353,0.8,32.88214435278621,13.685195017247096,13.685195017247096,19.196949335539117,11.112713813781738,0.75,0.0075,41.07099533081055,1346.225830078125,32.457183837890625,12.85195541381836,19.605228424072266,11.112713813781738,0.003876499831676483,0.003876499831676483,5.2517552830977365e-06,5.2517552830977365e-06,0.0005,0.5,0.5168666442235311,0,0,0.0,2,0.8,0,0,0.0,32.457183837890625,13.322141647338867,0.002154566114768386,0.006960323080420494,0.006540970787245759,0.0,0.9887645530509137,5.857128459825098e-06,23.521147270087035,13.403448320812952,13.336268475780638,13.50324609054694,0.9794122994901376,"{""0"":41.102680440982766,""12"":30.968023782868258,""18"":27.02377442276888,""24"":23.521147270087035,""30"":20.31443531602195,""36"":17.317249610401483,""42"":14.443011813992939,""45"":13.336268475780638,""46"":13.403448320812952,""47"":13.685195017247096,""6"":35.632494756703345}","{""0"":0.018781615485435454,""12"":0.014291822811718924,""18"":0.012543369954740646,""24"":0.01098379587190356,""30"":0.00954546291715182,""36"":0.0081886253267965,""42"":0.006873302472097754,""45"":0.006365859610031206,""46"":0.0064024133868524295,""47"":0.006540970787245759,""6"":0.01635910813553199}","{""0"":1.0342473454759342,""12"":1.0240275596738537,""18"":1.0181614442223186,""24"":1.0120226238310224,""30"":1.005752681446436,""36"":0.9994237822091422,""42"":0.9930445310186123,""45"":0.990051684989145,""46"":0.989362394285788,""47"":0.9887645530509137,""6"":1.0293752555585765}",0:41.102680441;6:35.6324947567;12:30.9680237829;18:27.0237744228;24:23.5211472701;30:20.314435316;36:17.3172496104;42:14.443011814;45:13.3362684758;46:13.4034483208;47:13.6851950172,138,duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p001_alpha0p02_du0p0005_slew0p50_offset2_guard_on_min0p70_ramp85_target0p80_out5_250step_high_authority,34437ee966ac063d03d80bd4a9c9dea30961897cbb87d41cc5c7de1571ef3ed8,e689ad17b0de0f478d57ef9d419e2ed10579692cfb94866dbc1095b5c7239969,f0284d3f6207eb1c9341dfc9906293b651c6b0f7,0.01208829937388894,False,False
90,regularized_plane_flux_controlled_pressure_outlet,final_evidence_candidate_48,False,False,False,False,True,False,False,False,2,True,0.7,85,linear,1.0,0.8,35.13316582503119,22.758922067037172,22.758922067037172,12.37424375799402,12.297786712646484,0.75,0.0075,45.9429931640625,1787.920166015625,35.262962341308594,21.033470153808594,14.2294921875,12.297786712646484,0.004337074235081673,0.004337074235081673,5.81180893277633e-06,5.81180893277633e-06,0.0005,0.5,0.5782765646775564,0,0,0.0,2,0.8,0,0,0.0,35.262962341308594,21.496530532836914,0.003737678751349449,0.011758222244679928,0.010894776254717176,0.0,0.9872306032645004,2.3739051793015424e-05,30.64322854272473,22.457254056485908,22.130487923290683,21.89686665522574,0.9867450659718113,"{""0"":43.916457281288984,""12"":37.62021853033016,""18"":33.98645505550959,""24"":30.64322854272473,""30"":27.510630119250404,""36"":24.55169373750894,""42"":22.00951620576993,""45"":22.130487923290683,""46"":22.457254056485908,""47"":22.758922067037172,""6"":41.700521921104766}","{""0"":0.020022706837271868,""12"":0.01730840995516945,""18"":0.01573172099699067,""24"":0.014273220597060366,""30"":0.012895934466168721,""36"":0.011583087117708727,""42"":0.01045337727124801,""45"":0.01055552666033715,""46"":0.01073019193319889,""47"":0.010894776254717176,""6"":0.019075799645593704}","{""0"":1.036552728011162,""12"":1.0271878384462152,""18"":1.0209730525548606,""24"":1.0146044624550357,""30"":1.0081648513364883,""36"":1.0017060463955811,""42"":0.9950320283215077,""45"":0.9908323140642368,""46"":0.9890932202733532,""47"":0.9872306032645004,""6"":1.0331098731388892}",0:43.9164572813;6:41.7005219211;12:37.6202185303;18:33.9864550555;24:30.6432285427;30:27.5106301193;36:24.5516937375;42:22.0095162058;45:22.1304879233;46:22.4572540565;47:22.758922067,138,duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p001_alpha0p02_du0p0005_slew0p50_offset2_guard_on_min0p70_ramp85_target0p80_out5_250step_high_authority,34437ee966ac063d03d80bd4a9c9dea30961897cbb87d41cc5c7de1571ef3ed8,e689ad17b0de0f478d57ef9d419e2ed10579692cfb94866dbc1095b5c7239969,f0284d3f6207eb1c9341dfc9906293b651c6b0f7,0.014643933407483456,False,False
