step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
5,0.9999859929084778,1.0019539594650269,1.0000660139638942,101574.70490628481,6.7049062848091125,6.60139638942296e-05
10,0.9998377561569214,1.004794716835022,1.0002699355144704,101595.41681033373,27.41681033372879,0.00026993551447039213
15,0.9994869828224182,1.0070195198059082,1.0005747052291014,101626.37166070938,58.3716607093811,0.0005747052291014995
20,0.9989885687828064,1.0094428062438965,1.000977278005733,101667.2601724863,99.26017248630524,0.0009772780057331564
25,0.998376727104187,1.0118571519851685,1.001470508461756,101717.35660344362,149.3566034436226,0.0014705084617558934
30,0.9976786375045776,1.0142618417739868,1.0020488696847705,101776.09959614277,208.09959614276886,0.0020488696847704873
35,0.9969157576560974,1.0166847705841064,1.002709197612255,101843.16778308153,275.1677830815315,0.0027091976122551546
40,0.9961031675338745,1.0191066265106201,1.0034487774435996,101918.28542739153,350.2854273915291,0.0034487774435996484
45,0.9952523708343506,1.0215330123901367,1.0042658777274873,102001.27666902542,433.27666902542114,0.004265877727487212
50,0.994371771812439,1.0239628553390503,1.0051592615619067,102092.01587831974,524.0158783197403,0.005159261561906706
55,0.9934672713279724,1.0263968706130981,1.0061281115783787,102190.42003679276,622.4200367927551,0.006128111578378575
60,0.9925438165664673,1.028834581375122,1.0071719157366903,102296.43713754416,728.4371375441551,0.007171915736690248
65,0.991604745388031,1.031275987625122,1.0082903931348126,102410.03864991665,842.0386499166489,0.008290393134812626
70,0.9906527996063232,1.033721923828125,1.0094834270147066,102531.21271502972,963.2127150297165,0.009483427014706567
75,0.9896907210350037,1.0361721515655518,1.0107507814624463,102659.93537157774,1091.9353715777397,0.01075078146244624
80,0.9887397885322571,1.0386223793029785,1.012087213244024,102795.67407476902,1227.67407476902,0.012087213244023906
85,0.9879063963890076,1.0410594940185547,1.0134490374158822,102933.99183225632,1365.9918322563171,0.01344903741588214
90,0.9872000813484192,1.0413832664489746,1.0146425413319908,103055.21363800764,1487.2136380076408,0.014642541331990793
95,0.9868496656417847,1.040610909461975,1.0155254862897412,103144.89259147644,1576.8925914764404,0.015525486289741262
100,0.9872506856918335,1.0400899648666382,1.016188945257995,103212.27879196405,1644.278791964054,0.016188945257995177
105,0.9881506562232971,1.0390543937683105,1.0166508985874634,103259.19846773148,1691.1984677314758,0.016650898587463332
110,0.9893870949745178,1.037856101989746,1.016933089258911,103287.86000984907,1719.8600098490715,0.01693308925891099
115,0.9909209609031677,1.0365049839019775,1.0170531827262788,103300.05766314268,1732.0576631426811,0.01705318272627876
120,0.9926697015762329,1.035020112991333,1.017022395306387,103296.93064647913,1728.9306464791298,0.017022395306387147
125,0.9945876598358154,1.0334604978561401,1.016850081276531,103279.42905509472,1711.429055094719,0.01685008127653118
130,0.9966377019882202,1.0318466424942017,1.0165428482236665,103248.22400838137,1680.2240083813667,0.016542848223666574
135,0.9987877011299133,1.03019118309021,1.0161056511389313,103203.81877487898,1635.8187748789787,0.016105651138931344
140,1.001020908355713,1.02849543094635,1.0155420803841118,103146.57802045345,1578.578020453453,0.01554208038411166
145,1.0033214092254639,1.0267657041549683,1.0148547670270522,103076.76897740364,1508.7689774036407,0.014854767027052228
150,1.0056743621826172,1.0250072479248047,1.0140455994407618,102994.58344399929,1426.5834439992905,0.014045599440761761
155,1.0080653429031372,1.0232203006744385,1.0131159322083974,102900.1590025425,1332.1590025424957,0.013115932208397288
160,1.0101510286331177,1.0213884115219116,1.0120682222645427,102793.74519896507,1225.7451989650726,0.012068222264542697
165,1.0088123083114624,1.0193779468536377,1.010925339091224,102677.66484081745,1109.6648408174515,0.010925339091224121
170,1.007398247718811,1.0166610479354858,1.0097856840615236,102561.91235876083,993.9123587608337,0.009785684061523647
175,1.0059022903442383,1.017130970954895,1.0087646913820927,102458.21217429638,890.2121742963791,0.00876469138209258
180,1.0019307136535645,1.0185965299606323,1.007858315575457,102366.15339636803,798.1533963680267,0.0078583155754571
185,0.9988741874694824,1.0196356773376465,1.0070614569938419,102285.21806395054,717.2180639505386,0.007061456993841944
190,0.9964753985404968,1.0203266143798828,1.0063740724859678,102215.40179425478,647.4017942547798,0.006374072485967823
195,0.9947713613510132,1.0206741094589233,1.0057803910500274,102155.10275816917,587.1027581691742,0.005780391050027314
200,0.9935023188591003,1.0207821130752563,1.005273441375053,102103.61289358139,535.6128935813904,0.005273441375053071
205,0.9925962686538696,1.0206754207611084,1.0048462994744098,102060.22894501686,492.22894501686096,0.004846299474409863
210,0.9921566247940063,1.0203955173492432,1.0044923718823866,102024.28122735023,456.281227350235,0.0044923718823865295
215,0.9919658303260803,1.0199719667434692,1.0042068068091843,101995.27695399523,427.2769539952278,0.004206806809184269
220,0.9919625520706177,1.0194370746612549,1.0039855005852196,101972.7993234396,404.7993234395981,0.003985500585219735
225,0.9920856952667236,1.0188097953796387,1.0038251968883518,101956.51759755611,388.5175975561142,0.003825196888351786
230,0.9923667907714844,1.0181041955947876,1.0037233954666402,101946.17783075571,378.1778307557106,0.003723395466640188
235,0.9927158355712891,1.0173289775848389,1.0036786096422887,101941.62902414799,373.62902414798737,0.0036786096422887853
240,0.993151068687439,1.0164915323257446,1.0036927256034833,101943.0627540946,375.0627540946007,0.0036927256034833874
245,0.9938066005706787,1.015573263168335,1.003779452332256,101951.8714144826,383.87141448259354,0.0037794523322561588
250,0.9952212572097778,1.0145435333251953,1.0039787077525115,101972.10938900709,404.1093890070915,0.003978707752511535
