step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.9999845027923584,1.0019539594650269,0.0011152910301461816,0.027748383581638336,0.3338790237903595,0.027748383581638336,0.3338790237903595,0,0.0,3859584,101568,101575.078125,6.968853379017013e-05,0,0,True
10,lightweight_reduction,0.9998245239257812,1.004794716835022,0.002510356716811657,0.027685755863785744,0.3348464071750641,0.027685755863785744,0.3348464071750641,0,0.0,3859584,101568,101596.0546875,0.00027621581108223063,0,0,True
15,lightweight_reduction,0.9994483590126038,1.0070195198059082,0.003710749326273799,0.027620771899819374,0.3355870246887207,0.027620771899819374,0.3355870246887207,0,0.0,3859584,101568,101628.5,0.0005956600504095778,0,0,True
20,lightweight_reduction,0.9989151954650879,1.0094428062438965,0.004995422903448343,0.02755139395594597,0.3363851308822632,0.02755139395594597,0.3363851308822632,0,0.0,3859584,101568,101672.5625,0.0010294827110901071,0,0,True
25,lightweight_reduction,0.9982581734657288,1.0118571519851685,0.006279665045440197,0.027478592470288277,0.3371882140636444,0.027478592470288277,0.3371882140636444,0,0.0,3859584,101568,101733.8125,0.0016325269770006302,0,0,True
30,lightweight_reduction,0.9975067377090454,1.0142618417739868,0.0076790787279605865,0.02740473672747612,0.33798298239707947,0.02740473672747612,0.33798298239707947,0,0.0,3859584,101568,101801.7109375,0.0023010292365705735,0,0,True
35,lightweight_reduction,0.9967025518417358,1.0166847705841064,0.009086753241717815,0.027329685166478157,0.3387838900089264,0.027329685166478157,0.3387838900089264,0,0.0,3859584,101568,101887.578125,0.0031464449925173283,0,0,True
40,lightweight_reduction,0.995902419090271,1.0191066265106201,0.010494534857571125,0.027254225686192513,0.3395828902721405,0.027254225686192513,0.3395828902721405,0,0.0,3859584,101568,101963.1015625,0.0038900201096802142,0,0,True
45,lightweight_reduction,0.9950736165046692,1.0215330123901367,0.011901630088686943,0.02717861533164978,0.34038224816322327,0.02717861533164978,0.34038224816322327,0,0.0,3859584,101568,102025.2421875,0.0045018331314981095,0,0,True
50,lightweight_reduction,0.994210958480835,1.0239628553390503,0.013308391906321049,0.027103174477815628,0.3411816358566284,0.027103174477815628,0.3411816358566284,0,0.0,3859584,101568,102099.5078125,0.0052330243039146185,0,0,True
55,lightweight_reduction,0.9933200478553772,1.0263968706130981,0.014713948592543602,0.02702808752655983,0.3419812321662903,0.02702808752655983,0.3419812321662903,0,0.0,3859584,101568,102171.5625,0.005942447424385633,0,0,True
60,lightweight_reduction,0.9924067258834839,1.0288344621658325,0.01611907035112381,0.026953544467687607,0.34278079867362976,0.026953544467687607,0.34278079867362976,0,0.0,3859584,101568,102262.28125,0.006835629824354128,0,0,True
65,lightweight_reduction,0.9914751648902893,1.0312761068344116,0.01752380281686783,0.026879629120230675,0.34358033537864685,0.026879629120230675,0.34358033537864685,0,0.0,3859584,101568,102376.078125,0.007956030688799623,0,0,True
70,lightweight_reduction,0.9905285835266113,1.033721685409546,0.01892891339957714,0.02680649794638157,0.34438005089759827,0.02680649794638157,0.34438005089759827,0,0.0,3859584,101568,102516.8203125,0.009341724878898866,0,0,True
75,lightweight_reduction,0.989570677280426,1.0361721515655518,0.0203347597271204,0.026734178885817528,0.34518006443977356,0.026734178885817528,0.34518006443977356,0,0.0,3859584,101568,102652.2734375,0.010675344965934152,0,0,True
80,lightweight_reduction,0.9886229634284973,1.0386223793029785,0.02174282632768154,0.02666260115802288,0.34597909450531006,0.02666260115802288,0.34597909450531006,0,0.0,3859584,101568,102804.65625,0.012175648334120983,0,0,True
85,lightweight_reduction,0.9877920150756836,1.0410586595535278,0.023158038035035133,0.026581967249512672,0.34677281975746155,0.026581967249512672,0.34677281975746155,0,0.0,3859584,101568,102927.296875,0.013383121406348456,0,0,True
90,lightweight_reduction,0.9870879054069519,1.0413764715194702,0.02443716675043106,0.02645297348499298,0.34698593616485596,0.02645297348499298,0.34698593616485596,0,0.0,3859584,101568,103046.0234375,0.014552058103930371,0,0,True
95,lightweight_reduction,0.9867391586303711,1.040579915046692,0.0247177816927433,0.02625538408756256,0.3467101752758026,0.02625538408756256,0.3467101752758026,0,0.0,3859584,101568,103119.984375,0.015280249438799623,0,0,True
100,lightweight_reduction,0.9871410131454468,1.0400075912475586,0.02505018562078476,0.02610495314002037,0.34653204679489136,0.02610495314002037,0.34653204679489136,0,0.0,3859584,101568,103195.1640625,0.016020440123857907,0,0,True
105,lightweight_reduction,0.9880417585372925,1.0389002561569214,0.025368718430399895,0.025975171476602554,0.3461763262748718,0.025975171476602554,0.3461763262748718,0,0.0,3859584,101568,103237.6484375,0.016438725164421866,0,0,True
110,lightweight_reduction,0.9892783164978027,1.0376136302947998,0.025604352355003357,0.025868630036711693,0.3457503616809845,0.025868630036711693,0.3457503616809845,0,0.0,3859584,101568,103264.7421875,0.01670547994939351,0,0,True
115,lightweight_reduction,0.9908128976821899,1.036163330078125,0.02589283511042595,0.025784462690353394,0.3452725410461426,0.025784462690353394,0.3452725410461426,0,0.0,3859584,101568,103268.609375,0.016743554810570258,0,0,True
120,lightweight_reduction,0.9925622940063477,1.0346002578735352,0.02685282938182354,0.025702083483338356,0.34475240111351013,0.025702083483338356,0.34475240111351013,0,0.0,3859584,101568,103276.71875,0.01682339664067423,0,0,True
125,lightweight_reduction,0.9944806098937988,1.033040165901184,0.02877436950802803,0.02561403624713421,0.3442310392856598,0.02561403624713421,0.3442310392856598,0,0.0,3859584,101568,103256.59375,0.016625253524732198,0,0,True
130,lightweight_reduction,0.9965306520462036,1.0314874649047852,0.031113257631659508,0.025523478165268898,0.3437143564224243,0.025523478165268898,0.3437143564224243,0,0.0,3859584,101568,103234.78125,0.016410495923913044,0,0,True
135,lightweight_reduction,0.9986804723739624,1.0298713445663452,0.032975200563669205,0.025431649759411812,0.34317779541015625,0.025431649759411812,0.34317779541015625,0,0.0,3859584,101568,103184.65625,0.015916984187933206,0,0,True
140,lightweight_reduction,1.0009132623672485,1.028202772140503,0.034127723425626755,0.02534468285739422,0.3426227569580078,0.02534468285739422,0.3426227569580078,0,0.0,3859584,101568,103128.3125,0.015362244998424701,0,0,True
145,lightweight_reduction,1.003212809562683,1.0264989137649536,0.03468453139066696,0.02528633549809456,0.3420558571815491,0.02528633549809456,0.3420558571815491,0,0.0,3859584,101568,103083.6171875,0.014922191905915249,0,0,True
150,lightweight_reduction,1.0055644512176514,1.0247578620910645,0.03486166521906853,0.02526416815817356,0.3414766490459442,0.02526416815817356,0.3414766490459442,0,0.0,3859584,101568,102950.171875,0.013608339979127285,0,0,True
155,lightweight_reduction,1.0079548358917236,1.022980809211731,0.03483874350786209,0.025265725329518318,0.3408854305744171,0.025265725329518318,0.3408854305744171,0,0.0,3859584,101568,102806.9921875,0.01219864708864997,0,0,True
160,lightweight_reduction,1.0098388195037842,1.0211522579193115,0.03464618697762489,0.025278760120272636,0.34027862548828125,0.025278760120272636,0.34027862548828125,0,0.0,3859584,101568,102764.59375,0.011781208156112161,0,0,True
165,lightweight_reduction,1.0085543394088745,1.0191452503204346,0.03436793386936188,0.025291115045547485,0.33962151408195496,0.025291115045547485,0.33962151408195496,0,0.0,3859584,101568,102605.1796875,0.01021167776760397,0,0,True
170,lightweight_reduction,1.007162094116211,1.0164315700531006,0.03408312425017357,0.025307251140475273,0.33875802159309387,0.025307251140475273,0.33875802159309387,0,0.0,3859584,101568,102517.3984375,0.009347416878347512,0,0,True
175,lightweight_reduction,1.0056815147399902,1.0170116424560547,0.033619172871112823,0.025280319154262543,0.33885371685028076,0.025280319154262543,0.33885371685028076,0,0.0,3859584,101568,102420.9921875,0.008398237510830183,0,0,True
180,lightweight_reduction,1.0017123222351074,1.0184686183929443,0.03301575034856796,0.025169212371110916,0.339417040348053,0.025169212371110916,0.339417040348053,0,0.0,3859584,101568,102301.984375,0.007226531732435413,0,0,True
185,lightweight_reduction,0.998653769493103,1.019494652748108,0.03236863762140274,0.02512892708182335,0.3397376537322998,0.02512892708182335,0.3397376537322998,0,0.0,3859584,101568,102226.359375,0.006481956669423441,0,0,True
190,lightweight_reduction,0.9962584972381592,1.0201663970947266,0.03165722265839577,0.025102177634835243,0.33999088406562805,0.025102177634835243,0.33999088406562805,0,0.0,3859584,101568,102184.1953125,0.006066825304229678,0,0,True
195,lightweight_reduction,0.9945547580718994,1.0204904079437256,0.030867770314216614,0.025078270584344864,0.3401147127151489,0.025078270584344864,0.3401147127151489,0,0.0,3859584,101568,102119.7890625,0.005432705798086012,0,0,True
200,lightweight_reduction,0.9932860136032104,1.0205721855163574,0.030028050765395164,0.025063758715987206,0.34015604853630066,0.025063758715987206,0.34015604853630066,0,0.0,3859584,101568,102085.21875,0.00509233961483932,0,0,True
205,lightweight_reduction,0.9923802614212036,1.0204380750656128,0.029067721217870712,0.02505449205636978,0.3401201665401459,0.02505449205636978,0.3401201665401459,0,0.0,3859584,101568,102040.8125,0.00465513252205419,0,0,True
210,lightweight_reduction,0.9919411540031433,1.0201359987258911,0.027583518996834755,0.02505108341574669,0.3400273621082306,0.02505108341574669,0.3400273621082306,0,0.0,3859584,101568,101999.328125,0.00424669310215816,0,0,True
215,lightweight_reduction,0.9917505979537964,1.0197010040283203,0.02695249393582344,0.02505221776664257,0.33989182114601135,0.02505221776664257,0.33989182114601135,0,0.0,3859584,101568,101954.90625,0.0038093321715500944,0,0,True
220,lightweight_reduction,0.9917469620704651,1.0191614627838135,0.026857372373342514,0.02505623735487461,0.3397165834903717,0.02505623735487461,0.3397165834903717,0,0.0,3859584,101568,101928.09375,0.0035453464673913045,0,0,True
225,lightweight_reduction,0.9918691515922546,1.0185340642929077,0.02678150124847889,0.02506347931921482,0.33951398730278015,0.02506347931921482,0.33951398730278015,0,0.0,3859584,101568,101919.6015625,0.0034617356106253936,0,0,True
230,lightweight_reduction,0.9921494722366333,1.0178312063217163,0.026710011065006256,0.025073960423469543,0.3392842411994934,0.025073960423469543,0.3392842411994934,0,0.0,3859584,101568,101906.5,0.0033327425960932577,0,0,True
235,lightweight_reduction,0.9924978017807007,1.0170600414276123,0.026642924174666405,0.025088094174861908,0.3390340209007263,0.025088094174861908,0.3390340209007263,0,0.0,3859584,101568,101922.671875,0.0034919647428323882,0,0,True
240,lightweight_reduction,0.9929332733154297,1.016227126121521,0.0265420600771904,0.02510620839893818,0.33876264095306396,0.02510620839893818,0.33876264095306396,0,0.0,3859584,101568,101924.5625,0.0035105791194076875,0,0,True
245,lightweight_reduction,0.9935895800590515,1.0153136253356934,0.026319919154047966,0.02513798698782921,0.3384673595428467,0.02513798698782921,0.3384673595428467,0,0.0,3859584,101568,101937.2890625,0.003635880026189351,0,0,True
250,lightweight_reduction,0.995006799697876,1.0142884254455566,0.025699682533740997,0.025216063484549522,0.33813247084617615,0.025216063484549522,0.33813247084617615,0,0.0,3859584,101568,101975.3828125,0.004010936638508191,0,0,True
