step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.9999823570251465,1.0019539594650269,0.0011152910301461816,0.027748383581638336,0.3338790237903595,0.027748383581638336,0.3338790237903595,0,0.0,3859584,101568,101575.078125,6.968853379017013e-05,0,0,True
10,lightweight_reduction,0.9998047351837158,1.004794716835022,0.002510356716811657,0.027685755863785744,0.3348464071750641,0.027685755863785744,0.3348464071750641,0,0.0,3859584,101568,101596.0546875,0.00027621581108223063,0,0,True
15,lightweight_reduction,0.9993902444839478,1.0070195198059082,0.003710749326273799,0.027620771899819374,0.3355870246887207,0.027620771899819374,0.3355870246887207,0,0.0,3859584,101568,101628.5,0.0005956600504095778,0,0,True
20,lightweight_reduction,0.9988045692443848,1.0094428062438965,0.004995422903448343,0.02755139395594597,0.3363851308822632,0.02755139395594597,0.3363851308822632,0,0.0,3859584,101568,101672.5625,0.0010294827110901071,0,0,True
25,lightweight_reduction,0.9980795979499817,1.0118571519851685,0.006279665045440197,0.027478592470288277,0.3371882140636444,0.027478592470288277,0.3371882140636444,0,0.0,3859584,101568,101733.8125,0.0016325269770006302,0,0,True
30,lightweight_reduction,0.9972571134567261,1.0142618417739868,0.0076790787279605865,0.02740473672747612,0.33798298239707947,0.02740473672747612,0.33798298239707947,0,0.0,3859584,101568,101801.7109375,0.0023010292365705735,0,0,True
35,lightweight_reduction,0.9964883923530579,1.0166847705841064,0.009086753241717815,0.027329685166478157,0.3387838900089264,0.027329685166478157,0.3387838900089264,0,0.0,3859584,101568,101887.578125,0.0031464449925173283,0,0,True
40,lightweight_reduction,0.9957225322723389,1.0191066265106201,0.010494534857571125,0.027254225686192513,0.3395828902721405,0.027254225686192513,0.3395828902721405,0,0.0,3859584,101568,101946.5703125,0.0037272596930135477,0,0,True
45,lightweight_reduction,0.9949128031730652,1.0215330123901367,0.011901630088686943,0.02717861533164978,0.34038224816322327,0.02717861533164978,0.34038224816322327,0,0.0,3859584,101568,102009.8359375,0.004350149038082861,0,0,True
50,lightweight_reduction,0.9940633177757263,1.0239628553390503,0.013308391906321049,0.027103174477815628,0.3411816358566284,0.027103174477815628,0.3411816358566284,0,0.0,3859584,101568,102095.4921875,0.005193487983419975,0,0,True
55,lightweight_reduction,0.9931818842887878,1.0263968706130981,0.014713943004608154,0.02702808752655983,0.3419812321662903,0.02702808752655983,0.3419812321662903,0,0.0,3859584,101568,102164.1953125,0.0058699128908711404,0,0,True
60,lightweight_reduction,0.9922756552696228,1.028834581375122,0.016119079664349556,0.026953542605042458,0.342780739068985,0.026953542605042458,0.342780739068985,0,0.0,3859584,101568,102261.7109375,0.0068300147438169504,0,0,True
65,lightweight_reduction,0.9913492202758789,1.0312761068344116,0.017523812130093575,0.026879634708166122,0.3435803949832916,0.026879634708166122,0.3435803949832916,0,0.0,3859584,101568,102372.4765625,0.007920571070612791,0,0,True
70,lightweight_reduction,0.9904065132141113,1.033721923828125,0.018928909674286842,0.02680649608373642,0.34438008069992065,0.02680649608373642,0.34438008069992065,0,0.0,3859584,101568,102515.640625,0.009330110123267172,0,0,True
