step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel,inlet_mean_ux,outlet_mean_ux,midplane_mean_ux,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel,max_v,mach_proxy_observed
0,1.0,1.0,1.0,101568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.9997717142105103,1.004794716835022,1.0002672029183808,101595.1392660141,27.13926601409912,0.00026720291838078057,0.0023869214507281104,0.0001328411133190646,0.0,5.071840796337953,0.2810278098522939,4.790812986485659,0.9445905695511567,0.0025103566516046613,0.004348065265697756
20,0.9986199736595154,1.0094428062438965,1.0009474735795072,101664.23299652338,96.23299652338028,0.000947473579507131,0.004697099135702719,0.0007882972160367021,0.0,10.021465261948961,1.66574424118132,8.355721020767641,0.8337823663864731,0.004995423008876843,0.008652326456673288
30,0.9968351125717163,1.0142618417739868,1.001943172107638,101765.36410462856,197.36410462856293,0.0019431721076378675,0.007040817203178002,0.001797139180116866,2.4218792357851905e-08,15.084711285883031,3.790749351436255,11.293961934446777,0.7487025585313116,0.007679078986024745,0.013300554959129357
40,0.9953407049179077,1.0191066265106201,1.0032456634365488,101897.65554392338,329.655543923378,0.0032456634365486963,0.009389343457155648,0.0026441244969108374,4.7418578673221895e-05,20.201154858950908,5.568959463982672,14.632195394968235,0.7243246981241209,0.010494535059246276,0.018177067924427408
50,0.9937531352043152,1.0239628553390503,1.0048781077453202,102063.45964747667,495.4596474766731,0.004878107745320112,0.011737735923080368,0.003538889777212842,0.002023870267906175,25.36074322428412,7.441601717002807,17.919141507281314,0.7065700460277868,0.013308391833357238,0.023050810822409458
60,0.9920054078102112,1.028834581375122,1.006825431808712,102261.24545794725,693.2454579472542,0.006825431808711938,0.014085888622737084,0.00452315361393723,0.004936685194661894,30.563793212516543,9.494599334815732,21.069193877700812,0.689351407765464,0.0161190519068834,0.02791901687256205
70,0.990158200263977,1.0337220430374146,1.0090786705090515,102490.10240626335,922.1024062633514,0.009078670509051586,0.016433855202242675,0.0055629467773308456,0.008226384804121946,35.810962339167254,11.655496524798389,24.155465814368867,0.6745271346128974,0.018928919160622504,0.0327858497185622
80,0.9882695078849792,1.0386221408843994,1.0116280620012763,102749.03900134563,1181.0390013456345,0.011628062001276331,0.018781632042379034,0.006805180324948374,0.011409647244078043,41.10268823447112,14.231178312018368,26.87150992245275,0.6537652663778017,0.021742992852464654,0.037659968329075734
90,0.9867459535598755,1.041349172592163,1.0141295311296454,103003.10821777582,1435.1082177758217,0.014129531129645377,0.020023680734844253,0.011159260442021826,0.014619840740574794,43.915833992990265,23.300634096259163,20.615199896731102,0.4694252168824039,0.02446365714140031,0.042372297107850544
