step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
5,0.9999787211418152,1.0019539594650269,1.0000658214260092,101574.6853505969,6.685350596904755,6.582142600922293e-05
10,0.9997717142105103,1.004794716835022,1.0002672029183808,101595.1392660141,27.13926601409912,0.00026720291838078057
15,0.9992933869361877,1.0070195198059082,1.0005631658073137,101625.19962471724,57.199624717235565,0.0005631658073136772
20,0.9986199736595154,1.0094428062438965,1.0009474735795072,101664.23299652338,96.23299652338028,0.000947473579507131
25,0.9977821111679077,1.0118571519851685,1.0014100432162372,101711.21526938677,143.21526938676834,0.001410043216237086
30,0.9968351125717163,1.0142618417739868,1.001943172107638,101765.36410462856,197.36410462856293,0.0019431721076378675
35,0.9960599541664124,1.0166847705841064,1.0025524987522854,101827.25219327211,259.2521932721138,0.0025524987522853046
40,0.9953407049179077,1.0191066265106201,1.0032456634365488,101897.65554392338,329.655543923378,0.0032456634365486963
45,0.9945718050003052,1.0215330123901367,1.0040216634804693,101976.47231638432,408.4723163843155,0.004021663480469395
50,0.9937531352043152,1.0239628553390503,1.0048781077453202,102063.45964747667,495.4596474766731,0.004878107745320112
55,0.9928947687149048,1.0263968706130981,1.0058131325959445,102158.4282515049,590.4282515048981,0.00581313259594457
60,0.9920054078102112,1.028834581375122,1.006825431808712,102261.24545794725,693.2454579472542,0.006825431808711938
65,0.9910915493965149,1.031275987625122,1.007914128984432,102371.82225269079,803.8222526907921,0.007914128984432027
70,0.990158200263977,1.0337220430374146,1.0090786705090515,102490.10240626335,922.1024062633514,0.009078670509051586
75,0.9892100095748901,1.0361720323562622,1.0103184925157531,102616.02864784002,1048.028647840023,0.01031849251575322
80,0.9882695078849792,1.0386221408843994,1.0116280620012763,102749.03900134563,1181.0390013456345,0.011628062001276331
85,0.9874447584152222,1.0410557985305786,1.0129631987069254,102884.64616626501,1316.6461662650108,0.012963198706925517
90,0.9867459535598755,1.041349172592163,1.0141295311296454,103003.10821777582,1435.1082177758217,0.014129531129645377
95,0.9864018559455872,1.0404565334320068,1.0149845775561883,103089.95357322693,1521.9535732269287,0.014984577556188256
100,0.9868066310882568,1.0396779775619507,1.015618867339436,103154.37711793184,1586.3771179318428,0.015618867339436071
105,0.9877105951309204,1.0382829904556274,1.0160501974352554,103198.18645310402,1630.1864531040192,0.016050197435255386
110,0.9889496564865112,1.0366543531417847,1.016300568905223,103223.61618256569,1655.616182565689,0.016300568905222995
115,0.9904887676239014,1.0348780155181885,1.0163889633393046,103232.59422844648,1664.5942284464836,0.016388963339304542
120,0.9922412037849426,1.0332386493682861,1.016329277571462,103226.53206437826,1658.5320643782616,0.01632927757146209
125,0.994162917137146,1.031896710395813,1.0161310631527125,103206.39982229471,1638.399822294712,0.016131063152712587
130,0.9962134957313538,1.0304940938949585,1.015798534689179,103172.62557131052,1604.6255713105202,0.015798534689178877
135,0.9983630776405334,1.0289535522460938,1.0153357663673654,103125.62311840057,1557.6231184005737,0.015335766367365448
140,1.000595211982727,1.0273734331130981,1.0147465636041755,103065.7789721489,1497.7789721488953,0.014746563604175481
145,1.0028938055038452,1.0257296562194824,1.0140334827439283,102993.35277533531,1425.352775335312,0.014033482743928323
150,1.0052436590194702,1.0240240097045898,1.0131984327197376,102908.5384144783,1340.538414478302,0.013198432719737535
155,1.007632851600647,1.022256851196289,1.0122427873703093,102811.47542762756,1243.4754276275635,0.012242787370309186
160,1.0089370012283325,1.0204343795776367,1.0111691360822548,102702.42681360245,1134.4268136024475,0.011169136082254722
165,1.0077933073043823,1.0184382200241089,1.0100012010112451,102583.80198431015,1015.8019843101501,0.010001201011245178
170,1.0064538717269897,1.0157310962677002,1.0088398903526163,102465.84998333454,897.8499833345413,0.008839890352616389
175,1.0050060749053955,1.0166610479354858,1.0078042084767842,102360.65784657001,792.657846570015,0.007804208476784174
180,1.0010457038879395,1.0180855989456177,1.0068948100806316,102268.29207026958,700.2920702695847,0.006894810080631544
185,0.9979822039604187,1.0190601348876953,1.0061107233727717,102188.65395152569,620.6539515256882,0.00611072337277182
190,0.9955976009368896,1.0196623802185059,1.005452809575417,102121.83096295595,553.8309629559517,0.005452809575416978
195,0.9938978552818298,1.0199031829833984,1.004900713174803,102065.75563573837,497.7556357383728,0.00490071317480282
200,0.9926327466964722,1.0198935270309448,1.0044350556873147,102018.45973604918,450.45973604917526,0.0044350556873146586
205,0.9917328357696533,1.019677758216858,1.0040367068447027,101978.00024080276,410.0002408027649,0.004036706844702711
210,0.9912989139556885,1.0193320512771606,1.0036979115268223,101943.5894779563,375.589477956295,0.003697911526822375
215,0.9911102056503296,1.0188778638839722,1.0034189301530614,101915.25389778614,347.25389778614044,0.003418930153061402
220,0.9911057949066162,1.0183334350585938,1.0031988901146596,101892.90487116575,324.9048711657524,0.0031988901146596605
225,0.9912277460098267,1.0177128314971924,1.0030364132402365,101876.40241998434,308.40241998434067,0.003036413240236498
230,0.9915094971656799,1.0170201063156128,1.0029304912137766,101865.64413160086,297.6441316008568,0.0029304912137765515
235,0.9918595552444458,1.0162607431411743,1.002880544228586,101860.57111620903,292.57111620903015,0.002880544228586072
240,0.9922982454299927,1.0154412984848022,1.002889010870375,101861.43105608225,293.4310560822487,0.002889010870375007
245,0.9929580688476562,1.0145407915115356,1.0029699603170767,101869.65292948484,301.6529294848442,0.00296996031707668
250,0.9943891763687134,1.0135271549224854,1.003163624908153,101889.32305467129,321.32305467128754,0.0031636249081530357
