step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel
0,1.0,1.0,1.0,101568.0,0.0,0.0
5,0.9999894499778748,1.0019539594650269,1.0000661034448037,101574.71399468184,6.713994681835175,6.610344480382772e-05
10,0.9998683929443359,1.004794716835022,1.000271221829981,101595.5474588275,27.547458827495575,0.00027122182998085595
15,0.9995435476303101,1.0070195198059082,1.0005789624243064,101626.80405551195,58.80405551195145,0.0005789624243063903
20,0.9990378022193909,1.0094428062438965,1.0009847525067077,101668.0193426013,100.01934260129929,0.0009847525067078144
25,0.9983810186386108,1.0118571519851685,1.0014792170737081,101718.2411197424,150.2411197423935,0.0014792170737081905
30,0.9976056218147278,1.0142618417739868,1.002054814351975,101776.70338410139,208.70338410139084,0.0020548143519749412
35,0.9967461228370667,1.0166847705841064,1.0027069923941518,101842.94380348921,274.9438034892082,0.0027069923941517825
40,0.9959164261817932,1.0191066265106201,1.003435448478736,101916.93163108826,348.93163108825684,0.003435448478735988
45,0.9951022267341614,1.0215330123901367,1.0042430109502285,101998.9541361928,430.9541361927986,0.004243010950228405
50,0.994255542755127,1.0239628553390503,1.0051289899216023,102088.9412483573,520.941248357296,0.005128989921602237
55,0.9933776259422302,1.0263968706130981,1.0060921767397908,102186.77020710707,618.7702071070671,0.0060921767397907525
60,0.9924734830856323,1.0288344621658325,1.0071316170133533,102292.34407681227,724.3440768122673,0.007131617013353293
65,0.9915481209754944,1.0312761068344116,1.0082466449616705,102405.59523546696,837.5952354669571,0.008246644961670576
70,0.9906050562858582,1.033721923828125,1.0094368531466675,102526.48230040073,958.482300400734,0.009436853146667592
75,0.9896488189697266,1.0361719131469727,1.0107017943656709,102654.95985013247,1086.9598501324654,0.010701794365670933
80,0.9886985421180725,1.0386223793029785,1.0120359759991395,102790.47001028061,1222.4700102806091,0.012035975999139583
85,0.9878442287445068,1.041061282157898,1.0133948292349664,102928.48601573706,1360.4860157370567,0.013394829234966295
90,0.9870601296424866,1.0413984060287476,1.0145821576743201,103049.08059066534,1481.0805906653404,0.014582157674320065
95,0.9865373373031616,1.0406699180603027,1.0154509961214233,103137.32677406073,1569.3267740607262,0.015450996121423343
100,0.986722469329834,1.0402023792266846,1.0160883072952644,103202.05719536543,1634.057195365429,0.01608830729526454
105,0.9874477982521057,1.039153814315796,1.0165125154540948,103245.1431696415,1677.1431696414948,0.016512515454094743
110,0.988571286201477,1.0378611087799072,1.0167486264951946,103269.12449586391,1701.1244958639145,0.016748626495194496
115,0.9900447130203247,1.0363619327545166,1.0168176950803514,103276.13965392113,1708.1396539211273,0.016817695080351365
120,0.9917718172073364,1.0347117185592651,1.0167339206682007,103267.63085442781,1699.6308544278145,0.016733920668200758
125,0.9936538934707642,1.033068060874939,1.0165081957740112,103244.70442837477,1676.7044283747673,0.016508195774011178
130,0.9955625534057617,1.0315204858779907,1.016142772574027,103207.58912479877,1639.5891247987747,0.016142772574027003
135,0.9974714517593384,1.029954195022583,1.015635758838496,103156.09275370836,1588.0927537083626,0.01563575883849601
140,0.9993869662284851,1.0283058881759644,1.0149856351207995,103090.06098794937,1522.0609879493713,0.014985635120799576
145,1.0013086795806885,1.026625633239746,1.0141915314876027,103009.40547013283,1441.4054701328278,0.014191531487602669
150,1.0032352209091187,1.0249031782150269,1.0132525149021572,102914.0314335823,1346.031433582306,0.013252514902157234
155,1.005163311958313,1.023138403892517,1.012167746622512,102803.8536889553,1235.853688955307,0.01216774662251208
160,1.007094144821167,1.021313190460205,1.0109380431116453,102678.9551627636,1110.9551627635956,0.010938043111645356
165,1.0079022645950317,1.01929771900177,1.009586241097432,102541.65533578396,973.6553357839584,0.009586241097431853
170,1.0065388679504395,1.0165503025054932,1.008216011711756,102402.48387753963,834.4838775396347,0.008216011711756012
175,1.0050983428955078,1.0129103660583496,1.0069558492274258,102274.49169433117,706.4916943311691,0.006955849227425657
180,1.001356840133667,1.01481032371521,1.005823810902326,102159.51282572746,591.5128257274628,0.0058238109023261535
185,0.9979712963104248,1.0167286396026611,1.004843358377672,102059.93022370338,491.9302237033844,0.004843358377671948
190,0.9952176213264465,1.0186654329299927,1.004041159879381,101978.45252662897,410.4525266289711,0.004041159879381017
195,0.9932993650436401,1.0205750465393066,1.0034236148171123,101915.72970974445,347.72970974445343,0.003423614817112215
200,0.9919084310531616,1.0220668315887451,1.002986413495945,101871.32404595613,303.3240459561348,0.0029864134959449317
205,0.9909294843673706,1.0224723815917969,1.0026763125575688,101839.82771384716,271.82771384716034,0.0026763125575689226
210,0.9903987646102905,1.0221061706542969,1.002440516879781,101815.87841844559,247.87841844558716,0.0024405168797809068
215,0.9899299740791321,1.0213942527770996,1.0022530881253733,101796.84165471792,228.8416547179222,0.002253088125373368
220,0.9894207715988159,1.0205395221710205,1.0021060836720312,101781.91070640087,213.91070640087128,0.0021060836720312626
225,0.9889294505119324,1.0196846723556519,1.001999780433587,101771.11369907856,203.11369907855988,0.0019997804335869554
230,0.9886066317558289,1.0188324451446533,1.001938547301162,101764.89437228441,196.89437228441238,0.0019385473011619052
235,0.9882203340530396,1.0178683996200562,1.001920460087201,101763.05729013681,195.05729013681412,0.0019204600872008322
240,0.9878154397010803,1.016866683959961,1.0019481609538479,101765.87081176043,197.87081176042557,0.0019481609538479203
245,0.9875768423080444,1.0158324241638184,1.0020387991552757,101775.07675260305,207.07675260305405,0.0020387991552758156
250,0.9880794882774353,1.0147420167922974,1.0022374840016655,101795.25677508116,227.25677508115768,0.0022374840016654626
