step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel,inlet_mean_ux,outlet_mean_ux,midplane_mean_ux,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel,max_v,mach_proxy_observed
0,1.0,1.0,1.0,101568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.9999894499778748,1.0019539594650269,1.0000661034448037,101574.71399468184,6.713994681835175,6.610344480382772e-05,0.0010956484220995936,6.7049240860642266e-06,0.0,2.3227934073551646,0.014187470431304455,2.3086059369238603,0.9938920653096486,0.0011152909744852934,0.0019317406330315325
10,0.9998683929443359,1.004794716835022,1.000271221829981,101595.5474588275,27.547458827495575,0.00027122182998085595,0.0023869214507281104,7.708908921447213e-05,0.0,5.071840796337953,0.16309910138083833,4.908741694957114,0.9678422277176756,0.0025103566516046613,0.004348065265697756
15,0.9995435476303101,1.0070195198059082,1.0005789624243064,101626.80405551195,58.80405551195145,0.0005789624243063903,0.0035015519787398976,0.00026207747994906697,0.0,7.454887642922156,0.5543039386847307,6.900583704237425,0.9256455676818952,0.003710749386146592,0.006427206470960921
20,0.9990378022193909,1.0094428062438965,1.0009847525067077,101668.0193426013,100.01934260129929,0.0009847525067078144,0.004697099135702719,0.0005500208452516253,0.0,10.021465261948961,1.1627288965248836,8.858736365424077,0.8839761585623899,0.004995423008876843,0.008652326456673288
25,0.9983810186386108,1.0118571519851685,1.0014792170737081,101718.2411197424,150.2411197423935,0.0014792170737081905,0.005865870747849036,0.000922632124709601,0.0,12.541118565600318,1.9491401621314581,10.59197840346886,0.8445800386994302,0.00627966479031822,0.010876698471332517
30,0.9976056218147278,1.0142618417739868,1.002054814351975,101776.70338410139,208.70338410139084,0.0020548143519749412,0.007040817203178002,0.0013630269608057204,2.3787461358159158e-08,15.084711285883031,2.877281530429058,12.207429755453973,0.8092584288887417,0.007679078986024745,0.013300554959129357
35,0.9967461228370667,1.0166847705841064,1.0027069923941518,101842.94380348921,274.9438034892082,0.0027069923941517825,0.00821530404443446,0.0018492582300765922,8.217056736628971e-07,17.638029338234343,3.900335011524728,13.737694326709615,0.778867869151919,0.009086753332276732,0.0157387184473491
40,0.9959164261817932,1.0191066265106201,1.003435448478736,101916.93163108826,348.93163108825684,0.003435448478735988,0.009389343457155648,0.0023186158057432516,4.6889607515170255e-05,20.201154858950908,4.8862113452023905,15.314943513748517,0.7581221777012731,0.010494535059246276,0.018177067924427408
45,0.9951022267341614,1.0215330123901367,1.0042430109502285,101998.9541361928,430.9541361927986,0.004243010950228405,0.010563587283078293,0.0027792205089317646,0.0005808589827032304,22.775590661042962,5.852092282980471,16.92349837806249,0.7430542035078669,0.011901630480992248,0.02061422868598899
50,0.994255542755127,1.0239628553390503,1.0051289899216023,102088.9412483573,520.941248357296,0.005128989921602237,0.011737735923080368,0.0032570111636923615,0.0019701933844482864,25.36074322428412,6.85232565418444,18.50841757009968,0.7298058028668887,0.013308391833357238,0.023050810822409458
55,0.9933776259422302,1.0263968706130981,1.0060921767397908,102186.77020710707,618.7702071070671,0.0060921767397907525,0.012911813769362769,0.0037519439651291036,0.003284645041262481,27.956739551499666,7.886635118684897,20.07010443281477,0.7178986088790229,0.014713948532653422,0.02548530643850926
60,0.9924734830856323,1.0288344621658325,1.0071316170133533,102292.34407681227,724.3440768122673,0.007131617013353293,0.014085890848932537,0.004261360942161183,0.004710127223443261,30.563797932470674,8.949288133582884,21.614509798887788,0.7071931913253735,0.01611906085886001,0.02791903237784036
65,0.9915481209754944,1.0312761068344116,1.0082466449616705,102405.59523546696,837.5952354669571,0.008246644961670576,0.01525985285030618,0.004782646396058737,0.0062397974981206325,33.18173591869231,10.034675084952127,23.147060833740184,0.6975843846885876,0.017523836153658285,0.030352174561648522
70,0.9906050562858582,1.033721923828125,1.0094368531466675,102526.48230040073,958.482300400734,0.009436853146667592,0.0164338552576995,0.005313653127140223,0.007822643268751315,35.81096249678254,11.13820092599904,24.672761570783496,0.6889723104482388,0.018928927321385416,0.032785863853418196
75,0.9896488189697266,1.0361719131469727,1.0107017943656709,102654.95985013247,1086.9598501324654,0.010701794365670933,0.017607736514814353,0.0058615938007711855,0.009455360052204868,38.45118286608739,12.274916857781218,26.176266008306175,0.6807662094419658,0.020334752148814077,0.035220823881066385
80,0.9886985421180725,1.0386223793029785,1.0120359759991395,102790.47001028061,1222.4700102806091,0.012035975999139583,0.01878161096790478,0.00656504380296201,0.011087235103806724,41.10268407466139,13.734959791598044,27.367724283063346,0.6658378862400072,0.02174260017533021,0.0376592881923279
85,0.9878442287445068,1.041061282157898,1.0133948292349664,102928.48601573706,1360.4860157370567,0.013394829234966295,0.01995579989288981,0.008114308829745894,0.01270538779166624,43.76562790666823,16.96157500124619,26.80405290542204,0.612445295257334,0.023156232157210247,0.040107770608148414
90,0.9870601296424866,1.0413984060287476,1.0145821576743201,103049.08059066534,1481.0805906653404,0.014582157674320065,0.020022322117423177,0.010978598155883196,0.014340414408161278,43.91676377261473,22.93070749046062,20.98605628215411,0.47785980749429513,0.024417928081390677,0.04229309205253149
95,0.9865373373031616,1.0406699180603027,1.0154509961214233,103137.32677406073,1569.3267740607262,0.015450996121423343,0.01992276711882372,0.013641947228769597,0.015993054537190608,43.678335834741475,28.479063539356233,15.199272295385242,0.3479819458527959,0.02468188515721431,0.042750279118875335
100,0.986722469329834,1.0402023792266846,1.0160883072952644,103202.05719536543,1634.057195365429,0.01608830729526454,0.019974337591453402,0.01577314964494719,0.017660624068142363,43.76755727021802,32.93448566992079,10.833071600297231,0.24751373565160512,0.025019271403132377,0.04333464923858035
105,0.9874477982521057,1.039153814315796,1.0165125154540948,103245.1431696415,1677.1431696414948,0.016512515454094743,0.019950663329353854,0.017720724629864997,0.019340483774343022,43.67230371029589,37.02690317155128,6.64540053874461,0.152165101773139,0.02536085550577104,0.04392629025940834
110,0.988571286201477,1.0378611087799072,1.0167486264951946,103269.12449586391,1701.1244958639145,0.016748626495194496,0.019955235706828885,0.019395913299576278,0.02103062881802038,43.630255200988046,40.5732878104821,3.056967390505946,0.07006531079003907,0.02561622541609079,0.044368603918806454
115,0.9900447130203247,1.0363619327545166,1.0168176950803514,103276.13965392113,1708.1396539211273,0.016817695080351365,0.019951723299441695,0.020897828213058918,0.02273418391449113,43.56156464972605,43.779940596440795,0.21837594671474392,0.004988036615392241,0.025860425316583623,0.044791570553663305
