step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel,inlet_mean_ux,outlet_mean_ux,midplane_mean_ux,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel,max_v,mach_proxy_observed
0,1.0,1.0,1.0,101568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.999988317489624,1.0019539594650269,1.000066076176477,101574.71122509241,6.711225092411041,6.607617647695181e-05,0.0010956484220995936,7.391303457709021e-06,0.0,2.3227934073551646,0.015639817232065114,2.3071535901230993,0.9932668066034019,0.0011152909744852934,0.0019317406330315325
10,0.9998584985733032,1.004794716835022,1.0002708110110934,101595.50573277473,27.505732774734497,0.00027081101109340043,0.0023869214507281104,8.280719382707549e-05,0.0,5.071840796337953,0.1751952707373975,4.896645525600555,0.9654572614219488,0.0025103566516046613,0.004348065265697756
15,0.9995144009590149,1.0070195198059082,1.0005772214919264,101626.62723249197,58.62723249197006,0.0005772214919262963,0.0035015519787398976,0.0002787683037333481,0.0,7.454887642922156,0.5895884910030784,6.865299151919078,0.9209124913421267,0.003710749386146592,0.006427206470960921
20,0.9989820718765259,1.0094428062438965,1.0009802406995305,101667.56108736992,99.56108736991882,0.0009802406995305492,0.004697099135702719,0.0005819923717285188,0.0,10.021465261948961,1.2302472328529102,8.79121802909605,0.8772387868744003,0.004995423008876843,0.008652326456673288
25,0.9982904195785522,1.0118571519851685,1.0014700390986522,101717.3089311719,149.30893117189407,0.0014700390986520761,0.005865870747849036,0.0009740055551642854,0.0,12.541118565600318,2.0574849178235137,10.483633647776804,0.8359408766402149,0.00627966479031822,0.010876698471332517
30,0.9974832534790039,1.0142618417739868,1.002038873165198,101775.08426964283,207.0842696428299,0.0020388731651979942,0.007040817203178002,0.001430786962390724,2.7327896238313883e-08,15.084711285883031,3.0199502702977012,12.06476101558533,0.7998005919328459,0.007679078986024745,0.013300554959129357
35,0.9967172741889954,1.0166847705841064,1.002687132065246,101840.92662960291,272.9266296029091,0.002687132065246033,0.00821530404443446,0.0018654492160389887,8.208773499596333e-07,17.638029338234343,3.934370853731643,13.7036584845027,0.776938184063283,0.009086753332276732,0.0157387184473491
40,0.9959482550621033,1.0191066265106201,1.003416799939582,101915.03753626347,347.0375362634659,0.0034167999395820128,0.009389343457155648,0.0023006012049038844,4.6932136041030624e-05,20.201154858950908,4.848397674778369,15.352757184172539,0.7599940345672813,0.010494535059246276,0.018177067924427408
45,0.995135486125946,1.0215330123901367,1.0042264169661848,101997.26871842146,429.2687184214592,0.004226416966184814,0.010563587283078293,0.0027596553222457606,0.0005818520857434168,22.775590661042962,5.811089335217305,16.96450132582566,0.7448545057864507,0.011901630480992248,0.02061422868598899
