time_s,step,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m,flap_tip_velocity_m_per_s,fluid_force_x_n,fluid_force_y_n,fluid_force_magnitude_n
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,10,1.3323877112725313e-07,3.483146571170437e-08,-1.1093216301105713e-07,2.6647754225450626e-05,0.0,0.40824753046035767,0.40824753046035767
0.01,20,3.7688513998546114e-07,1.365668111930063e-07,-2.6751078507913917e-07,4.87292737716416e-05,0.0,0.4082478880882263,0.4082478880882263
0.015,30,6.192979640218255e-07,2.9901275411248207e-07,-3.132969084163051e-07,4.848256480727287e-05,0.0,0.40825027227401733,0.40825027227401733
0.02,40,8.945603440224659e-07,5.149282742422656e-07,-2.823653630912304e-07,5.505247600012807e-05,0.0,0.408253014087677,0.408253014087677
0.025,50,1.226210542881745e-06,7.774448249620036e-07,-2.767308728834905e-07,6.63300397718558e-05,0.0,0.41124552488327026,0.41124552488327026
0.03,60,1.591005002410384e-06,1.0832562793439138e-06,-2.977089081923623e-07,7.295889190572784e-05,0.0,0.4185091257095337,0.4185091257095337
0.035,70,1.9627348137873923e-06,1.4171936300044763e-06,-3.049615884265222e-07,7.434596227540162e-05,0.0,0.4204556345939636,0.4204556345939636
0.04,80,2.3400959889841033e-06,1.7703977164273965e-06,-3.059860489429411e-07,7.547223503934224e-05,0.0,0.42091232538223267,0.42091232538223267
0.045,90,2.7194928406970575e-06,2.1355576791393105e-06,-3.1450764481633087e-07,7.587937034259089e-05,0.0,0.4218416213989258,0.4218416213989258
0.05,100,3.09760639538581e-06,2.507853878341848e-06,-3.2309910125150054e-07,7.562271093775046e-05,0.0,0.42256414890289307,0.42256414890289307
0.055,110,3.4730305742414203e-06,2.879707608371973e-06,-3.278604765455384e-07,7.508483577112206e-05,0.0,0.42336416244506836,0.42336416244506836
0.06,120,3.84774921258213e-06,3.2477896638738457e-06,-3.3257529707952926e-07,7.494372766814199e-05,0.0,0.4236793518066406,0.4236793518066406
0.065,130,4.2193564695480745e-06,3.609340637922287e-06,-3.3812830224633217e-07,7.432145139318884e-05,0.0,0.41790127754211426,0.41790127754211426
0.07,140,4.590656772052171e-06,3.968400505982572e-06,-3.4319236874580383e-07,7.426006050081917e-05,0.0,0.41341227293014526,0.41341227293014526
0.075,150,4.960954356647562e-06,4.323304438003106e-06,-3.482564352452755e-07,7.405951691907844e-05,0.0,0.41568636894226074,0.41568636894226074
0.08,160,5.324345693225041e-06,4.667742359742988e-06,-3.528548404574394e-07,7.267826731549569e-05,0.0,0.41649124026298523,0.41649124026298523
0.085,170,5.678597062797053e-06,4.99912994200713e-06,-3.5710399970412254e-07,7.085027391440228e-05,0.0,0.4151762127876282,0.4151762127876282
0.09,180,6.025822131050518e-06,5.321076514519518e-06,-3.6200509612172027e-07,6.944501365069313e-05,0.0,0.41467276215553284,0.41467276215553284
0.095,190,6.36413005850045e-06,5.632615739159519e-06,-3.6705750972032547e-07,6.766158548998641e-05,0.0,0.41473880410194397,0.41473880410194397
0.1,200,6.69115115670138e-06,5.931605301157106e-06,-3.7174905287429283e-07,6.5404219640186e-05,0.0,0.4145391583442688,0.4145391583442688
0.105,210,7.007191925367806e-06,6.218685484782327e-06,-3.7691788179472496e-07,6.320815373328527e-05,0.0,0.41522639989852905,0.41522639989852905
0.11,220,7.314038612094009e-06,6.49609137326479e-06,-3.8233119425967743e-07,6.136933734524058e-05,0.0,0.4143570363521576,0.4143570363521576
0.115,230,7.61388673709007e-06,6.7661981120181736e-06,-3.8776781252636283e-07,5.996962499921205e-05,0.0,0.41168853640556335,0.41168853640556335
0.12,240,7.906513928901404e-06,7.02905254001962e-06,-3.9315781918958237e-07,5.852543836226698e-05,0.0,0.41101884841918945,0.41101884841918945
0.125,250,8.1945045167231e-06,7.287133485078812e-06,-3.9869919987722824e-07,5.7598117564339137e-05,0.0,0.4103790819644928,0.4103790819644928
