time_s,step,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m,flap_tip_velocity_m_per_s,fluid_force_x_n,fluid_force_y_n,fluid_force_magnitude_n
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,5,3.963558370401188e-08,7.031485615982547e-09,-3.472669263260286e-08,1.585423348160475e-05,0.0,0.4082481563091278,0.4082481563091278
0.005,10,1.3323877112725313e-07,3.483146571170437e-08,-1.1093216301105713e-07,3.74412749692965e-05,0.0,0.40824753046035767,0.40824753046035767
0.0075,15,2.532714518110879e-07,7.848721139680492e-08,-1.9801082373760437e-07,4.8013072273533914e-05,0.0,0.40824759006500244,0.40824759006500244
0.01,20,3.7688513998546114e-07,1.365668111930063e-07,-2.6751078507913917e-07,4.944547526974929e-05,0.0,0.4082478880882263,0.4082478880882263
0.0125,25,4.977333105671278e-07,2.1087471679948067e-07,-3.059394657611847e-07,4.833926823266665e-05,0.0,0.4082489311695099,0.4082489311695099
0.015,30,6.192979640218255e-07,2.9901275411248207e-07,-3.132969084163051e-07,4.8625861381879103e-05,0.0,0.40825027227401733,0.40825027227401733
0.0175,35,7.496398097828205e-07,4.006899132491526e-07,-3.000255617280345e-07,5.2136738304397975e-05,0.0,0.40825051069259644,0.40825051069259644
0.02,40,8.945603440224659e-07,5.149282742422656e-07,-2.823653630912304e-07,5.796821369585817e-05,0.0,0.408253014087677,0.408253014087677
0.0225,45,1.0541878054937115e-06,6.400281904461735e-07,-2.734363135914464e-07,6.385098458849828e-05,0.0,0.40842026472091675,0.40842026472091675
0.025,50,1.226210542881745e-06,7.774448249620036e-07,-2.767308728834905e-07,6.88090949552133e-05,0.0,0.41124552488327026,0.41124552488327026
