time_s,step,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m,flap_tip_velocity_m_per_s,official_point_like_total_displacement_m,official_point_like_x_displacement_m,official_point_like_y_displacement_m,official_point_like_z_displacement_m,official_point_like_particle_count,fluid_force_x_n,fluid_force_y_n,fluid_force_magnitude_n
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0
0.0005,1,3.0882552071176406e-09,3.4924596548080444e-10,-2.875458537943132e-09,6.176510414235281e-06,2.9802322387695314e-09,0.0,-2.9802322387695314e-09,0.0,8,0.0,0.40824824571609497,0.40824824571609497
0.001,2,8.732592426952124e-09,9.196810535350153e-10,-7.986090899692044e-09,1.1288674439668966e-05,9.132661426165152e-09,0.0,-8.940696716308595e-09,1.862645149230957e-09,8,0.0,0.40824803709983826,0.40824803709983826
0.0015,3,1.6318493223366204e-08,1.5832484212552345e-09,-1.4668330550193787e-08,1.517180159282816e-05,1.923130377998994e-08,0.0,-1.788139343261719e-08,7.078051567077637e-09,8,0.0,0.4082486629486084,0.4082486629486084
0.002,4,2.657176878528844e-08,3.7369320970981335e-09,-2.3457687348127365e-08,2.0506551123844474e-05,3.152661039178921e-08,4.4703483581542975e-09,-2.868473529815674e-08,1.2293457984924317e-08,8,0.0,0.4082481265068054,0.4082481265068054
0.0025,5,3.963558370401188e-08,7.031485615982547e-09,-3.472669263260286e-08,2.6127629837446875e-05,4.7778209641084294e-08,1.043081283569336e-08,-4.321336746215821e-08,1.7508864402770997e-08,8,0.0,0.4082481563091278,0.4082481563091278
0.003,6,5.515335388395215e-08,1.1082739170831246e-08,-4.789326268905825e-08,3.103554035988054e-05,6.699932271535038e-08,1.6391277313232423e-08,-5.997717380523682e-08,2.4959444999694825e-08,8,0.0,0.4082476794719696,0.4082476794719696
0.0035,7,7.243881583463008e-08,1.641456037759781e-08,-6.223563531193577e-08,3.4570923901355854e-05,8.79121153776422e-08,2.2351741790771484e-08,-7.860362529754639e-08,3.2410025596618656e-08,8,0.0,0.40824800729751587,0.40824800729751587
0.004,8,9.122004485107027e-08,2.2316816838952036e-08,-7.745111219037426e-08,3.7562458032880386e-05,1.1061666018349139e-07,2.831220626831055e-08,-9.797513484954834e-08,4.284083843231201e-08,8,0.0,0.40824779868125916,0.40824779868125916
0.0045000000000000005,9,1.1146775591441838e-07,2.852175384759903e-08,-9.371433407068253e-08,4.049542212669618e-05,1.3466499337238117e-07,3.4272670745849613e-08,-1.1883676052093507e-07,5.3271651268005374e-08,8,0.0,0.4082479178905487,0.4082479178905487
0.005,10,1.3323877112725313e-07,3.483146571170437e-08,-1.1093216301105713e-07,4.354203042566954e-05,1.6063303169357608e-07,4.0233135223388675e-08,-1.4118850231170654e-07,6.51925802230835e-08,8,0.0,0.40824753046035767,0.40824753046035767
0.0055,11,1.559255196070808e-07,4.178145829314417e-08,-1.2866222220964119e-07,4.5373496959655353e-05,1.8737654732250276e-07,4.917383193969727e-08,-1.6354024410247805e-07,7.711350917816163e-08,8,0.0,0.4082476794719696,0.4082476794719696
0.006,12,1.7930756257555913e-07,4.962785382645052e-08,-1.4636898981734703e-07,4.676408593695665e-05,2.1381543738413946e-07,5.8114528656005865e-08,-1.8514692783355714e-07,8.977949619293213e-08,8,0.0,0.4082475006580353,0.4082475006580353
0.006500000000000001,13,2.0343777862308343e-07,5.8684964443500576e-08,-1.6383128809138725e-07,4.826043209504856e-05,2.404982904134141e-07,7.003545761108399e-08,-2.0563602447509767e-07,1.0319054126739503e-07,8,0.0,0.4082476794719696,0.4082476794719696
0.007,14,2.2818451839157206e-07,6.828923204693638e-08,-1.8115387945272232e-07,4.949347953697729e-05,2.6666261841505424e-07,8.195638656616211e-08,-2.253800630569458e-07,1.1660158634185791e-07,8,0.0,0.4082474708557129,0.4082474708557129
0.0075,15,2.532714518110879e-07,7.848721139680492e-08,-1.9801082373760437e-07,5.017386683903173e-05,2.9428237182783625e-07,9.387731552124024e-08,-2.4475157260894776e-07,1.337379217147827e-07,8,0.0,0.40824759006500244,0.40824759006500244
0.008,16,2.7827911708300235e-07,8.915085203398121e-08,-2.1400629179879616e-07,5.001533054382885e-05,3.208307728972212e-07,1.0579824447631837e-07,-2.6263296604156494e-07,1.5087425708770752e-07,8,0.0,0.4082475006580353,0.4082475006580353
0.0085,17,3.0308359555419884e-07,1.0019866891752827e-07,-2.2887252271175385e-07,4.960895694239293e-05,3.4512397012184776e-07,1.1771917343139649e-07,-2.775341272354126e-07,1.6801059246063233e-07,8,0.0,0.4082476794719696,0.4082476794719696
0.009000000000000001,18,3.2774067904028925e-07,1.116772168074931e-07,-2.429005689918995e-07,4.931416697218079e-05,3.699740321763358e-07,1.2964010238647463e-07,-2.9243528842926025e-07,1.8589198589324953e-07,8,0.0,0.4082477390766144,0.4082477390766144
0.0095,19,3.521109022130986e-07,1.2359815571016952e-07,-2.557877394337993e-07,4.874044634561882e-05,3.9267775946298547e-07,1.4156103134155273e-07,-3.043562173843384e-07,2.037733793258667e-07,8,0.0,0.40824782848358154,0.40824782848358154
0.01,20,3.7688513998546114e-07,1.365668111930063e-07,-2.6751078507913917e-07,4.954847554472504e-05,4.1457794857315217e-07,1.5348196029663087e-07,-3.1441450119018557e-07,2.2239983081817628e-07,8,0.0,0.4082478880882263,0.4082478880882263
0.0105,21,4.0150379732040165e-07,1.5037367973036453e-07,-2.7792995638264983e-07,4.9237314669880975e-05,4.3675482033789426e-07,1.6763806343078613e-07,-3.233551979064942e-07,2.4102628231048585e-07,8,0.0,0.40824809670448303,0.40824809670448303
0.011,22,4.256493184584542e-07,1.64716041695101e-07,-2.8692883802250435e-07,4.829104227610527e-05,4.59476314738922e-07,1.8328428268432618e-07,-3.300607204437256e-07,2.6188790798187255e-07,8,0.0,0.40824824571609497,0.40824824571609497
0.0115,23,4.497192378494219e-07,1.7962884157896042e-07,-2.945307642221451e-07,4.8139838781935355e-05,4.826465465703041e-07,2.00420618057251e-07,-3.3527612686157227e-07,2.834945917129517e-07,8,0.0,0.4082484841346741,0.4082484841346741
0.012,24,4.737230767659639e-07,1.9496074799008056e-07,-3.0087539926171303e-07,4.8007677833083976e-05,5.060827094208068e-07,2.1830201148986817e-07,-3.390014171600342e-07,3.058463335037232e-07,8,0.0,0.4082486927509308,0.4082486927509308
0.0125,25,4.977333105671278e-07,2.1087471679948067e-07,-3.059394657611847e-07,4.802046760232766e-05,5.295640035973878e-07,2.3618340492248537e-07,-3.4160912036895753e-07,3.2857060432434083e-07,8,0.0,0.4082489311695099,0.4082489311695099
0.013000000000000001,26,5.217386274125602e-07,2.273591235280037e-07,-3.0969968634053657e-07,4.801063369086474e-05,5.528837860957815e-07,2.5406479835510255e-07,-3.427267074584961e-07,3.516674041748047e-07,8,0.0,0.4082491993904114,0.4082491993904114
0.0135,27,5.458177270156739e-07,2.4443724555567314e-07,-3.1223754604070564e-07,4.815819920622756e-05,5.767833416615971e-07,2.7194619178771973e-07,-3.430992364883423e-07,3.75509262084961e-07,8,0.0,0.40824955701828003,0.40824955701828003
0.014,28,5.700829319721379e-07,2.620974726141867e-07,-3.135763222417154e-07,4.853040991292797e-05,6.007852712919548e-07,2.8982758522033696e-07,-3.427267074584961e-07,3.993511199951172e-07,8,0.0,0.4082498550415039,0.4082498550415039
0.0145,29,5.945776706539618e-07,2.8030481757923553e-07,-3.139721229672432e-07,4.898947736364785e-05,6.263217919499471e-07,3.0919909477233887e-07,-3.4198164939880375e-07,4.2393803596496586e-07,8,0.0,0.40825003385543823,0.40825003385543823
0.015,30,6.192979640218255e-07,2.9901275411248207e-07,-3.132969084163051e-07,4.9440586735727394e-05,6.523360936757886e-07,3.300607204437256e-07,-3.3974647521972657e-07,4.485249519348145e-07,8,0.0,0.40825027227401733,0.40825027227401733
0.0155,31,6.443796110033873e-07,3.183027672548633e-07,-3.1178350923255493e-07,5.016329396312353e-05,6.790930380325196e-07,3.516674041748047e-07,-3.371387720108032e-07,4.731118679046631e-07,8,0.0,0.4082503914833069,0.4082503914833069
0.016,32,6.698823540318699e-07,3.381748854280886e-07,-3.0950178597777267e-07,5.100548605696526e-05,7.063629804610839e-07,3.732740879058838e-07,-3.345310688018799e-07,4.976987838745117e-07,8,0.0,0.40825051069259644,0.40825051069259644
0.0165,33,6.958762241993099e-07,3.584660532851558e-07,-3.0673109563394974e-07,5.1987740334880025e-05,7.348913889475261e-07,3.963708877563477e-07,-3.319233655929566e-07,5.222856998443604e-07,8,0.0,0.4082505702972412,0.4082505702972412
0.017,34,7.223980560411292e-07,3.7924618823126366e-07,-3.0355295166373253e-07,5.3043663683638395e-05,7.642625301815417e-07,4.2021274566650395e-07,-3.293156623840332e-07,5.46872615814209e-07,8,0.0,0.4082505702972412,0.4082505702972412
0.0175,35,7.496398097828205e-07,4.006899132491526e-07,-3.000255617280345e-07,5.448350748338266e-05,7.940331088895755e-07,4.4405460357666017e-07,-3.267079591751099e-07,5.714595317840576e-07,8,0.0,0.40825051069259644,0.40825051069259644
0.018000000000000002,36,7.774399364279816e-07,4.227040335536003e-07,-2.9635847909048607e-07,5.5600253290322096e-05,8.241598403642837e-07,4.6789646148681644e-07,-3.241002559661865e-07,5.960464477539062e-07,8,0.0,0.40825051069259644,0.40825051069259644
0.0185,37,8.057580771492212e-07,4.4510235852612823e-07,-2.926215643128671e-07,5.6636281442479576e-05,8.546050599012409e-07,4.917383193969727e-07,-3.214925527572632e-07,6.20633363723755e-07,8,0.0,0.40825048089027405,0.40825048089027405
0.019,38,8.346381719093188e-07,4.6794303898423095e-07,-2.8890789849356224e-07,5.776018952019507e-05,8.863386324925075e-07,5.170702934265137e-07,-3.1925737857818605e-07,6.452202796936036e-07,8,0.0,0.4082506597042084,0.4082506597042084
0.0195,39,8.642574016448634e-07,4.912261033496179e-07,-2.8547364649966767e-07,5.9238459471089246e-05,9.192190611361263e-07,5.438923835754395e-07,-3.170222043991089e-07,6.698071956634522e-07,8,0.0,0.40825122594833374,0.40825122594833374
0.02,40,8.945603440224659e-07,5.149282742422656e-07,-2.823653630912304e-07,6.060588475520484e-05,9.528064090530682e-07,5.714595317840576e-07,-3.1478703022003174e-07,6.943941116333008e-07,8,0.0,0.408253014087677,0.408253014087677
0.0205,41,9.253940334019717e-07,5.390029400587082e-07,-2.796412559291639e-07,6.166737875901157e-05,9.864850776047063e-07,5.990266799926758e-07,-3.129243850708008e-07,7.186084985733032e-07,8,0.0,0.4082575738430023,0.4082575738430023
0.021,42,9.567994538883795e-07,5.635782258650579e-07,-2.773129494926252e-07,6.281084097281559e-05,1.0203749657970353e-06,6.26593828201294e-07,-3.110617399215698e-07,7.428228855133057e-07,8,0.0,0.40826812386512756,0.40826812386512756
0.021500000000000002,43,9.887164651445346e-07,5.885493123969354e-07,-2.7556671966522117e-07,6.383402251231013e-05,1.0545650054186806e-06,6.541609764099122e-07,-3.095716238021851e-07,7.670372724533081e-07,8,0.0,0.40829065442085266,0.40829065442085266
0.022,44,1.0212285133093246e-06,6.140559207779006e-07,-2.742744982242584e-07,6.502409632958045e-05,1.089688421561782e-06,6.832182407379151e-07,-3.0845403671264653e-07,7.908791303634644e-07,8,0.0,0.40833571553230286,0.40833571553230286
0.0225,45,1.0541878054937115e-06,6.400281904461735e-07,-2.734363135914464e-07,6.591858436877368e-05,1.1255458354581353e-06,7.130205631256104e-07,-3.0770897865295413e-07,8.147209882736207e-07,8,0.0,0.40842026472091675,0.40842026472091675
0.023,46,1.0876638043555431e-06,6.665242722192488e-07,-2.7314527528687904e-07,6.695199772366317e-05,1.161550831771101e-06,7.428228855133057e-07,-3.0696392059326174e-07,8.385628461837769e-07,8,0.0,0.40857020020484924,0.40857020020484924
0.0235,47,1.1216291113669286e-06,6.934860721230507e-07,-2.734246606905799e-07,6.793061402277084e-05,1.1976901006933147e-06,7.72625207901001e-07,-3.0621886253356935e-07,8.624047040939331e-07,8,0.0,0.4088206887245178,0.4088206887245178
0.024,48,1.1560510984054417e-06,7.210066428342543e-07,-2.7416973580329795e-07,6.884397407702629e-05,1.2344364789482135e-06,8.031725883483888e-07,-3.0547380447387695e-07,8.862465620040894e-07,8,0.0,0.4098436236381531,0.4098436236381531
0.0245,49,1.1909274917343282e-06,7.490278335353651e-07,-2.7529895874067734e-07,6.975278665777289e-05,1.2722800111992483e-06,8.352100849151612e-07,-3.047287464141846e-07,9.100884199142456e-07,8,0.0,0.4110613763332367,0.4110613763332367
0.025,50,1.226210542881745e-06,7.774448249620036e-07,-2.767308728834905e-07,7.056610229483333e-05,1.3112349270273443e-06,8.687376976013184e-07,-3.039836883544922e-07,9.339302778244019e-07,8,0.0,0.41124552488327026,0.41124552488327026
