official_step,time_s,total_lbm_substeps,total_fluid_mass,mass_delta_rel,inlet_flux,outlet_flux,midplane_flux,flux_imbalance_rel,outlet_to_inlet_flux_ratio,midplane_to_inlet_flux_ratio
0,0.0,0,3840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0005,120,3947.247015297413,0.027928910233701268,1.6660351799880553,2.168428591050846,1.3332941969285619,0.30155030163672336,1.3015503016367234,0.8002797377532694
2,0.001,240,3860.1351376771927,0.005243525436768929,1.6155067363471527,2.4736563401097538,1.9061485177803097,0.5311953113256441,1.5311953113256442,1.1799075020202836
3,0.0015,360,3847.2815088629723,0.0018962262663990259,1.6124214245917354,1.2941694737814804,1.303752603108203,-0.197375168771921,0.802624831228079,0.808568146778571
4,0.002,480,3882.2698231339455,0.011007766441131632,1.6482330395035134,1.5801663479344623,1.4708717303347334,-0.04129676443663233,0.9587032355633677,0.8923930628024509
5,0.0025,600,3871.634738743305,0.008238213214402398,1.7006669772452334,1.8033405224436363,1.6584033672138385,0.06037251653155227,1.0603725165315523,0.9751488030302945
6,0.003,720,3863.186337828636,0.006038108809540669,1.9146289007151573,1.5853177758022663,1.5289832978643847,-0.17199736449705,0.8280026355029501,0.7985794517638769
7,0.0035,840,3860.69537371397,0.005389420238013069,2.431133056325768,1.521543844656911,1.431319456416508,-0.3741420936637429,0.625857906336257,0.5887458330148728
8,0.004,960,3769.7490419745445,-0.01829452031912903,-0.39532144805651637,0.8588068418957308,0.3710988674316459,3.17242663184051,2.1724266318405094,0.9387268746890567
9,0.0045000000000000005,1080,-225487688.53125,-58721.752221679686,-146366326.75107044,-734981848.002366,74426411.9551472,-4.0215228073078,-5.0215228073078,0.5084940888195303
10,0.005,1200,-2662794173323.75,-693435983.6363932,2192079493.6499653,55134751844.95287,14053231421.203072,24.151803118759013,25.151803118759013,6.41091322733167
11,0.0055,1320,-150550200357.0,-39205782.34296875,681947337.046991,-6242740645.819391,45714282792.18259,-10.15428553889818,-9.154285538898177,67.0349164939001
12,0.006,1440,-30469264210.0,-7934705.221354167,521153164.37868434,-691953601.8024342,27399852292.163086,-2.32773558542502,-1.3277355854250201,52.57543111117636
13,0.006500000000000001,1560,-31384802438.0,-8173126.634895833,516341429.7936013,2005517486.4555326,21427972601.46912,2.8840917476972634,3.8840917476972634,41.49961898280095
14,0.007,1680,-1163638674464.0,-303030905.80833334,-7747199997.673737,-3303615459514.931,24308944891.28501,-425.4270266040521,-426.4270266040521,3.1377716979791788
15,0.0075,1800,-536539239328.0,-139723761.24166667,-103954424036.17264,178474170063.29172,-285796545713.03406,2.7168501650414485,1.7168501650414485,-2.7492485131136553
16,0.008,1920,-489077100568.0,-127363829.27291666,6014186523.769999,-1377406147.0801182,-200329709124.54407,-1.2290261769627806,-0.22902617696278063,-33.309527121045654
17,0.0085,2040,-389785245612.0,-101506575.378125,22007185952.184708,43383688300.35494,-150146726464.65167,0.9713419241612823,1.9713419241612822,-6.822622701097604
18,0.009000000000000001,2160,-2830091395716.75,-737002968.6345704,-376048547.258142,8214679689850.82,-106030253802.13031,21845.73188301344,21844.73188301344,-281.9589507132037
19,0.0095,2280,2271153958336.0,591446342.3166667,-134387254300.4747,452847845889.22687,-433581833881.7549,4.36972317982411,3.36972317982411,-3.226361280604148
20,0.01,2400,821111820984.0,213831202.38125,12547944811.149586,415820774242.21564,131582112073.27534,32.13855619389834,33.13855619389834,10.486347689093828
21,0.0105,2520,-4013382297598.0,-1045151640.9994792,-4105005718.101676,535097978812.67035,2658273459425.962,131.3525538230241,130.3525538230241,647.5687592111948
22,0.011,2640,-4229597044816.0,-1101457564.7541666,-16831261273.7612,384919179410.55835,619381141613.8485,23.86930094838593,22.869300948385927,36.799449045415386
23,0.0115,2760,-944166042196.0,-245876574.48854166,5774838767.08127,123894420624.96362,934518911670.2307,20.4541783107795,21.4541783107795,161.82597460509828
24,0.012,2880,-396941992408.0,-103370311.52291666,30073855179.2081,119737100541.26064,1061613175430.8301,2.981435031450249,3.981435031450249,35.300202421829454
25,0.0125,3000,-23987449912.0,-6246732.747916667,13277947570.830578,79964498597.63794,1123183393222.5688,5.022353844302452,6.022353844302453,84.59013618113798
26,0.013000000000000001,3120,-156619350568.0,-40786290.21041667,18422756527.038055,27625430383.483696,1106391570288.143,0.49952751874777196,1.499527518747772,60.05570168961163
27,0.0135,3240,32356531164.0,8426178.990625,-3090335784.420553,85879972431.93335,1044096078438.5808,28.78985146691303,27.78985146691303,337.85845658010004
28,0.014,3360,44514447368.0,11592303.002083333,-5068632997.821163,38165064931.90753,1046831200133.944,8.529656408012462,7.529656408012461,206.53126801327733
29,0.0145,3480,506759488128.0,131968615.7,-16965889476.470455,25106674768.2827,997924302616.632,2.4798325076384877,1.4798325076384875,58.81945087527694
30,0.015,3600,-97087314458.0,-25283155.806770835,-171089033.65873146,21101172974.48648,898651463552.6714,124.33445647122333,123.33445647122335,5252.5369062823565
31,0.0155,3720,-108392378212.0,-28227182.826041665,-27891423628.303146,-50108674404.1967,1010556197729.8629,-0.7965620927770909,-1.796562092777091,36.23178978588921
32,0.016,3840,-447944056672.0,-116652099.09166667,-29260807505.9617,-305563891263.125,778118491392.3284,-9.442770289263834,-10.442770289263834,26.59251598691498
33,0.0165,3960,-49863111296.0,-12985186.233333332,7164153997.887593,-6069528119.043796,751063268678.3418,-1.8472079356241426,-0.8472079356241425,104.83628198106834
34,0.017,4080,-185877668036.0,-48405643.717708334,13801985884.358408,3686890416.6545453,728652351642.5278,-0.7328724686762037,0.2671275313237963,52.793297844790516
35,0.0175,4200,1446715632664.0,376748861.67291665,1264359051.583871,-17507876757.050644,661483836688.6108,-14.84723487771801,-13.847234877718012,523.1772065537599
36,0.018000000000000002,4320,-78672553040.0,-20487645.020833332,8003315588.8181715,-1949640893.694169,642310667070.7025,-1.2436041503121666,-0.24360415031216673,80.25557157437431
37,0.0185,4440,-117596143792.0,-30623996.779166665,-10336211698.324768,-19829421441.45787,569224235625.4258,-0.9184418837582153,-1.9184418837582153,55.07087627836437
38,0.019,4560,-196663022534.0,-51214329.78489583,5430102914.347136,-25009939969.537003,516582503585.2385,-5.605794837415888,-4.605794837415887,95.13309632131485
39,0.0195,4680,-56034733463.0,-14592379.505989583,2458822958.4016304,-17246705014.876648,530237247865.5201,-8.014211802417833,-7.014211802417833,215.64677768024558
40,0.02,4800,-19079666162.5,-4968664.063151042,7632611125.979012,-17578421799.787254,530697971170.5154,-3.303067916031491,-2.303067916031491,69.53033010737127
41,0.0205,4920,-30219878916.0,-7869761.134375,2116236061.4847302,-2492247294.2679076,476989326609.25073,-2.1776792483724012,-1.1776792483724012,225.39514153945555
42,0.021,5040,-145931564614.0,-38003012.618229166,51219869934.20111,-4301311778.531656,470183395526.1584,-1.0839774053322915,-0.08397740533229148,9.179706940493462
43,0.021500000000000002,5160,455691329810.0,118669616.13802083,-67562739409.630455,-28575180541.681896,446525562776.62354,0.5770571058637572,-0.42294289413624286,6.609050590286979
44,0.022,5280,93596786024.0,24374162.027083334,-6313227027.371727,-26439238140.500607,408781408775.2938,-3.1879118279558503,-4.18791182795585,64.74999346657022
45,0.0225,5400,34041904780.0,8865078.369791666,10614824898.765308,20588018424.177063,419505806561.9408,0.9395532776590421,1.939553277659042,39.52074674455881
46,0.023,5520,366450829622.0,95429902.54739584,59752283501.94659,68506158718.088264,405847415762.4079,0.14650277283304994,1.14650277283305,6.792165788093879
47,0.0235,5640,-191886692444.0,-49970493.82395833,13144985147.365164,-26769174186.014404,431997569235.59875,-3.036455263046085,-2.036455263046085,32.86405913681767
48,0.024,5760,-252904693152.0,-65860598.175,-86711327012.14615,-9418681053.955032,419470420075.2972,0.8913788846451894,-0.10862111535481062,4.83755046231203
49,0.0245,5880,-194994097696.0,-50779713.94166667,-27777774656.555733,-16726197032.57149,233847429284.2749,0.3978568391682161,-0.6021431608317839,8.41850840017112
50,0.025,6000,-109587907302.0,-28538518.5265625,22647778163.897972,-18534698516.472412,317313945574.7514,-1.8183892646042394,-0.8183892646042393,14.010820102458016
