official_step,time_s,lbm_substeps_per_fsi_step,total_lbm_substeps,fsi_exchange_mode,step,rho_min,rho_max,rho_finite,velocity_finite,population_finite,lbm_max_v,mpm_min_J,mpm_max_speed,density_gate_pass_step,mpm_j_gate_pass_step,finite_gate_pass_step
0,0.0,120,0,lbm_subcycled_per_fsi_step,0,1.0,1.0,True,True,True,0.0,1.0,0.0,True,True,True
1,0.0005,120,120,lbm_subcycled_per_fsi_step,1,0.9998376369476318,1.06082284450531,True,True,True,0.03822769969701767,0.9999964237213135,9.527381916996092e-05,True,True,True
2,0.001,120,240,lbm_subcycled_per_fsi_step,2,0.9999598264694214,1.0280115604400635,True,True,True,0.05704966187477112,0.9999945163726807,0.00019891328702215105,True,True,True
3,0.0015,120,360,lbm_subcycled_per_fsi_step,3,0.9999873042106628,1.0227280855178833,True,True,True,0.038516104221343994,0.9999959468841553,0.00030712521402165294,True,True,True
4,0.002,120,480,lbm_subcycled_per_fsi_step,4,0.9999816417694092,1.036751627922058,True,True,True,0.04147448390722275,0.9999971389770508,0.00038269252399913967,True,True,True
5,0.0025,120,600,lbm_subcycled_per_fsi_step,5,0.9999735951423645,1.0330063104629517,True,True,True,0.04766996204853058,0.9999967217445374,0.0004503496747929603,True,True,True
6,0.003,120,720,lbm_subcycled_per_fsi_step,6,0.9999721646308899,1.0309861898422241,True,True,True,0.06269586086273193,0.9999953508377075,0.0005213196272961795,True,True,True
7,0.0035,120,840,lbm_subcycled_per_fsi_step,7,0.9999763369560242,1.0543866157531738,True,True,True,0.22376728057861328,0.999994695186615,0.0005848453147336841,True,True,True
8,0.004,120,960,lbm_subcycled_per_fsi_step,8,0.877274215221405,1.0839130878448486,True,True,True,0.4984346926212311,0.9999949932098389,0.0006333294440992177,True,True,True
9,0.0045000000000000005,120,1080,lbm_subcycled_per_fsi_step,9,-976221632.0,837095488.0,True,True,True,3770.954345703125,0.999995768070221,0.00066335778683424,False,True,True
10,0.005,120,1200,lbm_subcycled_per_fsi_step,10,-79603531776.0,60969537536.0,True,True,True,7270.24658203125,0.9999962449073792,0.0005247837398201227,False,True,True
11,0.0055,120,1320,lbm_subcycled_per_fsi_step,11,-4556262400.0,2937089024.0,True,True,True,2175.195068359375,0.9999953508377075,0.00037850395892746747,False,True,True
12,0.006,120,1440,lbm_subcycled_per_fsi_step,12,-2702958080.0,1968441728.0,True,True,True,5078.83544921875,0.9999955296516418,0.0004321511078160256,False,True,True
13,0.006500000000000001,120,1560,lbm_subcycled_per_fsi_step,13,-1868754304.0,1054936576.0,True,True,True,1490.811767578125,0.999995231628418,0.0005126885371282697,False,True,True
14,0.007,120,1680,lbm_subcycled_per_fsi_step,14,-22055638532096.0,62604558991360.0,True,True,True,355.52899169921875,0.9999946355819702,0.0005654172855429351,False,True,True
15,0.0075,120,1800,lbm_subcycled_per_fsi_step,15,-148476215296.0,190685577216.0,True,True,True,11544.201171875,0.9999933838844299,0.0006042023305781186,False,True,True
16,0.008,120,1920,lbm_subcycled_per_fsi_step,16,-147862355968.0,99221921792.0,True,True,True,11646.9912109375,0.9999933838844299,0.0005822103703394532,False,True,True
17,0.0085,120,2040,lbm_subcycled_per_fsi_step,17,-112279535616.0,47577989120.0,True,True,True,5784.1328125,0.9999940395355225,0.0006730141467414796,False,True,True
18,0.009000000000000001,120,2160,lbm_subcycled_per_fsi_step,18,-103395616620544.0,75224389255168.0,True,True,True,9830.24609375,0.9999914169311523,0.0007744937320239842,False,True,True
19,0.0095,120,2280,lbm_subcycled_per_fsi_step,19,-223760023552.0,220475555840.0,True,True,True,8145.81494140625,0.9999926090240479,0.0007243936415761709,False,True,True
20,0.01,120,2400,lbm_subcycled_per_fsi_step,20,-57120522240.0,105968517120.0,True,True,True,8104.095703125,0.9999924898147583,0.0007712177466601133,False,True,True
21,0.0105,120,2520,lbm_subcycled_per_fsi_step,21,-7928418402304.0,9198716846080.0,True,True,True,10559.77734375,0.9999917149543762,0.0006857808912172914,False,True,True
22,0.011,120,2640,lbm_subcycled_per_fsi_step,22,-181550874624.0,110168399872.0,True,True,True,5867.880859375,0.9999915957450867,0.0007481169886887074,False,True,True
23,0.0115,120,2760,lbm_subcycled_per_fsi_step,23,-99329736704.0,207284879360.0,True,True,True,120431.7109375,0.9999930262565613,0.0007842929335311055,False,True,True
24,0.012,120,2880,lbm_subcycled_per_fsi_step,24,-24583655424.0,34678358016.0,True,True,True,67939.2109375,0.9999920129776001,0.0007864457438699901,False,True,True
25,0.0125,120,3000,lbm_subcycled_per_fsi_step,25,-10379353088.0,11439798272.0,True,True,True,119495.15625,0.9999906420707703,0.0008126042666845024,False,True,True
26,0.013000000000000001,120,3120,lbm_subcycled_per_fsi_step,26,-29945149440.0,25000597504.0,True,True,True,55525.8359375,0.9999904632568359,0.0008081781561486423,False,True,True
27,0.0135,120,3240,lbm_subcycled_per_fsi_step,27,-165304516608.0,394574102528.0,True,True,True,48630.2734375,0.9999915361404419,0.0006712910835631192,False,True,True
28,0.014,120,3360,lbm_subcycled_per_fsi_step,28,-98054316032.0,168452947968.0,True,True,True,31249.64453125,0.999992847442627,0.0006486697820946574,False,True,True
29,0.0145,120,3480,lbm_subcycled_per_fsi_step,29,-17674092544.0,14417512448.0,True,True,True,2379.373291015625,0.9999923706054688,0.0005661242175847292,False,True,True
30,0.015,120,3600,lbm_subcycled_per_fsi_step,30,-67318235136.0,114376859648.0,True,True,True,49471.40625,0.9999924898147583,0.0004440481134224683,False,True,True
