step,bb_link_count,bb_net_fluid_impulse_x,bb_net_solid_force_x,hydro_force_sum_x,cell_force_sum_x,net_particle_reaction_force_x,net_grid_reaction_force_x,applied_particle_reaction_force_x,applied_grid_reaction_force_x,solid_momentum_x,solid_momentum_delta_x,fluid_mean_ux,projection_zone_ux,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed,cell_force_max_norm,hydro_force_max_norm,hydro_field_vs_bb_error_x,grid_vs_particle_reaction_error_x,solid_momentum_response_ratio_x,force_sign_consistent
1,2602,2.79333233833313,-2.79333233833313,-2.793336696922779,0.0,-0.007738580461591482,-0.007738575339317322,0.007738580461591482,0.007738575339317322,0.0021412150242509443,3.183996953574301e-05,8.730751363254377e-05,0.000881708202071366,0.9900004267692566,1.0100003480911255,0.011844327585814923,0.9953837394714355,0.136874920956133,0.0,0.40897506425684915,4.3585896492004395e-06,5.122274160385132e-09,0.9999965240874812,True
2,2510,-1.4854800701141357,1.4854800701141357,1.485485639423132,0.0,-0.0186532624065876,-0.018652692437171936,0.0186532624065876,0.018652692437171936,0.002216699379813388,7.548435556244387e-05,5.2895476264642444e-05,0.0004370885663805698,0.9800774455070496,1.0118606090545654,0.014812051791834651,0.9874833226203918,0.16947680649058935,0.0,0.3979077850904273,5.5693089962005615e-06,5.699694156646729e-07,0.7033399125838237,True
3,2382,2.5124104022979736,-2.5124104022979736,-2.512418057769537,0.0,-0.013589699752628803,-0.013589941896498203,0.013589699752628803,0.013589941896498203,0.0022719275473441964,5.5228167530808284e-05,0.00014181251721765223,0.0012823523822580645,0.9760631322860718,1.0095946788787842,0.0170349893855962,0.9807286858558655,0.16299158026453903,0.0,0.40080248618730585,7.655471563339233e-06,2.421438694000244e-07,0.3397573375365352,True
4,2322,-0.7903109788894653,0.7903109788894653,0.7903022393584251,0.0,-0.017670564353466034,-0.017669744789600372,0.017670564353466034,0.017669744789600372,0.0023435987449025803,7.167119755838386e-05,0.00012041152159386739,0.0007978748461009265,0.9678021669387817,1.0106295347213745,0.01872995603848557,0.9726991057395935,0.1661703612100078,0.0,0.39002550186823337,8.73953104019165e-06,8.195638656616211e-07,0.30599962302294564,True
5,2322,2.20517897605896,-2.20517897605896,-2.2051874436438084,0.0,-0.013112679123878479,-0.013113312423229218,0.013112679123878479,0.013113312423229218,0.002397095117717393,5.349637281481254e-05,0.00018980178343614085,0.0013017583730293698,0.966623842716217,1.0131019353866577,0.021493538493182376,0.9656468033790588,0.15819382584503916,0.0,0.4000500859209755,8.46758484840393e-06,6.332993507385254e-07,0.18593309154073445,True
6,2322,-0.5587464570999146,0.5587464570999146,0.5587416887283325,0.0,-0.01605614461004734,-0.016055529937148094,0.01605614461004734,0.016055529937148094,0.002462527128186601,6.543201046920822e-05,0.00017226334168713448,0.0007916805829901614,0.9703649282455444,1.0193331241607666,0.022268457866215452,0.9667363166809082,0.12847140378460548,0.0,0.39254038021466964,4.76837158203125e-06,6.146728992462158e-07,0.185282081848959,True
7,2322,1.9534049034118652,-1.9534049034118652,-1.9534176625311375,0.0,-0.012020562775433064,-0.012021237052977085,0.012020562775433064,0.012021237052977085,0.0025120607948472,4.953366666059916e-05,0.00023286144667034059,0.0011871270235983605,0.9713147878646851,1.0232754945755005,0.018127215849135465,0.9714092016220093,0.13385403088292333,0.0,0.4035853669708143,1.2759119272232056e-05,6.742775440216064e-07,0.1230087637715363,True
8,2322,-0.43180447816848755,0.43180447816848755,0.4318040870130062,0.0,-0.014053363353013992,-0.01405292097479105,0.014053363353013992,0.01405292097479105,0.0025699794339912583,5.791863914405811e-05,0.0002190642665430797,0.0006945382526560649,0.9776830077171326,1.0231844186782837,0.015549825711884006,0.9762056469917297,0.17600148311140187,0.0,0.3972787627102931,3.91155481338501e-07,4.423782229423523e-07,0.12574587411531413,True
9,2322,1.6634137630462646,-1.6634137630462646,-1.6634082533419132,0.0,-0.010284746997058392,-0.010285203345119953,0.010284746997058392,0.010285203345119953,0.0026131787248206144,4.31992908293561e-05,0.000270069358054781,0.001055029709499728,0.9807425141334534,1.0212973356246948,0.02063597407146741,0.9823786020278931,0.2269384624678835,0.0,0.40641671138175167,5.509704351425171e-06,4.5634806156158447e-07,0.08574653717002508,True
10,2322,-0.3431382179260254,0.3431382179260254,0.34314239770174026,0.0,-0.011510521173477173,-0.011510239914059639,0.011510521173477173,0.011510239914059639,0.0026614967666316073,4.831804181099292e-05,0.00025931433382113053,0.000658529750855662,0.9822284579277039,1.0252946615219116,0.01615386351703692,0.9882376194000244,0.2280693008332309,0.0,0.3996536816568709,4.179775714874268e-06,2.812594175338745e-07,0.08751382767322864,True
