step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.023436669260263443,1.0,0.0234375,0.0,0,0.0,0.0,0,0.0,0,0.0,5.074722199991811
1,5,moving_boundary,0.9970002770423889,1.003000259399414,0.0055254301987588406,0.0007460053893737495,0.00032576743979007006,0.0003255402552895248,0.023433424532413483,0.9999992847442627,0.02357262372970581,0.6058248281478882,110592,0.0,0.4173510670661926,498706,0.0010000001639127731,4096,4.2164688238699455e-06,163.95731639995938
2,10,moving_boundary,0.9959198236465454,1.0040676593780518,0.005145610775798559,0.00021547276992350817,6.850794306956232e-05,0.0001529236906208098,0.023436298593878746,0.9999991655349731,0.023707764223217964,0.6058257818222046,110592,0.0,0.41694796085357666,498714,0.0010077777551487088,4096,4.216851266392041e-06,164.17740169999888
3,15,moving_boundary,0.9966318011283875,1.0033128261566162,0.005641019903123379,0.0008554094820283353,0.000348682893672958,0.00042939605191349983,0.023433638736605644,0.9999984502792358,0.023842910304665565,0.6058259010314941,110592,0.0,0.41723576188087463,498614,0.0010141959646716714,4096,4.217130936012836e-06,164.38074929994764
4,20,moving_boundary,0.9965717196464539,1.0035494565963745,0.004804207477718592,0.0003691067104227841,0.00010619959357427433,0.00029207553598098457,0.0234370194375515,0.9999986886978149,0.023978061974048615,0.6058255434036255,110592,0.0,0.41687121987342834,498648,0.0010193436173722148,4096,4.2173101064690854e-06,164.5480759999482
5,25,moving_boundary,0.9961007833480835,1.0035263299942017,0.005611053202301264,0.0008497426169924438,0.0003280083474237472,0.0004661177226807922,0.023436112329363823,0.9999985694885254,0.024113217368721962,0.6058264374732971,110592,0.0,0.41686615347862244,498690,0.0010246329475194216,4096,4.21738923250814e-06,164.70487729995511
6,30,moving_boundary,0.9961121082305908,1.0036914348602295,0.004785815719515085,0.00042146467603743076,0.0001157967490144074,0.00034571270225569606,0.023440204560756683,0.9999985098838806,0.02424837462604046,0.6058244705200195,110592,0.0,0.416914701461792,498554,0.0010304448660463095,4096,4.217367404635297e-06,164.8810844999971
7,35,moving_boundary,0.9966262578964233,1.0033477544784546,0.00560211855918169,0.0008539194241166115,0.0003205050597898662,0.0004798287118319422,0.023440370336174965,0.9999982714653015,0.02438354678452015,0.6058265566825867,110592,0.0,0.41664552688598633,498604,0.001036020228639245,4096,4.217243713355856e-06,165.05060209997464
8,40,moving_boundary,0.9961063861846924,1.0038034915924072,0.004352426156401634,0.000530481687746942,0.00015048880595713854,0.00042046920862048864,0.023445017635822296,0.9999978542327881,0.024518726393580437,0.6058269143104553,110592,0.0,0.41657763719558716,498582,0.0010411272523924708,4096,4.217023615638027e-06,165.21450419997564
9,45,moving_boundary,0.9960467219352722,1.0040371417999268,0.005633913446217775,0.0009232789161615074,0.0003341137489769608,0.0005455320351757109,0.02344628795981407,0.999998152256012,0.024653911590576172,0.605825662612915,110592,0.0,0.4166295826435089,498650,0.0010482918005436659,4096,4.216703473503003e-06,165.38526329997694
10,50,moving_boundary,0.9956842660903931,1.0041377544403076,0.004422376863658428,0.0006427501793950796,0.00018004936282522976,0.0005201776511967182,0.023451436311006546,0.9999977350234985,0.024789102375507355,0.6058260202407837,110592,0.0,0.4164714813232422,498570,0.0010543562239035964,4096,4.216282832203433e-06,165.54822169995168
