step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.02343805320560932,1.0,0.0234375,0.0,0,0.0,0.0,0,0.0,0,0.0,5.622336099972017
1,5,moving_boundary,0.9970002770423889,1.0030003786087036,0.005999997723847628,0.00013383662735577673,0.0004919886123389006,1.6145066865647095e-06,0.02342386357486248,0.9999355673789978,0.024165797978639603,0.09944119304418564,31116,0.0,0.41814902424812317,102144,0.001000000280328095,4096,4.2173860492766835e-06,141.21184780000476
2,10,moving_boundary,0.9948821663856506,1.0049865245819092,0.004680208396166563,3.380047928658314e-05,8.694305142853409e-05,5.117850378155708e-06,0.023428434506058693,0.9998866319656372,0.02473944053053856,0.09944096952676773,31116,0.0,0.41807544231414795,102102,0.001030863611958921,4096,4.217255082039628e-06,141.4869747000048
3,15,moving_boundary,0.9937419891357422,1.0060073137283325,0.006051869131624699,0.00015877840633038431,0.000535801169462502,9.960950592358131e-06,0.023416241630911827,0.9998473525047302,0.025236887857317924,0.0994410589337349,31116,0.0,0.41878199577331543,102060,0.0010534892790019512,4096,4.21712275056052e-06,141.6532906999928
4,20,moving_boundary,0.9936721920967102,1.0065430402755737,0.004663514439016581,7.039919728413224e-05,0.00016060825146269053,1.7028618458425626e-05,0.02342108078300953,0.999811589717865,0.025666911154985428,0.0994410291314125,31116,0.0,0.4179222583770752,102044,0.0010744249448180199,4096,4.217292371322401e-06,141.81708239996806
5,25,moving_boundary,0.9932466149330139,1.0067811012268066,0.006081161554902792,0.00017449961160309613,0.0005388779100030661,2.3048114599077962e-05,0.02341216243803501,0.9997910261154175,0.02603745646774769,0.09944097697734833,31116,0.0,0.41862979531288147,102014,0.001092691789381206,4096,4.217359219182981e-06,141.99210509995464
6,30,moving_boundary,0.9936227202415466,1.0067505836486816,0.00515661621466279,9.224263340001926e-05,0.0001861875643953681,3.106200529146008e-05,0.02341810055077076,0.9997756481170654,0.02635413594543934,0.09944109618663788,31116,0.0,0.4175856113433838,102012,0.00110752007458359,4096,4.217323294142261e-06,142.1521889999858
7,35,moving_boundary,0.9934082627296448,1.0073492527008057,0.0061195227317512035,0.00018300914962310344,0.0005198413273319602,3.6847832234343514e-05,0.0234115831553936,0.9997619986534119,0.02663452923297882,0.0994410291314125,31116,0.0,0.4185103476047516,101974,0.0011199145810678601,4096,4.217183686705539e-06,142.3247366999858
8,40,moving_boundary,0.9926522970199585,1.008400559425354,0.005137900356203318,0.00011184194590896368,0.00020439237414393574,4.539420115179382e-05,0.023418337106704712,0.999750554561615,0.026887910440564156,0.09944111853837967,31116,0.0,0.4177568256855011,101958,0.0011305343359708786,4096,4.217146397422766e-06,142.4914690000005
9,45,moving_boundary,0.9925969839096069,1.008886456489563,0.006151682231575251,0.00019519780471455306,0.0005115377134643495,5.1520899432944134e-05,0.02341436967253685,0.9997393488883972,0.027114281430840492,0.09944093972444534,31116,0.0,0.4183022081851959,101952,0.001140452572144568,4096,4.217344212520402e-06,142.6551239999826
10,50,moving_boundary,0.9929934144020081,1.0078885555267334,0.005037867464125156,0.0001335030101472512,0.00022868851374369115,6.077959551475942e-05,0.023422855883836746,0.9997256398200989,0.02733544632792473,0.0994410365819931,31116,0.0,0.4180176854133606,101890,0.001149713178165257,4096,4.2174419832008425e-06,142.8177441000007
