step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.02343805320560932,1.0,0.0234375,0.0,0,0.0,0.0,0,0.0,0,0.0,2.088638900022488
1,5,moving_boundary,0.9970002770423889,1.0030003786087036,0.005999997723847628,0.00013383662735577673,0.0004919886123389006,1.6145066865647095e-06,0.023423869162797928,0.999935507774353,0.02416558936238289,0.09944118559360504,31116,0.0,0.41814902424812317,102144,0.001000000280328095,4096,4.2173860492766835e-06,12.851466100022662
2,10,moving_boundary,0.9948821663856506,1.0049864053726196,0.004680194891989231,3.3800512028392404e-05,8.694283314980567e-05,5.117851742397761e-06,0.023428458720445633,0.9998867511749268,0.024739589542150497,0.09944108128547668,31116,0.0,0.41807547211647034,102102,0.0010308608179911971,4096,4.217255082039628e-06,12.983411699999124
3,15,moving_boundary,0.993742048740387,1.006007432937622,0.006051959469914436,0.00015877843543421477,0.0005358012858778238,9.96093967842171e-06,0.023416245356202126,0.9998474717140198,0.025237563997507095,0.09944112598896027,31116,0.0,0.41878196597099304,102060,0.0010534953325986862,4096,4.217123205307871e-06,13.109234199975617
4,20,moving_boundary,0.9936723113059998,1.0065430402755737,0.004663458094000816,7.039903721306473e-05,0.00016060830967035145,1.7028592992573977e-05,0.02342112548649311,0.9998114705085754,0.025667350739240646,0.0994410514831543,31116,0.0,0.41792231798171997,102044,0.0010744536994025111,4096,4.217292371322401e-06,13.241859500005376
5,25,moving_boundary,0.9932466745376587,1.0067812204360962,0.0060811773873865604,0.00017449974257033318,0.000538877968210727,2.3048110961099155e-05,0.02341214381158352,0.9997908473014832,0.02603796496987343,0.09944096207618713,31116,0.0,0.41862979531288147,102014,0.0010927101830020547,4096,4.217359219182981e-06,13.361055599991232
6,30,moving_boundary,0.9936228394508362,1.0067508220672607,0.005156586412340403,9.224291716236621e-05,0.00018618759349919856,3.106204894720577e-05,0.023418091237545013,0.999775767326355,0.0263544749468565,0.09944112598896027,31116,0.0,0.41758573055267334,102012,0.0011075407965108752,4096,4.21732283939491e-06,13.475197300023865
7,35,moving_boundary,0.9934083819389343,1.0073493719100952,0.00611944030970335,0.00018300909141544253,0.0005198406288400292,3.684773400891572e-05,0.02341155707836151,0.9997621178627014,0.02663608081638813,0.09944113343954086,31116,0.0,0.4185105264186859,101974,0.0011199276195839047,4096,4.217182777210837e-06,13.589659699995536
8,40,moving_boundary,0.9926524758338928,1.008400559425354,0.005137946922332048,0.00011184198228875175,0.00020439292711671442,4.5394233893603086e-05,0.023418322205543518,0.9997506737709045,0.026888681575655937,0.0994410440325737,31116,0.0,0.4177568256855011,101958,0.0011305997613817453,4096,4.217146397422766e-06,13.703085599991027
9,45,moving_boundary,0.9925969839096069,1.0088865756988525,0.006151624955236912,0.00019519765919540077,0.0005115368403494358,5.152106677996926e-05,0.023414356634020805,0.999739408493042,0.0271151065826416,0.0994410291314125,31116,0.0,0.4183022081851959,101952,0.0011404826072975993,4096,4.217344667267753e-06,13.817565799981821
10,50,moving_boundary,0.9929934144020081,1.0078884363174438,0.005037912633270025,0.00013350295193959028,0.00022868876112625003,6.077964644646272e-05,0.023422878235578537,0.9997254610061646,0.02733609639108181,0.09944095462560654,31116,0.0,0.4180176556110382,101890,0.0011497450759634376,4096,4.217441528453492e-06,13.932324299996253
11,55,moving_boundary,0.9912940263748169,1.007550597190857,0.006151288282126188,0.00020893044711556286,0.0005077722598798573,6.700037920381874e-05,0.023421047255396843,0.9997126460075378,0.027545524761080742,0.09944107383489609,31116,0.0,0.41815894842147827,101868,0.0011591145303100348,4096,4.217436071485281e-06,14.047650699969381
12,60,moving_boundary,0.9915810823440552,1.0080543756484985,0.00499819265678525,0.0001536860509077087,0.00024888297775760293,7.625047874171287e-05,0.023429354652762413,0.9997081756591797,0.027750195935368538,0.09944108873605728,31116,0.0,0.41783300042152405,101872,0.0011680347379297018,4096,4.217328296363121e-06,14.160559999989346
13,65,moving_boundary,0.9927164316177368,1.0078562498092651,0.006164107471704483,0.00022166638518683612,0.0005013920017518103,8.214981062337756e-05,0.02342905104160309,0.999707043170929,0.027948230504989624,0.09944118559360504,31116,0.0,0.41797250509262085,101884,0.001176932011730969,4096,4.217118657834362e-06,14.273739199968986
14,70,moving_boundary,0.9925739765167236,1.0074926614761353,0.00464059179648757,0.00017193668463733047,0.0002638559089973569,9.12367831915617e-05,0.023438220843672752,0.9997034072875977,0.028142206370830536,0.09944102168083191,31116,0.0,0.4171774685382843,101898,0.0011857813224196434,4096,4.216806246404303e-06,14.387043899972923
15,75,moving_boundary,0.9923768639564514,1.0081088542938232,0.006187599617987871,0.00023375490854959935,0.000494297593832016,9.688159479992464e-05,0.023439280688762665,0.9996946454048157,0.028330296277999878,0.09944099932909012,31116,0.0,0.41789576411247253,101868,0.0011946546146646142,4096,4.216391516820295e-06,14.50083249999443
16,80,moving_boundary,0.9933853149414062,1.0086921453475952,0.004559997469186783,0.00018886143516283482,0.00027634022990241647,0.00010571476741461083,0.023449260741472244,0.9996885061264038,0.028514215722680092,0.09944114089012146,31116,0.0,0.4170893728733063,101914,0.00120298913680017,4096,4.216079105390236e-06,14.614759500022046
17,85,moving_boundary,0.9935937523841858,1.0079206228256226,0.006198020186275244,0.00024567986838519573,0.0004888206021860242,0.00011103110591648147,0.02345118299126625,0.9996843934059143,0.028691653162240982,0.0994410291314125,31116,0.0,0.4190230071544647,101906,0.0012106135254725814,4096,4.2164724618487526e-06,14.731890099996235
