sample_index,phase,cycle_time_fraction,mantle_radius_scale,mantle_radius_rate,cavity_volume_scale,cavity_volume_rate,funnel_aperture_scale,funnel_aperture_rate,phase_label,ramp_weight,driver_integration_enabled,actuation_enabled,scope_note
0,0.0,0.0,1.0,-0.04482507288630089,1.0,-0.11953352769679348,0.35,0.0,cycle_endpoint,0.0,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
1,0.0125,0.0125,0.9994396865889212,-0.08746355685131135,0.9985058309037901,-0.2332361516034993,0.35,0.0,contraction,0.003735422740524782,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
2,0.025,0.025,0.9978134110787172,-0.16946064139942507,0.9941690962099126,-0.45189504373178835,0.35,-3.552713678800501e-15,contraction,0.014577259475218663,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
3,0.037500000000000006,0.037500000000000006,0.9952031705539358,-0.24489795918367463,0.9872084548104956,-0.6530612244897966,0.35,0.0,contraction,0.031978862973760944,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
4,0.05,0.05,0.9916909620991253,-0.31377551020408134,0.9778425655976676,-0.8367346938775526,0.35,7.580174927113699,contraction,0.05539358600583092,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
5,0.0625,0.0625,0.9873587827988338,-0.3760932944606381,0.9662900874635568,-1.002915451895042,0.5395043731778424,20.845481049562675,contraction+funnel_open,0.291545189504373,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
6,0.07500000000000001,0.07500000000000001,0.9822886297376093,-0.431851311953352,0.9527696793002915,-1.151603498542272,0.8711370262390672,18.419825072886287,contraction+funnel_open,0.8017492711370264,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
7,0.08750000000000001,0.08750000000000001,0.9765625,-0.481049562682216,0.9375,-1.2827988338192426,1.0,5.154518950437314,contraction+funnel_open,1.0,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
8,0.1,0.1,0.970262390670554,-0.52368804664723,0.9206997084548105,-1.3965014577259538,1.0,0.0,contraction+funnel_open,1.0,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
9,0.1125,0.1125,0.9634702988338192,-0.5597667638484012,0.9025874635568513,-1.4927113702623913,1.0,0.0,contraction+funnel_open,1.0,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
10,0.125,0.125,0.956268221574344,-0.5892857142857082,0.8833819241982507,-1.5714285714285623,1.0,0.0,contraction+funnel_open,1.0,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
11,0.1375,0.1375,0.9487381559766763,-0.6122448979591795,0.863301749271137,-1.632653061224488,1.0,0.0,contraction+funnel_open,1.0,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
12,0.15000000000000002,0.15000000000000002,0.9409620991253644,-0.6286443148687937,0.8425655976676384,-1.6763848396501402,1.0,7.105427357601002e-15,contraction+funnel_open,1.0,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
13,0.1625,0.1625,0.9330220481049563,-0.6384839650145864,0.8213921282798833,-1.70262390670554,1.0,-7.105427357601002e-15,contraction+funnel_open,1.0,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
14,0.17500000000000002,0.17500000000000002,0.9249999999999999,-0.6417638483964936,0.7999999999999999,-1.711370262390659,1.0,7.105427357601002e-15,contraction+funnel_open,1.0,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
15,0.1875,0.1875,0.9169779518950437,-0.6384839650145864,0.7786078717201166,-1.7026239067055435,1.0,-7.105427357601002e-15,contraction+funnel_open,1.0,False,False,Step 32 schedule contract only; no driver integration and no moving wall velocity application
