sample_index,phase,region_id,motion_model,point_count,displacement_norm_min,displacement_norm_max,displacement_norm_mean,velocity_norm_min,velocity_norm_max,velocity_norm_mean,mantle_radius_scale,mantle_radius_rate,volume_scale,volume_rate,aperture_scale,aperture_rate,finite_pass,bounds_pass,driver_integration_enabled,lbm_wall_velocity_enabled,jet_model_enabled,actuation_enabled,scope_note
0,0.0,mantle_outer,radial_scale_proxy,648,0.0,0.0,0.0,0.001266052216990649,0.007765970249971208,0.005874407566989911,1.0,-0.04482507288630089,1.0,-0.11953352769679348,0.35,0.0,True,True,False,False,False,False,Step 33 motion diagnostics only; no driver integration and no LBM wall velocity application
0,0.0,mantle_cavity_proxy,volume_scale_proxy,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04482507288630089,1.0,-0.11953352769679348,0.35,0.0,True,True,False,False,False,False,Step 33 motion diagnostics only; no driver integration and no LBM wall velocity application
0,0.0,funnel_outlet_proxy,aperture_scale_proxy,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04482507288630089,1.0,-0.11953352769679348,0.35,0.0,True,True,False,False,False,False,Step 33 motion diagnostics only; no driver integration and no LBM wall velocity application
1,0.0125,mantle_outer,radial_scale_proxy,648,1.5825652712383113e-05,9.707462812464011e-05,7.34300945873739e-05,0.002470345789249836,0.01515311268286936,0.011462258667296412,0.9994396865889212,-0.08746355685131135,0.9985058309037901,-0.2332361516034993,0.35,0.0,True,True,False,False,False,False,Step 33 motion diagnostics only; no driver integration and no LBM wall velocity application
1,0.0125,mantle_cavity_proxy,volume_scale_proxy,100,0.0,0.0,0.0,0.0,0.0,0.0,0.9994396865889212,-0.08746355685131135,0.9985058309037901,-0.2332361516034993,0.35,0.0,True,True,False,False,False,False,Step 33 motion diagnostics only; no driver integration and no LBM wall velocity application
1,0.0125,funnel_outlet_proxy,aperture_scale_proxy,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9994396865889212,-0.08746355685131135,0.9985058309037901,-0.2332361516034993,0.35,0.0,True,True,False,False,False,False,Step 33 motion diagnostics only; no driver integration and no LBM wall velocity application
2,0.025,mantle_outer,radial_scale_proxy,648,6.175864473124528e-05,0.00037882781707173014,0.0002865564666824074,0.0047862949666718215,0.029359155823061,0.022208126167888018,0.9978134110787172,-0.16946064139942507,0.9941690962099126,-0.45189504373178835,0.35,-3.552713678800501e-15,True,True,False,False,False,False,Step 33 motion diagnostics only; no driver integration and no LBM wall velocity application
2,0.025,mantle_cavity_proxy,volume_scale_proxy,100,0.0,0.0,0.0,0.0,0.0,0.0,0.9978134110787172,-0.16946064139942507,0.9941690962099126,-0.45189504373178835,0.35,-3.552713678800501e-15,True,True,False,False,False,False,Step 33 motion diagnostics only; no driver integration and no LBM wall velocity application
2,0.025,funnel_outlet_proxy,aperture_scale_proxy,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9978134110787172,-0.16946064139942507,0.9941690962099126,-0.45189504373178835,0.35,-3.552713678800501e-15,True,True,False,False,False,False,Step 33 motion diagnostics only; no driver integration and no LBM wall velocity application
3,0.037500000000000006,mantle_outer,radial_scale_proxy,648,0.000135483026879173,0.0008310535237011304,0.0006286332487845483,0.006916968209899622,0.0424287155120347,0.03209432426843033,0.9952031705539358,-0.24489795918367463,0.9872084548104956,-0.6530612244897966,0.35,0.0,True,True,False,False,False,False,Step 33 motion diagnostics only; no driver integration and no LBM wall velocity application
