metric,value
actuation_enabled,False
actuation_enabled_count,0
boundary_motion_mode,prescribed_kinematic
config_validation_pass,True
config_validation_pass_count,21
config_validation_row_count,21
coupling_integration_enabled,False
deterministic,True
diagnostic_only,True
driver_integration_enabled,False
driver_integration_enabled_count,0
execution_flag_enabled_count,0
expected_motion_row_count,243
expected_schedule_row_count,81
expected_tracked_region_count,3
finite_motion_pass,True
interface_id,step34_squid_proxy_boundary_motion_driver_interface
jet_model_enabled,False
jet_model_enabled_count,0
lbm_population_update_enabled,False
lbm_wall_velocity_enabled,False
lbm_wall_velocity_enabled_count,0
motion_bounds_pass,True
motion_finite_pass,True
motion_mapping_config_path,configs/step33_squid_proxy_motion_mapping.json
motion_mapping_output_path,outputs/step33_motion_mapping/motion_mapping.json
motion_mapping_row_count,243
moving_bounceback_update_enabled,False
mpm_grid_velocity_enabled,False
no_op_pass,True
projector_integration_enabled,False
schedule_config_path,configs/step32_squid_proxy_kinematics_schedule.json
schedule_finite_pass,True
schedule_output_path,outputs/step32_kinematics_schedule/kinematics_schedule.json
schedule_row_count,81
scope_note,Step 34 diagnostic-only boundary-motion driver interface; no LBM state update
tracked_region_count,3
tracked_regions,"[""funnel_outlet_proxy"", ""mantle_cavity_proxy"", ""mantle_outer""]"
