step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.05208307132124901,1.0,0.0520833320915699,0.0,0,0.0,0.0,0,0.0,0,0.0,6.760738199984189
1,5,moving_boundary,0.9946590662002563,1.005000352859497,0.008341898210346699,3.431410004850477e-05,0.00033430359326303005,3.2292383878029796e-08,0.052019115537405014,0.9993891716003418,0.06050018221139908,0.022940384224057198,4850,0.0,0.4197594225406647,6632,0.0017931261099874973,3240,1.053360119840363e-05,180.73633919999702
2,10,moving_boundary,0.9901551008224487,1.0079126358032227,0.007294138427823782,1.6639791283523664e-05,8.606041228631511e-05,2.6559466732578585e-06,0.05205075815320015,0.9983601570129395,0.06718370318412781,0.022940361872315407,4850,0.0,0.41641706228256226,6638,0.002024214481934905,3240,1.05335338957957e-05,180.90436009998666
3,15,moving_boundary,0.9869346022605896,1.0088746547698975,0.008158541284501553,5.1766674005193636e-05,0.00038284185575321317,6.253468654904282e-06,0.051992543041706085,0.9970231056213379,0.07107294350862503,0.022940371185541153,4850,0.0,0.4204619228839874,6638,0.0022196960635483265,3252,1.0533120985201094e-05,181.05099479999626
4,20,moving_boundary,0.9829465746879578,1.0072591304779053,0.009849079884588718,4.03292833652813e-05,0.00014355985331349075,1.3639070857607294e-05,0.05202152580022812,0.9956102967262268,0.07775510847568512,0.02294038236141205,4850,0.0,0.41592252254486084,6630,0.0033060614950954914,3257,1.0532112355576828e-05,181.2050929000252
5,25,moving_boundary,0.9811670780181885,1.006307601928711,0.009847142733633518,6.883007154101506e-05,0.0003672302991617471,2.1608562747132964e-05,0.05197649449110031,0.9945948719978333,0.08109811693429947,0.0229403804987669,4850,0.0,0.4206314980983734,6636,0.003299253061413765,3257,1.0530304280109704e-05,181.35526380001102
6,30,moving_boundary,0.9815394282341003,1.0050547122955322,0.012898633256554604,5.88188340771012e-05,0.00013799405132886022,3.180126441293396e-05,0.052002664655447006,0.9938701391220093,0.08076472580432892,0.0229403804987669,4862,0.0,0.4190187454223633,6640,0.0032953808549791574,3282,1.0527592166909017e-05,181.50168680003844
7,35,moving_boundary,0.9822483658790588,1.0051078796386719,0.010465338826179504,8.314310980495065e-05,0.00033837257069535553,4.0608527342556044e-05,0.05196095630526543,0.9929176568984985,0.07893908023834229,0.02294037491083145,4866,0.0,0.41918662190437317,6636,0.0032953210175037384,3282,1.0523959645070136e-05,181.66181670001242
8,40,moving_boundary,0.9869486093521118,1.004224181175232,0.012226078659296036,7.495210593333468e-05,0.00014150205242913216,5.007188519812189e-05,0.051981259137392044,0.9918438196182251,0.07628880441188812,0.02294037491083145,4869,0.0,0.418023020029068,6632,0.0033016635570675135,3284,1.0519449460844044e-05,181.81868920003762
9,45,moving_boundary,0.9841338396072388,1.0050182342529297,0.011153317987918854,9.643066005082801e-05,0.00033107909257523715,5.7589481002651155e-05,0.05195317044854164,0.9912241697311401,0.07532277703285217,0.0229403767734766,4869,0.0,0.4191003143787384,6622,0.003307426581159234,3286,1.0514106179471128e-05,181.97773019998567
10,50,moving_boundary,0.9852591156959534,1.0050572156906128,0.010818309150636196,8.981046994449571e-05,0.00015817888197489083,6.560638576047495e-05,0.051986489444971085,0.9909787774085999,0.07625120878219604,0.0229403804987669,4869,0.0,0.4212471842765808,6630,0.0033091644290834665,3277,1.0510012543818448e-05,182.1327750000055
11,55,moving_boundary,0.9853051900863647,1.0046244859695435,0.01009801123291254,0.00010791190288728103,0.0003189746639691293,7.193251076387241e-05,0.051976095885038376,0.991173505783081,0.07674244046211243,0.02294038236141205,4869,0.0,0.4192381799221039,6636,0.003308856626972556,3275,1.0510987522138748e-05,182.27247180003906
12,60,moving_boundary,0.9903932213783264,1.0083184242248535,0.009007827378809452,0.00010066505637951195,0.00016250160115305334,7.883697253419086e-05,0.052013371139764786,0.9916430115699768,0.07829870283603668,0.022940346971154213,4869,0.0,0.4208565652370453,6638,0.0021937882993370295,3284,1.0511461368878372e-05,182.41805010003736
13,65,moving_boundary,0.9910030961036682,1.0112535953521729,0.008855721913278103,0.00011657245340757072,0.0003099208406638354,8.412911120103672e-05,0.0520065575838089,0.9923529028892517,0.07842796295881271,0.022940373048186302,4869,0.0,0.41905173659324646,6630,0.0022055450826883316,3284,1.0511461368878372e-05,182.56026860000566
14,70,moving_boundary,0.9911847114562988,1.0119866132736206,0.007657365407794714,0.00010949713760055602,0.00017016187484841794,8.96669298526831e-05,0.05203637108206749,0.9932178854942322,0.07866760343313217,0.022940384224057198,4869,0.0,0.4208509624004364,6636,0.0022090617567300797,3286,1.0510944775887765e-05,182.6966883999994
15,75,moving_boundary,0.9916378855705261,1.0119022130966187,0.009618055075407028,0.00012258507194928825,0.00029949352028779685,9.338818199466914e-05,0.05202861875295639,0.9941847920417786,0.07854165136814117,0.02294037863612175,4867,0.0,0.42029690742492676,6632,0.0022298460826277733,3286,1.0509739695407916e-05,182.82854710001266
16,80,moving_boundary,0.9919535517692566,1.010404109954834,0.006712684873491526,0.00011610134242800996,0.00017469662998337299,9.736263018567115e-05,0.052052948623895645,0.9951934218406677,0.07851619273424149,0.022940393537282944,4901,0.0,0.42054495215415955,6632,0.002298231702297926,3303,1.0509714229556266e-05,182.9663312000339
17,85,moving_boundary,0.9922328591346741,1.009539008140564,0.010332495905458927,0.000127215709653683,0.00029458716744557023,9.951934771379456e-05,0.0520530641078949,0.994999349117279,0.07777675241231918,0.02294037491083145,4915,0.0,0.41961586475372314,6620,0.0023222060408443213,3297,1.0513093911868054e-05,183.1011615000316
18,90,moving_boundary,0.992590606212616,1.0083141326904297,0.006720966659486294,0.0001215345982927829,0.00018895127868745476,0.00010219652176601812,0.05207871273159981,0.9943425059318542,0.07799424976110458,0.022940371185541153,4922,0.0,0.41983234882354736,6622,0.002418411197140813,3297,1.0514853784115985e-05,183.23252810002305
19,95,moving_boundary,0.9928215742111206,1.007965326309204,0.010587670840322971,0.000130175962112844,0.00029597055981867015,0.00010353553079767153,0.05207757651805878,0.9938503503799438,0.07630664110183716,0.022940371185541153,4927,0.0,0.4200145900249481,6612,0.0028552396688610315,3296,1.0515182111703325e-05,183.35979660000885
20,100,moving_boundary,0.9931416511535645,1.0082043409347534,0.006680767983198166,0.0001254478847840801,0.00020653477986343205,0.00010498920164536685,0.05210486426949501,0.9936022162437439,0.0760301724076271,0.02294039912521839,4917,0.0,0.4196997284889221,6594,0.002787145785987377,3295,1.0515499525354244e-05,183.48334000003524
