step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.05208307132124901,1.0,0.0520833320915699,0.0,0,0.0,0.0,0,0.0,0,0.0,2.9059741999953985
1,5,moving_boundary,0.995000422000885,1.005000352859497,0.008402237668633461,3.418478445382789e-05,0.00033403714769519866,3.153369476649459e-08,0.05201910063624382,0.9993891716003418,0.060499995946884155,0.022940384224057198,4850,0.0,0.4197594225406647,6632,0.0016666672891005874,3240,1.0533602107898332e-05,17.346865799976513
2,10,moving_boundary,0.9906237125396729,1.008122205734253,0.007178062107414007,1.655216510698665e-05,8.6123043729458e-05,2.628557922434993e-06,0.052050746977329254,0.9983600974082947,0.06718440353870392,0.02294035255908966,4850,0.0,0.4162965714931488,6638,0.001926049473695457,3240,1.05335338957957e-05,17.48021929996321
3,15,moving_boundary,0.987475574016571,1.0094081163406372,0.007785591296851635,5.149903881829232e-05,0.00038268297794274986,6.1897731029603165e-06,0.0519925132393837,0.9970231652259827,0.0710725337266922,0.0229403767734766,4850,0.0,0.4204619526863098,6638,0.002123301848769188,3252,1.0533120075706393e-05,17.5656561999931
4,20,moving_boundary,0.9864562153816223,1.008188009262085,0.008420055732131004,3.901934906025417e-05,0.00014371017459779978,1.350187449133955e-05,0.05202062800526619,0.995610237121582,0.07775726169347763,0.02294037863612175,4850,0.0,0.4160316288471222,6630,0.0022481840569525957,3257,1.0532112355576828e-05,17.66795849998016
5,25,moving_boundary,0.9863680005073547,1.0077296495437622,0.008948279544711113,6.761644908692688e-05,0.0003681394155137241,2.1172860215301625e-05,0.0519762746989727,0.9945947527885437,0.08109559863805771,0.02294037863612175,4850,0.0,0.4199705123901367,6636,0.00242646224796772,3257,1.0530306099099107e-05,17.77759519999381
6,30,moving_boundary,0.9876808524131775,1.0067598819732666,0.009247753769159317,5.6255907111335546e-05,0.00014152748917695135,3.09836796077434e-05,0.052001893520355225,0.9938699007034302,0.08076121658086777,0.0229403767734766,4862,0.0,0.41965043544769287,6640,0.002533061895519495,3282,1.0527591257414315e-05,17.88502669997979
7,35,moving_boundary,0.9881595373153687,1.0057042837142944,0.00863950327038765,8.033608901314437e-05,0.0003403270966373384,3.913189357263036e-05,0.05196090787649155,0.9929161667823792,0.078931525349617,0.022940371185541153,4866,0.0,0.4196060001850128,6636,0.002548124874010682,3282,1.0523959645070136e-05,17.98772629996529
8,40,moving_boundary,0.9911335110664368,1.005216121673584,0.009708646684885025,7.118154462659732e-05,0.00014965892478358,4.793112748302519e-05,0.051980528980493546,0.9918419122695923,0.07628758251667023,0.022940363734960556,4869,0.0,0.4189562201499939,6632,0.0024924390017986298,3284,1.0519451279833447e-05,18.085828799987212
9,45,moving_boundary,0.9900678396224976,1.0059221982955933,0.00842689722776413,9.182713984046131e-05,0.0003293421177659184,5.463123306981288e-05,0.05195333808660507,0.991222083568573,0.07532266527414322,0.02294037863612175,4869,0.0,0.4189702868461609,6622,0.0023976536467671394,3286,1.051411254593404e-05,18.183893400011584
10,50,moving_boundary,0.9916986227035522,1.0060160160064697,0.008559606038033962,8.408579742535949e-05,0.00016012699052225798,6.192376895342022e-05,0.051985956728458405,0.9909774661064148,0.07625112682580948,0.02294037491083145,4869,0.0,0.4192148447036743,6630,0.00226782844401896,3277,1.0510011634323746e-05,18.27682129997993
11,55,moving_boundary,0.9919215440750122,1.0062021017074585,0.007836009375751019,0.00010143003601115197,0.00031475230935029685,6.738088995916769e-05,0.051976483315229416,0.9911710023880005,0.07674279808998108,0.022940389811992645,4869,0.0,0.41902148723602295,6636,0.002201410010457039,3275,1.051098843163345e-05,18.378306999977212
12,60,moving_boundary,0.9928357005119324,1.0070732831954956,0.007619592361152172,9.502079774392769e-05,0.00016985789989121258,7.350018131546676e-05,0.05201421305537224,0.9916409254074097,0.0782991349697113,0.0229403804987669,4869,0.0,0.41879916191101074,6638,0.0021937971469014883,3284,1.0511461368878372e-05,18.47492459998466
13,65,moving_boundary,0.9932150840759277,1.0071879625320435,0.008560310117900372,0.00010985659173456952,0.00030853136559017,7.804866618243977e-05,0.052007343620061874,0.9923512935638428,0.07842706143856049,0.02294038236141205,4869,0.0,0.4191630184650421,6630,0.002205552998930216,3284,1.0511463187867776e-05,18.572289699979592
14,70,moving_boundary,0.9935158491134644,1.0066677331924438,0.006815324071794748,0.00010427210509078577,0.00017867320275399834,8.319226617459208e-05,0.05203710496425629,0.993217408657074,0.07866599410772324,0.02294038236141205,4869,0.0,0.41868042945861816,6636,0.002209060825407505,3286,1.0510946594877169e-05,18.6677834999864
15,75,moving_boundary,0.9937039613723755,1.0067027807235718,0.009662794880568981,0.00011684093624353409,0.00030074481037445366,8.683597116032615e-05,0.05202914774417877,0.9941855669021606,0.07853837311267853,0.022940369322896004,4867,0.0,0.4191319942474365,6632,0.002228782745078206,3286,1.050974151439732e-05,18.757832299976144
16,80,moving_boundary,0.9941314458847046,1.006691336631775,0.006191345397382975,0.00011184278992004693,0.00018499438010621816,9.101683826884255e-05,0.05205322429537773,0.9951952695846558,0.0785115659236908,0.022940373048186302,4901,0.0,0.41833776235580444,6632,0.00229695625603199,3303,1.0509712410566863e-05,18.851422899984755
17,85,moving_boundary,0.994206964969635,1.0069255828857422,0.010369665920734406,0.00012258322385605425,0.00029790279222652316,9.359138493891805e-05,0.052053302526474,0.9949995279312134,0.07777132838964462,0.022940361872315407,4915,0.0,0.4188099801540375,6620,0.002325657522305846,3297,1.0513095730857458e-05,18.95583379996242
18,90,moving_boundary,0.9944698214530945,1.0065898895263672,0.0062437341548502445,0.00011824470857391134,0.00019921215425711125,9.676264744484797e-05,0.05207866057753563,0.9943434596061707,0.07801053673028946,0.022940397262573242,4922,0.0,0.41796326637268066,6622,0.0024217520840466022,3297,1.0514850146137178e-05,19.050817899988033
19,95,moving_boundary,0.9946276545524597,1.0051709413528442,0.010228542611002922,0.0001274168025702238,0.00030143873300403357,9.869248606264591e-05,0.05207797884941101,0.9938519597053528,0.07629551738500595,0.02294037863612175,4927,0.0,0.4184861183166504,6612,0.002439087489619851,3296,1.0515177564229816e-05,19.145799999998417
20,100,moving_boundary,0.9948333501815796,1.0047236680984497,0.006364332977682352,0.00012356882507447153,0.00021494626707863063,0.00010087584087159485,0.052104655653238297,0.9936041831970215,0.07601771503686905,0.022940363734960556,4917,0.0,0.4179958403110504,6594,0.00237038335762918,3295,1.0515498615859542e-05,19.236841499980073
