step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2.248543800000107
1,5,moving_boundary,0.9996386170387268,1.0000003576278687,0.00034357450203970075,1.2191421205898223e-07,1.7882032921079372e-07,7.57423235242527e-10,-2.661683765836642e-06,0.999392569065094,0.008911595679819584,0.02294040471315384,4850,0.0,0.41573983430862427,6632,0.00012645963579416275,3240,1.0533824934100267e-05,13.482016599999952
2,10,moving_boundary,0.9985732436180115,1.0003418922424316,0.001048814388923347,9.32508328332915e-08,-4.657856607082067e-07,3.267153658725874e-08,-8.939914550865069e-06,0.9983583688735962,0.017512662336230278,0.022940346971154213,4850,0.0,0.4151180684566498,6630,0.0003927901852875948,3240,1.0534671673667617e-05,13.667356200000086
3,15,moving_boundary,0.9973296523094177,1.0006914138793945,0.001378306420519948,2.320991399074046e-07,-8.753396514293854e-07,6.101326022189824e-08,-2.185198536608368e-05,0.9970162510871887,0.025033604353666306,0.022940384224057198,4850,0.0,0.4155099391937256,6626,0.0006090226233936846,3241,1.0535882211115677e-05,13.82177270000011
4,20,moving_boundary,0.992776095867157,1.0008468627929688,0.005558024626225233,1.4882820096318028e-06,-5.688593205377401e-07,1.2945498895078345e-07,-3.3930642530322075e-05,0.9956039190292358,0.03011968359351158,0.022940371185541153,4850,0.0,0.4148819148540497,6628,0.0020659994333982468,3241,1.0537199159443844e-05,13.935094400000025
5,25,moving_boundary,0.9902594685554504,1.0014933347702026,0.00565516110509634,1.4041210079085431e-06,-9.016723083732359e-07,4.688984631684434e-07,-4.5082571887178347e-05,0.994586169719696,0.03191632404923439,0.022940371185541153,4850,0.0,0.4164685904979706,6622,0.002117240335792303,3241,1.053841242537601e-05,14.051831900000025
6,30,moving_boundary,0.98952317237854,1.000556230545044,0.007362015079706907,2.9480390821845504e-06,-2.406940438959282e-06,8.998329690257378e-07,-5.7209843362215906e-05,0.9938808679580688,0.032313667237758636,0.022940369322896004,4850,0.0,0.4150232970714569,6626,0.0021258743945509195,3247,1.0539415598032065e-05,14.16561569999999
7,35,moving_boundary,0.9892750382423401,1.0011322498321533,0.006950993090867996,3.228871719329618e-06,-3.899264982010209e-07,1.6716467143851332e-06,-6.545647920574993e-05,0.9928923845291138,0.03452637791633606,0.022940369322896004,4850,0.0,0.41594868898391724,6626,0.002135027665644884,3259,1.0540207767917309e-05,14.277614999999969
8,40,moving_boundary,0.987311601638794,1.0007381439208984,0.007910015992820263,4.869264557783026e-06,-1.4271474810811924e-06,2.4348219085368328e-06,-7.037634350126609e-05,0.9918215274810791,0.036739006638526917,0.022940373048186302,4850,0.0,0.41550391912460327,6626,0.0024065030738711357,3259,1.0540821676841006e-05,14.386398800000052
9,45,moving_boundary,0.9888186454772949,1.0014187097549438,0.007265495136380196,5.054479515820276e-06,-5.887783913749445e-07,3.4578354188852245e-06,-7.684750744374469e-05,0.9911980628967285,0.03742820769548416,0.022940371185541153,4851,0.0,0.4165622293949127,6622,0.0023395849857479334,3259,1.0541313713474665e-05,14.496584600000006
