step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2.2428683999999066
1,5,moving_boundary,1.0000003576278687,1.0000003576278687,0.0,0.0,0.0,0.0,-3.1864119591773488e-06,0.9993927478790283,0.008875250816345215,0.022940367460250854,4850,0.0,0.41573983430862427,6632,0.0,3240,1.053382129612146e-05,13.295959399999902
2,10,moving_boundary,0.9991253614425659,1.0003358125686646,0.0010218302486464381,-3.4000793291966147e-09,-4.184241220173135e-07,3.121314096077299e-09,-1.0067125913337804e-05,0.9983821511268616,0.016279764473438263,0.0229403767734766,4850,0.0,0.4151105284690857,6630,0.00026561124832369387,3240,1.0534636203374248e-05,13.443242399999917
3,15,moving_boundary,0.9979209303855896,1.0006771087646484,0.0012414559023454785,-2.1334624733526653e-08,-9.183900715470372e-07,-3.908443346745116e-09,-2.2830967282061465e-05,0.9970748424530029,0.02356885001063347,0.022940363734960556,4850,0.0,0.41552647948265076,6626,0.0004828912497032434,3241,1.0535801266087219e-05,13.574107500000082
4,20,moving_boundary,0.9968908429145813,1.000819206237793,0.0017915761563926935,-8.021309838568413e-09,-1.0608411002976936e-06,-1.5086198956737462e-08,-3.495151759125292e-05,0.9956409931182861,0.029133062809705734,0.0229403767734766,4850,0.0,0.4149445593357086,6628,0.0006911829113960266,3241,1.0537074558669701e-05,13.634911699999975
5,25,moving_boundary,0.9962134957313538,1.0008035898208618,0.0018597152084112167,-2.1291102214604507e-09,-9.016186481858313e-07,-4.1404515371823436e-08,-4.558515502139926e-05,0.9945873022079468,0.03155990689992905,0.022940343245863914,4850,0.0,0.4154084026813507,6622,0.0008420820231549442,3241,1.0538250535319094e-05,13.697548599999891
6,30,moving_boundary,0.9960340857505798,1.000570297241211,0.0021459264680743217,-1.8852579941608383e-08,-1.3351599363886635e-06,-7.065171558906513e-08,-5.8055265981238335e-05,0.9938272833824158,0.03215993940830231,0.02294035628437996,4850,0.0,0.41504761576652527,6626,0.0009319495875388384,3247,1.0539241884544026e-05,13.761533999999983
7,35,moving_boundary,0.9962307810783386,1.0007253885269165,0.002099753590300679,-2.5162755434848805e-08,-1.01273360542109e-06,-1.0468809819030866e-07,-6.598748586839065e-05,0.9929398894309998,0.03375278785824776,0.02294038236141205,4850,0.0,0.4157109558582306,6626,0.0009829276241362095,3259,1.0540037692408077e-05,13.829132900000104
8,40,moving_boundary,0.996252179145813,1.0008493661880493,0.0020480251405388117,-5.324157825725706e-08,-1.2244970548636047e-06,-1.2769525881139998e-07,-7.366934732999653e-05,0.9918769001960754,0.03612346947193146,0.022940371185541153,4850,0.0,0.415714293718338,6626,0.0010260137496516109,3259,1.0540670700720511e-05,13.891498199999887
9,45,moving_boundary,0.997084379196167,1.0018776655197144,0.001816373667679727,-6.987297496152678e-08,-9.11908330181177e-07,-1.4340203335905244e-07,-7.93089930084534e-05,0.9912241101264954,0.037038009613752365,0.02294035628437996,4851,0.0,0.41633903980255127,6626,0.0010700001148507,3259,1.0541186384216417e-05,13.959490899999992
