step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.738684700000249
1,5,moving_boundary,0.9996386170387268,1.0000003576278687,0.00034357450203970075,1.2191421205898223e-07,1.788201302588277e-07,7.57423235242527e-10,-1.9034177967114374e-06,0.9993926286697388,0.008911164477467537,0.022940363734960556,4850,0.0,0.41573983430862427,6632,0.00012645963579416275,3240,1.0533827662584372e-05,12.682569500000227
2,10,moving_boundary,0.9985675811767578,1.0003418922424316,0.0010499943746253848,9.351425234171984e-08,-4.6367989625650807e-07,3.267377124416271e-08,-7.947282028908376e-06,0.9983537197113037,0.01751272939145565,0.022940361872315407,4850,0.0,0.41511768102645874,6630,0.0003928090154659003,3240,1.0534677130635828e-05,12.86157860000003
3,15,moving_boundary,0.9973223209381104,1.0006914138793945,0.0013810746604576707,2.3268830773304217e-07,-8.735868846088124e-07,6.105720018467764e-08,-1.9964722014265135e-05,0.9970083236694336,0.025033844634890556,0.022940371185541153,4850,0.0,0.41550901532173157,6626,0.0006096336292102933,3241,1.0535893125052098e-05,12.966955599999892
4,20,moving_boundary,0.9927613735198975,1.0008468627929688,0.005559610202908516,1.489724354541977e-06,-5.635445177176734e-07,1.296432117214863e-07,-3.1323015718953684e-05,0.9955941438674927,0.030119555070996284,0.022940373048186302,4850,0.0,0.414880633354187,6628,0.002066991524770856,3241,1.0537216439843178e-05,13.371733700000277
5,25,moving_boundary,0.9902536273002625,1.0014926195144653,0.005667087156325579,1.4063633670957643e-06,-8.948559866439609e-07,4.694129529525526e-07,-4.1501058149151504e-05,0.9945735335350037,0.03191631659865379,0.02294035814702511,4850,0.0,0.41646426916122437,6622,0.0021184810902923346,3241,1.0538436072238255e-05,13.442448199999944
6,30,moving_boundary,0.9895073771476746,1.0005559921264648,0.007364931516349316,2.951449687316199e-06,-2.3989277906366624e-06,9.008568326862587e-07,-5.2809038606937975e-05,0.9938520789146423,0.03231421485543251,0.022940346971154213,4850,0.0,0.4150215685367584,6626,0.002129798289388418,3247,1.0539455615798943e-05,13.518197800000053
7,35,moving_boundary,0.9892410635948181,1.0011311769485474,0.0069706030189991,3.2331709007848985e-06,-3.8250686884566676e-07,1.673359179221734e-06,-5.9993126342305914e-05,0.9928473234176636,0.03453691303730011,0.022940367460250854,4850,0.0,0.41594186425209045,6626,0.002139901276677847,3259,1.0540252333157696e-05,13.589713100000154
8,40,moving_boundary,0.9873015880584717,1.0007377862930298,0.007916638627648354,4.874508249486098e-06,-1.420019316356047e-06,2.437410103084403e-06,-6.37757038930431e-05,0.9917731285095215,0.03675595298409462,0.02294035814702511,4850,0.0,0.41550084948539734,6626,0.0024120884481817484,3259,1.0540874427533709e-05,13.977970400000231
9,45,moving_boundary,0.9888143539428711,1.001410961151123,0.007286432199180126,5.060429884906625e-06,-5.817097417093464e-07,3.4612066883710213e-06,-6.92023168085143e-05,0.991148054599762,0.03744276985526085,0.022940365597605705,4851,0.0,0.4165617525577545,6622,0.002345358021557331,3259,1.0541370102146175e-05,14.049800400000095
