case,reaction_transfer_mode,step_index,driver_lbm_step,requested_phase,selected_phase,report_pass,finite_pass,cap_pass,applied_cell_count,max_applied_velocity_norm,mean_applied_velocity_norm,after_solid_vel_norm_max,wall_velocity_cap_lbm,lbm_population_update_count,apply_to_lbm_solid_vel,apply_to_lbm_populations,modify_bounceback_formula
experimental_48_moving_boundary,engineering,0,0,0.0,0.0,True,True,True,2136,0.0005006836795005674,0.0003217638579611436,0.0005006836795005674,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,1,1,0.025,0.0,True,True,True,2136,0.0005006836795005674,0.0003217638579611436,0.0012244088528082875,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,2,2,0.05,0.0,True,True,True,2136,0.0005006836795005674,0.0003217638579611436,0.001938977563616419,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,3,3,0.075,0.1,True,True,True,2136,0.005849450792213756,0.0037591436088628594,0.006558009240155812,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,4,4,0.1,0.1,True,True,True,2136,0.005849450792213756,0.0037591436088628594,0.006940389499570362,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,5,5,0.125,0.1,True,True,True,2136,0.005849450792213756,0.0037591436088628594,0.007238195062324515,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,6,6,0.15,0.1,True,True,True,2136,0.005849450792213756,0.0037591436088628594,0.007358340247664216,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,7,7,0.175,0.2,True,True,True,2136,0.007021783310068709,0.004512541910430384,0.008489295653471568,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,8,8,0.2,0.2,True,True,True,2136,0.007021783310068709,0.004512541910430384,0.008225845728031284,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,9,9,0.225,0.2,True,True,True,2136,0.007021783310068709,0.004512541910430384,0.007853367067196408,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,10,10,0.25,0.2,True,True,True,2136,0.007021783310068709,0.004512541910430384,0.007485030814244188,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,11,11,0.275,0.35,True,True,True,2136,0.0001769404350671112,0.00011371059083312566,0.004024730972632389,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,12,12,0.3,0.35,True,True,True,2136,0.00017694043506711127,0.00011371059083312565,0.004019004612294685,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,13,13,0.325,0.35,True,True,True,2136,0.00017694043506711127,0.00011371059083312565,0.004013778090135414,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,14,14,0.35,0.35,True,True,True,2136,0.00017694043506711127,0.00011371059083312566,0.00394108554922702,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,15,15,0.375,0.35,True,True,True,2136,0.00017694043506711127,0.00011371059083312566,0.003852800202655003,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,16,16,0.4,0.35,True,True,True,2136,0.00017694043506711124,0.00011371059083312568,0.003785495895403805,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,17,17,0.425,0.35,True,True,True,2136,0.0001769404350671113,0.00011371059083312566,0.0037507144185621516,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,18,18,0.45,0.5,True,True,True,2136,0.002743496658157396,0.001763105340107655,0.004331566808735685,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,19,19,0.475,0.5,True,True,True,2136,0.002743496658157396,0.001763105340107655,0.004177519839528469,0.01,0,True,False,False
