step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.8544636999999966
1,5,moving_boundary,1.0000003576278687,1.0000003576278687,0.0,0.0,0.0,0.0,-3.1900658541417215e-06,0.9993928074836731,0.008875290863215923,0.022940371185541153,4850,0.0,0.41573983430862427,6632,0.0,3240,1.053382129612146e-05,12.717615799999749
2,10,moving_boundary,0.9991253614425659,1.0003358125686646,0.0010218294337391853,-3.3966860435441504e-09,-4.184213935332082e-07,3.121366942693271e-09,-1.1138017725897953e-05,0.9983803033828735,0.016285041347146034,0.022940363734960556,4850,0.0,0.4151104986667633,6630,0.0002656127908267081,3240,1.053463711286895e-05,12.870819700000084
3,15,moving_boundary,0.9979184865951538,1.0006828308105469,0.001245643012225628,-2.1943682426694977e-08,-9.229874535776617e-07,-3.896572398076614e-09,-2.3911066818982363e-05,0.9970669150352478,0.023927809670567513,0.022940363734960556,4850,0.0,0.4155256152153015,6626,0.0004910340649075806,3241,1.0535800356592517e-05,13.012056900000061
4,20,moving_boundary,0.9968843460083008,1.000827431678772,0.001793427625671029,-8.227808656613433e-09,-1.0620278771966696e-06,-1.5312295431613165e-08,-3.601365824579261e-05,0.995634913444519,0.029454641044139862,0.022940369322896004,4850,0.0,0.41494181752204895,6628,0.0007010436384007335,3241,1.0537074558669701e-05,13.10728889999973
5,25,moving_boundary,0.9962052702903748,1.0008102655410767,0.0018657846376299858,-2.9768933984541945e-09,-9.063627999239543e-07,-4.179594270681264e-08,-4.664989319280721e-05,0.9945841431617737,0.03173498064279556,0.022940387949347496,4850,0.0,0.4154071509838104,6622,0.0008513311622664332,3241,1.0538257811276708e-05,13.197606499999893
6,30,moving_boundary,0.996022641658783,1.0005712509155273,0.002148933243006468,-1.9426034114644608e-08,-1.3363763855522848e-06,-7.142480029642684e-08,-5.912104097660631e-05,0.9938258528709412,0.032247692346572876,0.022940367460250854,4850,0.0,0.41504767537117004,6626,0.0009378312388435006,3247,1.0539251888985746e-05,13.283730899999682
7,35,moving_boundary,0.9962217807769775,1.0007283687591553,0.002103630919009447,-2.623838923909716e-08,-1.016356804939278e-06,-1.0561348062765319e-07,-6.702765676891431e-05,0.9929277300834656,0.033868756145238876,0.022940367460250854,4850,0.0,0.41571131348609924,6626,0.0009845920139923692,3259,1.0540046787355095e-05,13.372870199999852
8,40,moving_boundary,0.9962458610534668,1.0008494853973389,0.0020494158379733562,-5.4202150323590104e-08,-1.2250436611793702e-06,-1.2880440181106678e-07,-7.472095603588969e-05,0.9918653964996338,0.03631196171045303,0.02294038236141205,4850,0.0,0.4157146215438843,6626,0.0010250561172142625,3259,1.0540680705162231e-05,13.459645399999772
9,45,moving_boundary,0.9970752596855164,1.0018819570541382,0.0018168274546042085,-7.134083546134207e-08,-9.163910590359592e-07,-1.4428567851609841e-07,-8.036048529902473e-05,0.9912135601043701,0.03710915520787239,0.022940363734960556,4851,0.0,0.4163394272327423,6626,0.0010690126800909638,3259,1.0541194569668733e-05,13.542992700000013
10,50,moving_boundary,0.9973490834236145,1.0028175115585327,0.0016589334700256586,-8.98006646821159e-08,-9.86609052233689e-07,-1.4090379352182936e-07,-8.63208988448605e-05,0.9909748435020447,0.04050455987453461,0.022940373048186302,4851,0.0,0.416240930557251,6622,0.0011178295826539397,3259,1.0541636584093794e-05,13.631376999999702
11,55,moving_boundary,0.9973468780517578,1.0035532712936401,0.001798382494598627,-8.833019649046037e-08,-5.882524192202254e-07,-1.277748253869504e-07,-8.832160528982058e-05,0.9911975264549255,0.04156945273280144,0.022940373048186302,4851,0.0,0.4166107177734375,6622,0.0011636846465989947,3259,1.0542040399741381e-05,13.715165999999954
12,60,moving_boundary,0.9975711107254028,1.0049148797988892,0.002052644267678261,-7.394361034585017e-08,-3.363973632986017e-07,-9.576149295753567e-08,-9.392498031957075e-05,0.9916313290596008,0.04230916127562523,0.022940371185541153,4851,0.0,0.41679903864860535,6626,0.0011759663466364145,3259,1.054242966347374e-05,13.802340599999752
13,65,moving_boundary,0.9967940449714661,1.0054059028625488,0.002279495121911168,-6.408951236380744e-08,5.573927097657361e-08,-6.595769974637733e-08,-0.0001012674329103902,0.9922797679901123,0.04233267530798912,0.022940365597605705,4851,0.0,0.41786298155784607,6626,0.0011316797463223338,3259,1.0542815289227292e-05,13.88923449999993
14,70,moving_boundary,0.9962876439094543,1.005788803100586,0.0028720099944621325,-5.5117709507612744e-08,1.2519194569904357e-07,-2.666089393699167e-08,-0.00010986046981997788,0.9930899739265442,0.041659172624349594,0.022940371185541153,4851,0.0,0.41738077998161316,6614,0.0010490866843611002,3259,1.0543190910539124e-05,13.97449749999987
15,75,moving_boundary,0.9964699149131775,1.0053740739822388,0.0029020921792834997,-4.263257125103337e-08,6.77636251111835e-07,-5.283228965424769e-09,-0.0001225992600666359,0.9940298199653625,0.04080579802393913,0.02294040098786354,4851,0.0,0.41780799627304077,6614,0.0010330965742468834,3247,1.0543544703978114e-05,14.056786699999975
16,80,moving_boundary,0.9971780180931091,1.005052924156189,0.002880239160731435,-3.403768644716365e-08,8.123275279103837e-07,1.2990487796571415e-08,-0.00013375343405641615,0.99504154920578,0.040110018104314804,0.022940371185541153,4851,0.0,0.41726669669151306,6616,0.0010689086047932506,3247,1.0543859389144927e-05,14.137889299999642
17,85,moving_boundary,0.9976682066917419,1.0047500133514404,0.002919742139056325,-3.051725272484873e-08,1.0545754776103422e-06,1.3793523656602247e-08,-0.0001449713745387271,0.9949753880500793,0.03966384381055832,0.02294038236141205,4851,0.0,0.4172568619251251,6616,0.0011131673818454146,3247,1.0544119504629634e-05,14.222772300000088
18,90,moving_boundary,0.9974639415740967,1.0046989917755127,0.0028502997010946274,-1.5391080410154245e-08,1.162457692771568e-06,1.9792066652257745e-08,-0.00015655223978683352,0.9943461418151855,0.0402904711663723,0.022940386086702347,4851,0.0,0.41698238253593445,6616,0.00109238107688725,3247,1.0544314136495814e-05,14.307154999999966
19,95,moving_boundary,0.9971417784690857,1.00434148311615,0.0028705643489956856,-4.3513884162571514e-10,1.32896127524873e-06,1.612420952312732e-08,-0.0001683647424215451,0.9938963055610657,0.04304923489689827,0.022940367460250854,4851,0.0,0.41692063212394714,6616,0.001067395438440144,3247,1.0544447832216974e-05,14.392940199999884
20,100,moving_boundary,0.9974015951156616,1.0041656494140625,0.002849709242582321,2.0071272643917837e-08,1.313646180278738e-06,2.0782286114240378e-08,-0.00018032338994089514,0.9936643242835999,0.04545850306749344,0.02294035628437996,4851,0.0,0.4165208339691162,6616,0.0011094965739175677,3247,1.0544525139266625e-05,14.475599699999748
21,105,moving_boundary,0.9969339966773987,1.0040252208709717,0.0029440708458423615,3.001870041430266e-08,1.2700999150183634e-06,2.1725165666452995e-08,-0.0001923925447044894,0.9936328530311584,0.04738052189350128,0.0229403767734766,4851,0.0,0.4164387881755829,6616,0.0011407099664211273,3247,1.0544559700065292e-05,14.567559099999926
22,110,moving_boundary,0.9961908459663391,1.003678321838379,0.002932286122813821,3.10033207995275e-08,9.927593964675907e-07,2.722064884608244e-08,-0.00020545008010230958,0.9937470555305481,0.047715190798044205,0.02294037863612175,4851,0.0,0.41608792543411255,6616,0.001147926552221179,3247,1.054455879057059e-05,14.650035099999968
23,115,moving_boundary,0.9954609274864197,1.0037065744400024,0.0029392163269221783,2.9728568051723414e-08,8.225268288697407e-07,2.1363938174090435e-08,-0.0002172239765059203,0.9937523603439331,0.046214256435632706,0.0229403804987669,4851,0.0,0.4160614311695099,6626,0.0011181774316355586,3247,1.054452786775073e-05,14.734303599999748
