step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.7345702000002348
1,5,moving_boundary,1.0000003576278687,1.0000003576278687,0.0,0.0,0.0,0.0,-1.961647058124072e-06,0.999392569065094,0.008911293931305408,0.02294037863612175,4850,0.0,0.41573983430862427,6632,0.0,3240,1.0533828572079074e-05,12.633583100000124
2,10,moving_boundary,0.9991057515144348,1.0003418922424316,0.0010291856015101075,-2.4077986271464624e-09,-4.075777439993544e-07,3.169896567456476e-09,-7.946186997287441e-06,0.9983537197113037,0.01751260831952095,0.022940360009670258,4850,0.0,0.41511064767837524,6630,0.0002729863044805825,3240,1.053467804013053e-05,12.777684000000136
3,15,moving_boundary,0.9978624582290649,1.0006914138793945,0.0012755298521369696,-1.8481255636970673e-08,-9.145312560576713e-07,-4.143082765750705e-09,-1.998018160520587e-05,0.9970082640647888,0.025033840909600258,0.0229403804987669,4850,0.0,0.4155226945877075,6626,0.0005236660363152623,3241,1.0535893125052098e-05,12.8976660000003
4,20,moving_boundary,0.9968140721321106,1.0008467435836792,0.0018206032691523433,-1.4653356306126852e-09,-1.0460149724167422e-06,-1.53804293745452e-08,-3.1879302696324885e-05,0.9955941438674927,0.030119679868221283,0.022940361872315407,4850,0.0,0.41492947936058044,6628,0.0007329965592361987,3241,1.0537215530348476e-05,12.968300200000158
5,25,moving_boundary,0.9961339831352234,1.000823974609375,0.0019106348045170307,6.729946377959095e-09,-8.852227324496198e-07,-4.099958417214111e-08,-4.139280645176768e-05,0.9945735335350037,0.031916603446006775,0.022940360009670258,4850,0.0,0.41539883613586426,6622,0.0008742837817408144,3241,1.0538440619711764e-05,13.03295610000032
6,30,moving_boundary,0.9959627389907837,1.0005561113357544,0.0021847819443792105,-9.044081039633056e-09,-1.327759832747688e-06,-6.867428936629949e-08,-5.299261465552263e-05,0.9938510656356812,0.03231469914317131,0.022940365597605705,4850,0.0,0.41504544019699097,6626,0.0009471307857893407,3247,1.0539456525293645e-05,13.093847000000096
7,35,moving_boundary,0.996184766292572,1.0007380247116089,0.002159156370908022,-1.5669941788587494e-08,-1.0058349744213047e-06,-1.0045697251825914e-07,-5.946287274127826e-05,0.9928460121154785,0.034536752849817276,0.022940365597605705,4850,0.0,0.4157128632068634,6626,0.0009834910742938519,3259,1.0540256880631205e-05,13.162707200000114
8,40,moving_boundary,0.996247410774231,1.0008633136749268,0.002066239481791854,-4.395182529037811e-08,-1.1697887885020464e-06,-1.2157114781530254e-07,-6.349437171593308e-05,0.9917713403701782,0.036756496876478195,0.022940363734960556,4850,0.0,0.41571730375289917,6626,0.0010221847333014011,3259,1.0540878975007217e-05,13.225234400000318
9,45,moving_boundary,0.9970254898071289,1.0019346475601196,0.0018369900062680244,-6.88143373395178e-08,-1.0293281320628012e-06,-1.3491762729245238e-07,-6.816742825321853e-05,0.9911463260650635,0.03744379058480263,0.02294039912521839,4851,0.0,0.4163408875465393,6622,0.0010713523952290416,3259,1.0541374649619684e-05,13.287490100000014
10,50,moving_boundary,0.997312605381012,1.0028709173202515,0.00167848018463701,-8.207689461414702e-08,-9.613249858375639e-07,-1.3123795383762626e-07,-7.294379611266777e-05,0.9909238219261169,0.04085967317223549,0.0229403804987669,4851,0.0,0.4162481427192688,6622,0.0011261847103014588,3259,1.0541794836171903e-05,13.345502500000293
