step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,4.637171599999419
1,5,moving_boundary,0.9996386170387268,1.0000003576278687,0.00034357450203970075,1.2191421205898223e-07,1.788201302588277e-07,7.57423235242527e-10,-2.6587374577502487e-06,0.999392569065094,0.008911767974495888,0.022940363734960556,4850,0.0,0.41573983430862427,6632,0.00012645963579416275,3240,1.0533824934100267e-05,120.13760599999932
2,10,moving_boundary,0.9985732436180115,1.0003418922424316,0.0010488167172297835,9.324819671974183e-08,-4.6575598844356136e-07,3.267151882369035e-08,-8.95124685484916e-06,0.9983583092689514,0.01751297153532505,0.022940371185541153,4850,0.0,0.4151180684566498,6630,0.00039278820622712374,3240,1.0534671673667617e-05,120.2308295999992
3,15,moving_boundary,0.9973297119140625,1.0006914138793945,0.0013782958267256618,2.3210169786125334e-07,-8.75355738116923e-07,6.101281968540206e-08,-2.1846863091923296e-05,0.9970163702964783,0.0250339787453413,0.022940389811992645,4850,0.0,0.4155099391937256,6626,0.0006090225651860237,3241,1.0535882211115677e-05,120.32112629999938
4,20,moving_boundary,0.9927759766578674,1.0008467435836792,0.00555805629119277,1.488283942308044e-06,-5.688345368071168e-07,1.2945328364821762e-07,-3.393402585061267e-05,0.9956040382385254,0.03011970967054367,0.022940369322896004,4850,0.0,0.4148819148540497,6628,0.002065993146970868,3241,1.0537199159443844e-05,120.41152079999938
5,25,moving_boundary,0.9902595281600952,1.001493215560913,0.005655164830386639,1.404114073011442e-06,-9.017078923534427e-07,4.688942567554477e-07,-4.5083663280820474e-05,0.9945863485336304,0.031915873289108276,0.02294037491083145,4850,0.0,0.4164685606956482,6622,0.002117234980687499,3241,1.0538413334870711e-05,120.50401169999986
6,30,moving_boundary,0.9895231127738953,1.000556230545044,0.00736203882843256,2.9480377179424977e-06,-2.4069229311862728e-06,8.998050589070772e-07,-5.721228080801666e-05,0.9938808679580688,0.03231354057788849,0.022940367460250854,4850,0.0,0.41502323746681213,6626,0.002125868806615472,3247,1.0539417417021468e-05,120.59898439999961
7,35,moving_boundary,0.9892749786376953,1.0011322498321533,0.006951039656996727,3.2288151032844326e-06,-3.89846604775812e-07,1.67160396813415e-06,-6.546335498569533e-05,0.9928924441337585,0.034526437520980835,0.022940384224057198,4850,0.0,0.4159485995769501,6626,0.0021350160241127014,3259,1.0540207767917309e-05,120.6929382999997
8,40,moving_boundary,0.9873117208480835,1.000738263130188,0.00790997501462698,4.869185886491323e-06,-1.427148049515381e-06,2.434826683384017e-06,-7.038172043394297e-05,0.9918215870857239,0.036738913506269455,0.022940371185541153,4850,0.0,0.41550391912460327,6626,0.002406491432338953,3259,1.0540821676841006e-05,120.7857826999998
9,45,moving_boundary,0.9888187646865845,1.0014185905456543,0.007265488617122173,5.054459052189486e-06,-5.887816314498195e-07,3.4577765291032847e-06,-7.685519813094288e-05,0.9911981225013733,0.037429001182317734,0.022940363734960556,4851,0.0,0.41656219959259033,6622,0.0023395707830786705,3259,1.0541314622969367e-05,120.8795913999993
10,50,moving_boundary,0.9902214407920837,1.0019783973693848,0.007155141327530146,6.605310773011297e-06,-1.9764713670156198e-06,4.337152404332301e-06,-8.252116094809026e-05,0.9909636974334717,0.04083415865898132,0.022940373048186302,4851,0.0,0.41585904359817505,6622,0.0022385402116924524,3259,1.0541731171542779e-05,120.97194189999936
11,55,moving_boundary,0.9917902946472168,1.0017600059509277,0.005796367302536964,6.8387107603484765e-06,-1.4220962611943833e-06,5.435061211755965e-06,-8.908785093808547e-05,0.9911729693412781,0.041884638369083405,0.0229403767734766,4851,0.0,0.41706031560897827,6622,0.0021108537912368774,3259,1.0542114978306927e-05,121.06531889999951
12,60,moving_boundary,0.9926336407661438,1.0076160430908203,0.004491358529776335,6.638209470111178e-06,-4.03365174861392e-06,6.338733328448143e-06,-9.517152648186311e-05,0.9916329979896545,0.042592473328113556,0.0229403767734766,4851,0.0,0.41787371039390564,6626,0.0011829788563773036,3259,1.0542493328102864e-05,121.1599658999994
13,65,moving_boundary,0.9930733442306519,1.0103237628936768,0.004168239887803793,7.099892172846012e-06,-1.3831819387633004e-06,7.026679213595344e-06,-0.00010287835903000087,0.9923219680786133,0.04262065514922142,0.022940387949347496,4851,0.0,0.4206787347793579,6626,0.0011341276112943888,3259,1.0542864401941188e-05,121.25261449999925
14,70,moving_boundary,0.9935334920883179,1.0107389688491821,0.004084702115505934,6.176485840114765e-06,-3.713779278768925e-06,7.344044206547551e-06,-0.00011675946007017046,0.993171751499176,0.041944656521081924,0.022940371185541153,4851,0.0,0.41971004009246826,6614,0.001052510691806674,3247,1.0543228199821897e-05,121.3464570999995
15,75,moving_boundary,0.9936822056770325,1.0101057291030884,0.003848141524940729,6.1302780522964895e-06,-2.275252427352825e-06,7.262494818860432e-06,-0.00013000643230043352,0.9941350817680359,0.041095662862062454,0.0229403767734766,4851,0.0,0.4208908677101135,6614,0.0010298901470378041,3247,1.0543571079324465e-05,121.43743689999974
16,80,moving_boundary,0.9941478967666626,1.0091480016708374,0.003892146982252598,5.149050593900029e-06,-5.15134934175876e-06,6.926108653715346e-06,-0.00014128272596281022,0.9951472878456116,0.04041345790028572,0.022940369322896004,4851,0.0,0.4198482632637024,6616,0.0010736483382061124,3247,1.0543877579038963e-05,121.52931109999918
17,85,moving_boundary,0.9942416548728943,1.007497787475586,0.0035505257546901703,4.965317657479318e-06,-4.230224931234261e-06,6.405160092981532e-06,-0.00015227006224449724,0.9949350357055664,0.03997889161109924,0.022940363734960556,4851,0.0,0.41953203082084656,6616,0.0011153239756822586,3247,1.054412769008195e-05,121.62096309999924
18,90,moving_boundary,0.9946029782295227,1.007784128189087,0.003653210122138262,4.065374469064409e-06,-6.036311788193416e-06,5.871317171113333e-06,-0.00016393078840337694,0.9943119883537292,0.0402299128472805,0.022940384224057198,4851,0.0,0.4192180037498474,6616,0.0010928033152595162,3247,1.0544316864979919e-05,121.71280339999976
19,95,moving_boundary,0.9947062730789185,1.0070459842681885,0.003283418482169509,3.242453658458544e-06,-4.0382919905823655e-06,5.24159986525774e-06,-0.00017582366126589477,0.9938669204711914,0.043026309460401535,0.022940365597605705,4851,0.0,0.4199788570404053,6616,0.0013397878501564264,3247,1.0544444194238167e-05,121.80404980000003
20,100,moving_boundary,0.9950027465820312,1.0072060823440552,0.003329698694869876,2.6731963771453593e-06,-3.5215155094192596e-06,4.489300863497192e-06,-0.00018747242575045675,0.9936351776123047,0.04581838846206665,0.022940384224057198,4851,0.0,0.41741955280303955,6616,0.0012539987219497561,3247,1.0544518772803713e-05,121.89728949999972
21,105,moving_boundary,0.9950907826423645,1.0069527626037598,0.0033828183077275753,1.743679604260251e-06,-1.1265522061876254e-06,3.6459350667428225e-06,-0.00019951906870119274,0.9936038255691528,0.04777328670024872,0.02294035442173481,4851,0.0,0.41918277740478516,6616,0.0011486109578981996,3247,1.0544549695623573e-05,121.99011119999977
22,110,moving_boundary,0.9952964186668396,1.0065416097640991,0.003101845970377326,1.1173684697496356e-06,-1.5092708736119675e-06,2.719875283219153e-06,-0.00021124888735357672,0.993729293346405,0.04799257963895798,0.022940384224057198,4851,0.0,0.4173552095890045,6616,0.0011547890026122332,3247,1.054454787663417e-05,122.08295699999962
23,115,moving_boundary,0.9954214096069336,1.0060362815856934,0.0031407312490046024,2.6955956400342984e-07,-3.455269848018361e-07,1.8320095023227623e-06,-0.00022326631005853415,0.993739664554596,0.04639206826686859,0.02294035628437996,4851,0.0,0.41816338896751404,6626,0.0011232300894334912,3247,1.0544521501287818e-05,122.17850099999941
24,120,moving_boundary,0.9955723881721497,1.0058649778366089,0.00282808649353683,-3.199360776307003e-07,-1.447994691261556e-06,9.601056945029995e-07,-0.0002349317364860326,0.9934367537498474,0.04617283120751381,0.022940367460250854,4851,0.0,0.41705039143562317,6626,0.0010714088566601276,3247,1.0544475117058028e-05,122.27341829999932
