step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,4.2619268999997075
1,5,moving_boundary,0.9994577169418335,1.0000003576278687,0.0005154501413926482,1.8289345860011963e-07,2.682800470665825e-07,1.1361716012459055e-09,-1.8722073491517222e-06,0.9993926882743835,0.008911420591175556,0.022940386086702347,4850,0.0,0.41573983430862427,6632,0.0001896894391393289,3240,1.0533827662584372e-05,117.15406559999974
2,10,moving_boundary,0.9982783198356628,1.0003418922424316,0.0010604794370010495,1.414477850403273e-07,-4.91888442866184e-07,4.742086900932918e-08,-7.945280231069773e-06,0.9983537197113037,0.017512859776616096,0.022940373048186302,4850,0.0,0.4151868522167206,6630,0.0004545349511317909,3240,1.0534676221141126e-05,117.22931439999957
3,15,moving_boundary,0.9970180988311768,1.0006914138793945,0.0016007540980353951,3.58321187832189e-07,-8.530284958396805e-07,9.3662940514605e-08,-1.9946501197409816e-05,0.9970082640647888,0.025033604353666306,0.0229403767734766,4850,0.0,0.4155071973800659,6626,0.0006712680915370584,3241,1.0535893125052098e-05,117.30662870000015
4,20,moving_boundary,0.9905929565429688,1.0008467435836792,0.007526434492319822,2.2376443666871637e-06,-3.1861935667620855e-07,2.0215757956520974e-07,-3.103331255260855e-05,0.9955941438674927,0.03011929616332054,0.02294037491083145,4850,0.0,0.41487815976142883,6628,0.0027873332146555185,3241,1.0537215530348476e-05,117.72537800000009
5,25,moving_boundary,0.9869936108589172,1.002420425415039,0.007685700431466103,2.103613041981589e-06,-8.947991432251001e-07,7.231326435430674e-07,-4.156352224526927e-05,0.9945733547210693,0.03191622346639633,0.02294037491083145,4850,0.0,0.4171532392501831,6622,0.0028319989796727896,3241,1.0538436981732957e-05,117.80296809999982
6,30,moving_boundary,0.9855321645736694,1.0005561113357544,0.010035351850092411,4.436485596670536e-06,-2.9190925943112234e-06,1.38457710363582e-06,-5.2717972721438855e-05,0.9938522577285767,0.032314106822013855,0.022940361872315407,4850,0.0,0.4150201082229614,6626,0.0028605316765606403,3247,1.0539455615798943e-05,117.88043689999995
7,35,moving_boundary,0.9857027530670166,1.0017503499984741,0.00954438652843237,4.852135589317186e-06,-4.3729787790880437e-08,2.555269020376727e-06,-6.026369737810455e-05,0.9928479790687561,0.03453666344285011,0.022940361872315407,4850,0.0,0.41621798276901245,6626,0.0028703201096504927,3259,1.0540251423662994e-05,117.95947799999976
8,40,moving_boundary,0.9828528761863708,1.0007376670837402,0.01099871564656496,7.335635473282309e-06,-1.5353599565059994e-06,3.7132469969947124e-06,-6.391628994606435e-05,0.991773784160614,0.03675645589828491,0.022940365597605705,4850,0.0,0.41548866033554077,6626,0.003289096523076296,3259,1.0540873518039007e-05,118.37571409999964
9,45,moving_boundary,0.9841536283493042,1.0013408660888672,0.010036129504442215,7.612833996972768e-06,-3.3132917565126263e-07,5.248786237643799e-06,-6.972685514483601e-05,0.991148829460144,0.037443608045578,0.022940386086702347,4851,0.0,0.41693350672721863,6622,0.0032201753929257393,3259,1.0541370102146175e-05,118.45122699999956
