step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.7053873000004387
1,5,moving_boundary,1.0000003576278687,1.0000003576278687,0.0,0.0,0.0,0.0,-3.1865113214735175e-06,0.9993927478790283,0.008875262923538685,0.022940395399928093,4850,0.0,0.41573983430862427,6632,0.0,3240,1.053382129612146e-05,12.070389700000305
2,10,moving_boundary,0.9991254210472107,1.0003358125686646,0.0010218265233561397,-3.395911107872962e-09,-4.183808641755604e-07,3.1214373308330323e-09,-1.00498355095624e-05,0.9983822107315063,0.01627970114350319,0.022940367460250854,4850,0.0,0.4151104986667633,6630,0.0002656131109688431,3240,1.053463711286895e-05,12.131622400000197
3,15,moving_boundary,0.9979211091995239,1.0006768703460693,0.001241337857209146,-2.132157206347074e-08,-9.182363669424376e-07,-3.907401957548018e-09,-2.2828242435934953e-05,0.9970749020576477,0.023561429232358932,0.02294035814702511,4850,0.0,0.41552647948265076,6626,0.00048272375715896487,3241,1.0535799447097816e-05,12.19195370000034
4,20,moving_boundary,0.99689120054245,1.0008189678192139,0.0017915820935741067,-8.002880136359636e-09,-1.0607766398607055e-06,-1.5090092730929427e-08,-3.49360125255771e-05,0.9956409335136414,0.02912694215774536,0.0229403767734766,4850,0.0,0.4149445593357086,6628,0.0006909715593792498,3241,1.0537074558669701e-05,12.252761500000815
5,25,moving_boundary,0.9962135553359985,1.0008033514022827,0.0018596984446048737,-2.1132449123939523e-09,-9.014371471494087e-07,-4.140124332252526e-08,-4.5570250222226605e-05,0.9945871829986572,0.031556688249111176,0.0229403804987669,4850,0.0,0.4154083728790283,6622,0.0008418911602348089,3241,1.0538251444813795e-05,12.31321460000072
6,30,moving_boundary,0.9960341453552246,1.0005700588226318,0.002146028680726886,-1.8839600102182885e-08,-1.335339788965939e-06,-7.064711837756477e-08,-5.80428859393578e-05,0.9938269853591919,0.032157622277736664,0.022940341383218765,4850,0.0,0.4150475561618805,6626,0.000931834802031517,3247,1.0539240975049324e-05,12.37219129999994
7,35,moving_boundary,0.9962307810783386,1.000725269317627,0.0020998679101467133,-2.5167587125451973e-08,-1.012896973406896e-06,-1.0468829003684732e-07,-6.595945887966082e-05,0.9929400682449341,0.03375004231929779,0.022940365597605705,4850,0.0,0.4157108664512634,6626,0.000982887577265501,3259,1.0540036782913376e-05,12.437798100000691
8,40,moving_boundary,0.9962520003318787,1.0008492469787598,0.0020482297986745834,-5.327623497919376e-08,-1.2247699032741366e-06,-1.276817300777111e-07,-7.364263001363724e-05,0.9918768405914307,0.03611915186047554,0.0229403767734766,4850,0.0,0.4157143235206604,6626,0.0010260296985507011,3259,1.0540670700720511e-05,12.498549100000673
9,45,moving_boundary,0.9970845580101013,1.0018776655197144,0.001816605101339519,-6.985387557278955e-08,-9.121866355599195e-07,-1.4334756315292907e-07,-7.929018465802073e-05,0.9912237524986267,0.03703700006008148,0.02294035442173481,4851,0.0,0.41633903980255127,6626,0.0010700408602133393,3259,1.0541186384216417e-05,12.558819600000788
