step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.7306343999998717
1,5,moving_boundary,1.0000003576278687,1.0000003576278687,0.0,0.0,0.0,0.0,-1.9625349523266777e-06,0.9993926882743835,0.008911021053791046,0.022940387949347496,4850,0.0,0.41573983430862427,6632,0.0,3240,1.0533828572079074e-05,12.214297299999998
2,10,moving_boundary,0.9991057515144348,1.0003418922424316,0.0010291942162439227,-2.4081441285517258e-09,-4.0760477304502274e-07,3.169878803888082e-09,-7.943891432660166e-06,0.9983537197113037,0.01751251518726349,0.022940367460250854,4850,0.0,0.41511067748069763,6630,0.0002729805710259825,3240,1.0534677130635828e-05,12.265549900000224
3,15,moving_boundary,0.9978623390197754,1.0006914138793945,0.0012755478965118527,-1.8487078534690227e-08,-9.145990702563722e-07,-4.142977072518761e-09,-1.9980461729574017e-05,0.9970083236694336,0.02503320574760437,0.02294039912521839,4850,0.0,0.4155226945877075,6626,0.0005236692377366126,3241,1.0535893125052098e-05,12.317715400000452
4,20,moving_boundary,0.9968140125274658,1.0008468627929688,0.0018205879023298621,-1.446716857422814e-09,-1.0459472150614602e-06,-1.5375054118749176e-08,-3.18829006573651e-05,0.9955942034721375,0.030119679868221283,0.0229403804987669,4850,0.0,0.41492950916290283,6628,0.0007329984218813479,3241,1.0537215530348476e-05,12.371130000000448
5,25,moving_boundary,0.9961340427398682,1.000823974609375,0.0019106529653072357,6.7223036026575755e-09,-8.852045993990032e-07,-4.098697914400873e-08,-4.138494477956556e-05,0.9945735335350037,0.031916696578264236,0.02294037491083145,4850,0.0,0.41539883613586426,6622,0.0008742877980694175,3241,1.0538440619711764e-05,12.426940100000138
6,30,moving_boundary,0.9959627389907837,1.0005559921264648,0.0021847388707101345,-9.031878356324796e-09,-1.3278008736961056e-06,-6.868273771942768e-08,-5.299113763612695e-05,0.9938512444496155,0.03231428563594818,0.0229403767734766,4850,0.0,0.41504544019699097,6626,0.0009471281082369387,3247,1.0539458344283048e-05,12.479145199999948
7,35,moving_boundary,0.9961847066879272,1.0007379055023193,0.002159201307222247,-1.5695405863880296e-08,-1.0060171007353347e-06,-1.0043416409644124e-07,-5.945986049482599e-05,0.9928460717201233,0.03453674912452698,0.0229403767734766,4850,0.0,0.415712833404541,6626,0.0009834854863584042,3259,1.0540256880631205e-05,12.547301800000241
8,40,moving_boundary,0.9962474703788757,1.0008634328842163,0.0020662369206547737,-4.395387520617078e-08,-1.169933057099115e-06,-1.215862681647195e-07,-6.349921750370413e-05,0.9917715191841125,0.03675641492009163,0.022940343245863914,4850,0.0,0.41571736335754395,6626,0.0010221840348094702,3259,1.0540878975007217e-05,12.599528800000371
9,45,moving_boundary,0.9970254898071289,1.0019346475601196,0.0018370406469330192,-6.886827463858936e-08,-1.0295813126504072e-06,-1.3488694605712226e-07,-6.816840323153883e-05,0.9911465048789978,0.037443310022354126,0.02294035255908966,4851,0.0,0.41634082794189453,6622,0.0010713536757975817,3259,1.054137283063028e-05,12.649858900000254
