step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,4.693224900000132
1,5,moving_boundary,0.9996220469474792,1.000422477722168,0.0008563636802136898,1.5033164046940328e-08,-1.331104499513458e-06,0.0,9.178569598589092e-05,0.9992196559906006,0.008241833187639713,0.022940387949347496,9837,0.0,0.41573983430862427,27540,0.00017026005662046373,4092,1.0543646567384712e-05,117.74824009999975
2,10,moving_boundary,0.9986364245414734,1.0016471147537231,0.001257938682101667,1.5945144582474313e-07,3.6197905046719825e-06,1.7511164074335284e-08,0.00018171686679124832,0.9982761144638062,0.013218235224485397,0.022940384224057198,9837,0.0,0.4153025448322296,27528,0.0004174119676463306,4092,1.0543823009356856e-05,118.06362350000018
3,15,moving_boundary,0.9977878332138062,1.0031189918518066,0.0014574442757293582,2.083815360265362e-07,2.366670287301531e-06,3.5112019958205565e-08,0.00027693650918081403,0.9977933168411255,0.013780813664197922,0.02294038236141205,9837,0.0,0.41590413451194763,27514,0.0005826536216773093,4092,1.0543880307523068e-05,118.21995699999934
4,20,moving_boundary,0.9930065870285034,1.0081262588500977,0.009229930117726326,5.425088147603674e-07,-7.6158462434250396e-06,7.549238745241382e-08,0.00037190603325143456,0.9973490238189697,0.014031856320798397,0.0229403767734766,9837,0.0,0.4150489270687103,27508,0.002007845789194107,4092,1.0543801181484014e-05,118.3788241000002
5,25,moving_boundary,0.9904147386550903,1.0126042366027832,0.005717031192034483,7.978328540048096e-07,1.6619994767097523e-06,2.9869525519643503e-07,0.000461799674667418,0.9968982338905334,0.01683722250163555,0.022940387949347496,9837,0.0,0.41674497723579407,27494,0.00210423837415874,4092,1.0543633834458888e-05,118.53658360000009
6,30,moving_boundary,0.989129900932312,1.018054723739624,0.009852568618953228,1.2321617077759583e-06,-9.217855222232174e-06,5.645384817398735e-07,0.0005664735217578709,0.9964830875396729,0.018302418291568756,0.022940369322896004,9837,0.0,0.41461727023124695,27464,0.002239219145849347,4092,1.0543457392486744e-05,118.69352980000076
7,35,moving_boundary,0.9877147078514099,1.0229264497756958,0.005266147665679455,1.5739136642878293e-06,-1.1094954288637382e-06,1.0291255421179812e-06,0.0006607930990867317,0.9962952733039856,0.020145894959568977,0.022940345108509064,9837,0.0,0.41614019870758057,27454,0.002319111954420805,4092,1.054335825756425e-05,118.84998000000087
8,40,moving_boundary,0.9868477582931519,1.0280081033706665,0.01211574301123619,1.9833425994875142e-06,-1.316253201366635e-05,1.4466834272752749e-06,0.0007646902813576162,0.9961264133453369,0.022587500512599945,0.022940373048186302,9837,0.0,0.41459164023399353,27420,0.002705295104533434,4092,1.0543290045461617e-05,119.00436310000077
9,45,moving_boundary,0.986228346824646,1.032543420791626,0.006592661142349243,2.4665953333169455e-06,-2.9238117349450476e-07,1.989884594877367e-06,0.0008569794590584934,0.9960067868232727,0.02541692741215229,0.022940365597605705,9837,0.0,0.41656941175460815,27410,0.0026123742572963238,4092,1.0543299140408635e-05,119.1596769000007
10,50,moving_boundary,0.9858618974685669,1.0369150638580322,0.011871302500367165,2.91268884211604e-06,-1.0944753739750013e-05,2.3972349936229875e-06,0.0009569906978867948,0.9959900379180908,0.02798752672970295,0.022940371185541153,9837,0.0,0.41479620337486267,27410,0.0025407399516552687,4092,1.0543387361394707e-05,119.31572810000034
11,55,moving_boundary,0.9838725328445435,1.0409393310546875,0.007230131886899471,3.4949989640153944e-06,2.0336710804258473e-06,2.92898653242446e-06,0.0010486399987712502,0.9959914684295654,0.02999114990234375,0.02294035069644451,9837,0.0,0.41663774847984314,27410,0.0025004094932228327,4092,1.0543500138737727e-05,119.47022359999937
12,60,moving_boundary,0.9846460819244385,1.0392513275146484,0.008088485337793827,3.802946821451769e-06,1.144117777585052e-05,3.3456763048889115e-06,0.001142966910265386,0.9963155388832092,0.03129105269908905,0.022940361872315407,9837,0.0,0.41751760244369507,27400,0.000889129878487438,4092,1.0543591088207904e-05,119.62861290000001
13,65,moving_boundary,0.9860026240348816,1.0390499830245972,0.007015135604888201,4.0862919377104845e-06,9.138927453022916e-06,3.6873641420243075e-06,0.001240273704752326,0.9967179894447327,0.032350800931453705,0.02294040657579899,9837,0.0,0.41698694229125977,27400,0.0009013608796522021,4092,1.054365566233173e-05,119.78845419999925
14,70,moving_boundary,0.987773597240448,1.039556622505188,0.009028028696775436,4.205803634249605e-06,1.9296428945381194e-05,3.866786755679641e-06,0.0013352922396734357,0.9970343708992004,0.03338241949677467,0.022940386086702347,9837,0.0,0.41868215799331665,27394,0.0009060970041900873,4092,1.054371205100324e-05,119.95640850000018
15,75,moving_boundary,0.9892501831054688,1.039333462715149,0.007770364638417959,4.3534269025258254e-06,1.6873955246410333e-05,3.910305167664774e-06,0.0014334269799292088,0.9973149299621582,0.03446882963180542,0.022940386086702347,9837,0.0,0.41810426115989685,27394,0.0009373833891004324,4092,1.0543774806137662e-05,120.14513839999927
16,80,moving_boundary,0.9895643591880798,1.0382097959518433,0.009027018211781979,4.4767466533812694e-06,2.4674807718838565e-05,3.878705228999024e-06,0.001529085449874401,0.9974220991134644,0.03573329374194145,0.022940393537282944,9837,0.0,0.4185065031051636,27392,0.000968307547736913,4092,1.0543858479650225e-05,120.33096819999992
17,85,moving_boundary,0.9880317449569702,1.0370570421218872,0.007882390171289444,4.554937277134741e-06,2.080136619042605e-05,3.830361038126284e-06,0.0016267347382381558,0.9971961379051208,0.03571455180644989,0.022940348833799362,9837,0.0,0.4178508520126343,27378,0.001011335989460349,4092,1.0543965800025035e-05,120.52188500000011
18,90,moving_boundary,0.9878995418548584,1.0349860191345215,0.009171318262815475,4.6211980588850565e-06,2.611065428936854e-05,3.827343334705802e-06,0.0017218384891748428,0.9970121383666992,0.03705678880214691,0.022940371185541153,9837,0.0,0.4183482229709625,27378,0.001077320077456534,4092,1.0544089491304476e-05,120.71225009999944
