step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2.002648899999258
1,5,moving_boundary,0.9996220469474792,1.000422477722168,0.0008563636802136898,1.5033164046940328e-08,-1.331104499513458e-06,0.0,9.14392585400492e-05,0.9992197155952454,0.008241809904575348,0.022940371185541153,9837,0.0,0.41573983430862427,27540,0.00017026005662046373,4092,1.0543646567384712e-05,12.472431700000016
2,10,moving_boundary,0.9986364245414734,1.0016471147537231,0.0012579642934724689,1.5916950246719352e-07,3.6141441341897007e-06,1.7511164074335284e-08,0.00018112565157935023,0.9982761740684509,0.013218710198998451,0.02294038236141205,9837,0.0,0.4153025150299072,27528,0.00041740687447600067,4092,1.0543823009356856e-05,12.758913599998777
3,15,moving_boundary,0.9977878332138062,1.0031189918518066,0.0014574698871001601,2.0789474319826695e-07,2.362532541155815e-06,3.5095077066671365e-08,0.0002760636853054166,0.9977933764457703,0.013781340792775154,0.022940360009670258,9837,0.0,0.4159042239189148,27514,0.0005826560663990676,4092,1.0543879398028366e-05,12.904005299998971
4,20,moving_boundary,0.9930067658424377,1.0081263780593872,0.00923018530011177,5.412599648479954e-07,-7.629637366335373e-06,7.538726976008547e-08,0.0003707312571350485,0.997348964214325,0.014032089151442051,0.02294037863612175,9837,0.0,0.4150487780570984,27508,0.0020078341476619244,4092,1.0543801181484014e-05,13.47523899999942
5,25,moving_boundary,0.9904147982597351,1.0126043558120728,0.005717052612453699,7.960036896292877e-07,1.6469974752908456e-06,2.984081390877691e-07,0.0004604365676641464,0.9968981742858887,0.01683800294995308,0.022940386086702347,9837,0.0,0.4167449474334717,27494,0.0021042570006102324,4092,1.0543633834458888e-05,13.618375299998661
6,30,moving_boundary,0.989129900932312,1.0180548429489136,0.009852929972112179,1.2295605529288878e-06,-9.23577681533061e-06,5.639786877509323e-07,0.0005648648366332054,0.9964831471443176,0.018302835524082184,0.022940373048186302,9837,0.0,0.4146171808242798,27464,0.0022392570972442627,4092,1.0543457392486744e-05,13.763026499998887
7,35,moving_boundary,0.9877146482467651,1.0229264497756958,0.005266318563371897,1.570586277921393e-06,-1.1299848665657919e-06,1.0281888762619928e-06,0.0006589738186448812,0.9962955713272095,0.02014591358602047,0.02294035069644451,9837,0.0,0.41614001989364624,27454,0.002319173188880086,4092,1.054335825756425e-05,13.908881299999848
8,40,moving_boundary,0.9868475198745728,1.0280081033706665,0.012116076424717903,1.979334456336801e-06,-1.3182694601709954e-05,1.4453742096520728e-06,0.0007626718725077808,0.9961272478103638,0.02258862927556038,0.022940361872315407,9837,0.0,0.41459161043167114,27420,0.0027053672820329666,4092,1.0543289135966916e-05,14.478505600000062
9,45,moving_boundary,0.986228346824646,1.0325433015823364,0.006592841353267431,2.4619255327706924e-06,-3.1593233984494873e-07,1.988089252336067e-06,0.0008547822362743318,0.9960074424743652,0.02541785128414631,0.022940367460250854,9837,0.0,0.41656962037086487,27410,0.002612441312521696,4092,1.0543299140408635e-05,14.65817799999968
10,50,moving_boundary,0.9858623743057251,1.0369147062301636,0.011871559545397758,2.9076950340822805e-06,-1.0967270100081805e-05,2.3951465664140414e-06,0.0009546154178678989,0.9959897994995117,0.02798873372375965,0.022940371185541153,9837,0.0,0.4147959053516388,27410,0.0025408281944692135,4092,1.0543387361394707e-05,14.841452099999515
11,55,moving_boundary,0.9838736057281494,1.0409387350082397,0.007230281829833984,3.489259370326181e-06,2.0046968529641163e-06,2.926381966972258e-06,0.0010460845660418272,0.9959912896156311,0.029990842565894127,0.02294035069644451,9837,0.0,0.41663798689842224,27410,0.0025004742201417685,4092,1.0543499229243025e-05,15.02407569999923
12,60,moving_boundary,0.9846476316452026,1.0392506122589111,0.00808837078511715,3.797088311330299e-06,1.1414183973101899e-05,3.3429198538215132e-06,0.0011402484960854053,0.9963156580924988,0.03129027038812637,0.022940360009670258,9837,0.0,0.4175175130367279,27400,0.000889152055606246,4092,1.0543591997702606e-05,15.61748230000012
13,65,moving_boundary,0.9860044717788696,1.0390493869781494,0.007015181705355644,4.0798636291583534e-06,9.103995580517221e-06,3.684263447212288e-06,0.0012373965000733733,0.9967179298400879,0.03235219791531563,0.022940414026379585,9837,0.0,0.4169868528842926,27400,0.0009013692033477128,4092,1.0543657481321134e-05,15.803963899999872
