case,reaction_transfer_mode,step_index,driver_lbm_step,requested_phase,selected_phase,report_pass,finite_pass,cap_pass,applied_cell_count,max_applied_velocity_norm,mean_applied_velocity_norm,after_solid_vel_norm_max,wall_velocity_cap_lbm,lbm_population_update_count,apply_to_lbm_solid_vel,apply_to_lbm_populations,modify_bounceback_formula
step41_64_experimental_moving_boundary_scale_0050,engineering,0,0,0.0,0.0,True,True,True,5056,0.0005145623670476263,0.00032150166765009463,0.0005145623670476263,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,1,1,0.025,0.0,True,True,True,5056,0.0005145623670476263,0.00032150166765009463,0.0014092089614370466,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,2,2,0.05,0.0,True,True,True,5056,0.0005145623670476263,0.0003215016676500946,0.0019328984318129488,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,3,3,0.075,0.1,True,True,True,5056,0.0060115944833123115,0.003756080458643531,0.006130813081624637,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,4,4,0.1,0.1,True,True,True,5056,0.0060115944833123115,0.003756080458643531,0.006455365640691611,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,5,5,0.125,0.1,True,True,True,5056,0.0060115944833123115,0.003756080458643531,0.006921614016723876,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,6,6,0.15,0.1,True,True,True,5056,0.0060115944833123115,0.003756080458643531,0.0071042558165905515,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,7,7,0.175,0.2,True,True,True,5056,0.00721642344030184,0.004508864851190062,0.008166111891990431,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,8,8,0.2,0.2,True,True,True,5056,0.007216423440301839,0.004508864851190062,0.007854543739856345,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,9,9,0.225,0.2,True,True,True,5056,0.007216423440301839,0.004508864851190062,0.007641378749179546,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,10,10,0.25,0.2,True,True,True,5056,0.007216423440301839,0.004508864851190062,0.007508110416540954,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,11,11,0.275,0.35,True,True,True,5056,0.0001818451306129827,0.00011361793339369467,0.0038388283666309204,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,12,12,0.3,0.35,True,True,True,5056,0.0001818451306129827,0.00011361793339369467,0.004005154888695432,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,13,13,0.325,0.35,True,True,True,5056,0.0001818451306129827,0.00011361793339369467,0.004141081739286991,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,14,14,0.35,0.35,True,True,True,5056,0.0001818451306129827,0.00011361793339369467,0.00427300302622235,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,15,15,0.375,0.35,True,True,True,5056,0.0001818451306129827,0.00011361793339369467,0.004412143449827881,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,16,16,0.4,0.35,True,True,True,5056,0.0001818451306129827,0.00011361793339369467,0.004573999206141458,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,17,17,0.425,0.35,True,True,True,5056,0.00018184513061298265,0.00011361793339369467,0.0047659293990338645,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,18,18,0.45,0.5,True,True,True,5056,0.002819544938666452,0.0017616686680697693,0.005063571532602736,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,19,19,0.475,0.5,True,True,True,5056,0.002819544938666452,0.0017616686680697693,0.0053467588526914045,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,20,20,0.5,0.5,True,True,True,5056,0.002819544938666452,0.0017616686680697693,0.005553209686261945,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,21,21,0.525,0.5,True,True,True,5056,0.002819544938666452,0.0017616686680697693,0.005674615281154051,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,22,22,0.55,0.5,True,True,True,5056,0.002819544938666452,0.0017616686680697693,0.005788065206509293,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,23,23,0.575,0.5,True,True,True,5056,0.002819544938666452,0.0017616686680697693,0.005896333188273262,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,24,24,0.6,0.5,True,True,True,5056,0.002819544938666452,0.0017616686680697693,0.005946117864479822,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,25,25,0.625,0.5,True,True,True,5056,0.002819544938666452,0.0017616686680697693,0.005946050413833831,0.01,0,True,False,False
