step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,4.617242100001022
1,5,moving_boundary,1.0000003576278687,1.0000003576278687,0.0,0.0,0.0,0.0,9.103218326345086e-05,0.9992199540138245,0.008243745192885399,0.02294037863612175,9837,0.0,0.41573983430862427,27540,0.0,4092,1.0543646567384712e-05,117.1778301000013
2,10,moving_boundary,0.9990713596343994,1.0010944604873657,0.0012557802256196737,1.288358220108421e-07,4.067595909873489e-06,0.0,0.0001812775881262496,0.9982760548591614,0.013222381472587585,0.022940386086702347,9837,0.0,0.41523078083992004,27528,0.0003108098462689668,4092,1.0543822099862155e-05,117.38536840000052
3,15,moving_boundary,0.9982588887214661,1.0022392272949219,0.0013656053924933076,1.5300663847028773e-07,4.173002253082814e-06,-1.9517776284061483e-09,0.00027615882572717965,0.9977931976318359,0.013784334063529968,0.022940361872315407,9837,0.0,0.4159573018550873,27514,0.0005185867194086313,4092,1.054388121701777e-05,117.50349500000084
4,20,moving_boundary,0.9975229501724243,1.0035908222198486,0.0017942668637260795,3.2039389452620526e-07,8.255031389126088e-06,-1.1752117057284295e-09,0.00036702441866509616,0.9973505735397339,0.01405788492411375,0.022940389811992645,9837,0.0,0.41516581177711487,27508,0.0005703616188839078,4092,1.0543801181484014e-05,117.62482540000019
5,25,moving_boundary,0.9970527291297913,1.0045607089996338,0.0014326004311442375,3.6564856031873205e-07,7.949602149892598e-06,4.134324882443252e-09,0.00046011628000997007,0.9968955516815186,0.016854774206876755,0.022940384224057198,9837,0.0,0.41566094756126404,27494,0.0005713372956961393,4092,1.0543631105974782e-05,117.74435369999992
6,30,moving_boundary,0.9970415830612183,1.0052869319915771,0.001689376076683402,5.537052629733807e-07,1.1912396075786091e-05,2.094743045688574e-08,0.000560589658562094,0.996478796005249,0.017651813104748726,0.02294037491083145,9837,0.0,0.4152061343193054,27464,0.0006572037236765027,4092,1.0543451935518533e-05,117.86342250000052
7,35,moving_boundary,0.9971057772636414,1.0054571628570557,0.0014860318042337894,6.261591352085816e-07,1.1708953024935909e-05,4.9763372089728364e-08,0.0006579251494258642,0.9962913393974304,0.019670605659484863,0.022940345108509064,9837,0.0,0.4156893193721771,27454,0.0006961080362088978,4092,1.0543351891101338e-05,117.98265190000166
8,40,moving_boundary,0.9975671768188477,1.00571608543396,0.001564417383633554,8.114588467833528e-07,1.5347612134064548e-05,9.536798017961701e-08,0.0007574434857815504,0.9961116313934326,0.021960174664855003,0.022940371185541153,9837,0.0,0.4154398441314697,27420,0.000655650976113975,4092,1.0543281860009301e-05,118.10094970000137
9,45,moving_boundary,0.9971086978912354,1.0061531066894531,0.0016936359461396933,9.209455811287626e-07,1.5889290807535872e-05,1.5014163068372e-07,0.0008540687849745154,0.9959851503372192,0.024741560220718384,0.022940369322896004,9837,0.0,0.41590315103530884,27410,0.0007154348422773182,4092,1.0543292773945723e-05,118.21776860000136
10,50,moving_boundary,0.9968741536140442,1.0063427686691284,0.001457737642340362,1.1385634479665896e-06,1.952503589564003e-05,2.161915375609169e-07,0.0009503629989922047,0.9959493279457092,0.02738174982368946,0.022940345108509064,9837,0.0,0.41576695442199707,27410,0.0007922551012597978,4092,1.0543380085437093e-05,118.33557770000152
11,55,moving_boundary,0.9971197843551636,1.0062075853347778,0.0016361874295398593,1.3009366739424877e-06,2.042570304183755e-05,2.9201174811532837e-07,0.0010465041268616915,0.9959453344345093,0.02943560481071472,0.022940371185541153,9837,0.0,0.4163930416107178,27410,0.0008453215123154223,4092,1.0543487405811902e-05,118.45318260000022
12,60,moving_boundary,0.9966413378715515,1.0056204795837402,0.0016762568848207593,1.5620666999893729e-06,2.3949987735250033e-05,3.8933941937102645e-07,0.001142537803389132,0.9962683320045471,0.030698411166667938,0.02294035069644451,9837,0.0,0.4162873327732086,27388,0.0008850907324813306,4092,1.0543577445787378e-05,118.57267680000041
