sample_index,phase,region_id,displacement_model,point_count,displacement_norm_min,displacement_norm_max,displacement_norm_mean,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,mantle_radius_scale,mantle_radius_rate,volume_scale,volume_rate,aperture_scale,aperture_rate,diagnostic_only,apply_to_driver,apply_to_lbm,apply_to_mpm,apply_to_projection,update_dynamic_solid,driver_integration_enabled,finite_pass,bounds_pass,scope_note
0,0.0,mantle_outer,radial_scale_proxy,648,0.0,0.0,0.0,0.359375,0.359375,0.390625,0.640625,0.796875,0.609375,1.0,-0.04482507288630089,1.0,-0.11953352769679348,0.35,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
0,0.0,mantle_cavity_proxy,volume_scale_proxy,100,0.0,0.0,0.0,0.421875,0.515625,0.453125,0.578125,0.703125,0.546875,1.0,-0.04482507288630089,1.0,-0.11953352769679348,0.35,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
0,0.0,funnel_outlet_proxy,aperture_scale_proxy,8,0.0,0.0,0.0,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,1.0,-0.04482507288630089,1.0,-0.11953352769679348,0.35,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
1,0.0125,mantle_outer,radial_scale_proxy,648,1.5825652712383113e-05,9.70746281246401e-05,7.34300945873739e-05,0.35945287545328897,0.35946521770635803,0.39069766293623076,0.640547124546711,0.7967862841047608,0.6093023370637692,0.9994396865889212,-0.08746355685131135,0.9985058309037901,-0.2332361516034993,0.35,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
1,0.0125,mantle_cavity_proxy,volume_scale_proxy,100,1.2122348397328455e-05,5.29439862803629e-05,3.454488910495756e-05,0.42191393004934885,0.5156666458095914,0.4531483580296093,0.5780860699506511,0.7030732136911542,0.5468516419703907,0.9994396865889212,-0.08746355685131135,0.9985058309037901,-0.2332361516034993,0.35,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
1,0.0125,funnel_outlet_proxy,aperture_scale_proxy,8,0.0,0.0,0.0,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.9994396865889212,-0.08746355685131135,0.9985058309037901,-0.2332361516034993,0.35,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
2,0.025,mantle_outer,radial_scale_proxy,648,6.175864473124528e-05,0.00037882781707173014,0.0002865564666824074,0.35967890420795684,0.3597270690979824,0.3909085626779736,0.6403210957920431,0.7965287916283351,0.6090914373220264,0.9978134110787172,-0.16946064139942507,0.9941690962099126,-0.45189504373178835,0.35,-3.552713678800501e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
2,0.025,mantle_cavity_proxy,volume_scale_proxy,100,4.7375356252445885e-05,0.00020691042108718556,0.00013500489957946372,0.42202714254667295,0.5157877560107288,0.45321628552800375,0.577972857453327,0.7029226138987138,0.5467837144719963,0.9978134110787172,-0.16946064139942507,0.9941690962099126,-0.45189504373178835,0.35,-3.552713678800501e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
2,0.025,funnel_outlet_proxy,aperture_scale_proxy,8,0.0,0.0,0.0,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.9978134110787172,-0.16946064139942507,0.9941690962099126,-0.45189504373178835,0.35,-3.552713678800501e-15,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
3,0.037500000000000006,mantle_outer,radial_scale_proxy,648,0.000135483026879173,0.0008310535237011304,0.0006286332487845483,0.3600416898562053,0.360147351583699,0.39124706562480455,0.6399583101437947,0.7961155053846602,0.6087529343751955,0.9952031705539358,-0.24489795918367463,0.9872084548104956,-0.6530612244897966,0.35,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
3,0.037500000000000006,mantle_cavity_proxy,volume_scale_proxy,100,0.00010417287200900711,0.0004549718359560059,0.00029685999720063827,0.4222095436804154,0.5159828814475612,0.45332572620824924,0.5777904563195846,0.7026799766145643,0.5466742737917508,0.9952031705539358,-0.24489795918367463,0.9872084548104956,-0.6530612244897966,0.35,0.0,True,False,False,False,False,False,False,True,True,Step 42 geometry displacement diagnostics only; no driver-coupled geometry update
