phase,region_id,original_hash,displaced_summary_hash,original_hash_stable,displacement_norm_max,bbox_delta_norm,midcycle,displacement_nonzero,close_to_rest,comparison_pass
0.0,mantle_outer,1c08c6a2724efa6e6b00e2cb29720df2c4b0049f6ebb59dc57a57a9ccbbc440b,d403b705b02c75aa5fc8ee9284bcf1328aa462ffee78664a7b4bc16685a7018e,True,0.0,0.0,False,False,True,True
0.0,mantle_cavity_proxy,9378eda9febf64868f3c6b05a64aebe33fe58d8c3a9c6e4875478c1985493f15,5a135d2ae8a69836ae8fc2dfdeeb427e5b650c53692b24a33bc2789bf8d7e586,True,0.0,0.0,False,False,True,True
0.0,funnel_outlet_proxy,1a67bb0859bd670ef1dc980b6bc4d75f8a816f41d8f4fb23df7b8d1d2f2a2284,3c51c41872395e603f6415ef113dba8c804d7aec84de2c69d725b7c5b1c42485,True,0.0,0.0,False,False,True,True
0.2,mantle_outer,1c08c6a2724efa6e6b00e2cb29720df2c4b0049f6ebb59dc57a57a9ccbbc440b,1a17b890454ad339415720eecfa4182e7d3ded0b724f76c643f01df7987e97ed,True,0.015759237190184246,0.04516337991688898,True,True,False,True
0.2,mantle_cavity_proxy,9378eda9febf64868f3c6b05a64aebe33fe58d8c3a9c6e4875478c1985493f15,2678facfcba39d6c1d3f40c579a388d80b1617f2e0aeaf754106dbab530b276c,True,0.009397392965990759,0.023125158400421748,True,True,False,True
0.2,funnel_outlet_proxy,1a67bb0859bd670ef1dc980b6bc4d75f8a816f41d8f4fb23df7b8d1d2f2a2284,98d004d6d84fbe345d176892c5d6fdb6026c642164ec91d1edb4130e4a893157,True,0.02209708691207961,0.04419417382415922,True,True,False,True
0.35,mantle_outer,1c08c6a2724efa6e6b00e2cb29720df2c4b0049f6ebb59dc57a57a9ccbbc440b,4acf9c619e74775a0fa8534359ea93a1adae7db939ded0564450435c4217606f,True,0.025987588251121133,0.07447615053602374,True,True,False,True
0.35,mantle_cavity_proxy,9378eda9febf64868f3c6b05a64aebe33fe58d8c3a9c6e4875478c1985493f15,50b5e0d4226f96e2ef473d941cf23da500a8c8cb4b652682f3d4f16612be5674,True,0.01663500255359828,0.04093550950093999,True,True,False,True
0.35,funnel_outlet_proxy,1a67bb0859bd670ef1dc980b6bc4d75f8a816f41d8f4fb23df7b8d1d2f2a2284,90e8714da8c46c36b966e11a76d556d827c39647a82f13d6140c55cee8b57c5c,True,0.02209708691207961,0.04419417382415922,True,True,False,True
0.5,mantle_outer,1c08c6a2724efa6e6b00e2cb29720df2c4b0049f6ebb59dc57a57a9ccbbc440b,14ff99ee6b9ceb7c43fc49617fcaaab5a39f1ce0b7dbe410523cbb0982dce878,True,0.02247447322582165,0.06440814110989766,True,True,False,True
0.5,mantle_cavity_proxy,9378eda9febf64868f3c6b05a64aebe33fe58d8c3a9c6e4875478c1985493f15,2b329d9fdcc902b1c7024b65a278e2df87a8a08d78f7c6488ad34d7232a84a92,True,0.014019986090380014,0.034500462020166954,True,True,False,True
0.5,funnel_outlet_proxy,1a67bb0859bd670ef1dc980b6bc4d75f8a816f41d8f4fb23df7b8d1d2f2a2284,ded40fd3219ed95a080ecc1bc20734de5a9ec1b0c7f886eb95c1e960c0ddc02b,True,0.0,0.0,True,False,True,True
1.0,mantle_outer,1c08c6a2724efa6e6b00e2cb29720df2c4b0049f6ebb59dc57a57a9ccbbc440b,18a9c0c9205529fa8cd3470a684dbbfcce4b80e8c0eff77fd75e7ad7e63926cb,True,0.0,0.0,False,False,True,True
1.0,mantle_cavity_proxy,9378eda9febf64868f3c6b05a64aebe33fe58d8c3a9c6e4875478c1985493f15,1ed424ea18857869d8b825f795072196de14d8c3e3d4388bbfb7a2dcd5a5ad90,True,0.0,0.0,False,False,True,True
1.0,funnel_outlet_proxy,1a67bb0859bd670ef1dc980b6bc4d75f8a816f41d8f4fb23df7b8d1d2f2a2284,f832f9c242d8e3f72c825a98dca2cced3da5c32cb15c27dfc62ccd3f43c0b4ec,True,0.0,0.0,False,False,True,True
