grid_size,phase,projected_mass_delta,active_cell_delta,bbox_delta,occupancy_changed,is_rest_phase,close_to_original,projection_delta_nonzero,comparison_pass
32,0.0,0.0,0.0,0.0,False,True,True,False,True
48,0.0,0.0,0.0,0.0,False,True,True,False,True
32,0.2,0.0,6.0,0.0,True,False,False,True,True
48,0.2,0.0,0.0,1.7320508075688772,True,False,False,True,True
32,0.35,0.0,205.0,2.449489742783178,True,False,False,True,True
48,0.35,0.0,0.0,2.449489742783178,True,False,False,True,True
32,0.5,0.0,196.0,2.449489742783178,True,False,False,True,True
48,0.5,0.0,4.0,2.449489742783178,True,False,False,True,True
32,1.0,0.0,0.0,0.0,False,True,True,False,True
48,1.0,0.0,0.0,0.0,False,True,True,False,True
