comparison,transfer_mode,left_row,right_row,projected_mass_delta_max_abs,active_cell_delta_max_abs,applied_velocity_delta_max_abs,hydro_force_delta_max_abs,bb_link_count_delta_max_abs,area_scale_delta_max_abs,comparison_pass
engineering_geometry_only_minus_original_static,engineering,engineering_runtime_geometry_only_32_40step,engineering_original_static_32_40step,0.0,205.0,0.0,0.00205,1230.0,0.0,True
engineering_wall_velocity_only_minus_original_static,engineering,engineering_wall_velocity_only_32_40step,engineering_original_static_32_40step,0.0,0.0,0.007042082995889119,4.56326978133615e-06,0.0,0.0,True
engineering_combined_minus_original_static,engineering,engineering_runtime_geometry_plus_wall_velocity_32_40step,engineering_original_static_32_40step,0.0,205.0,0.007042082995889119,0.002050114988871742,1230.0,0.0,True
engineering_combined_minus_geometry_only,engineering,engineering_runtime_geometry_plus_wall_velocity_32_40step,engineering_runtime_geometry_only_32_40step,0.0,0.0,0.007042082995889119,4.56326978133615e-06,0.0,0.0,True
engineering_combined_minus_wall_velocity_only,engineering,engineering_runtime_geometry_plus_wall_velocity_32_40step,engineering_wall_velocity_only_32_40step,0.0,205.0,0.0,0.00205,1230.0,0.0,True
link_area_experimental_geometry_only_minus_original_static,link_area_experimental,link_area_runtime_geometry_only_32_40step,link_area_original_static_32_40step,0.0,205.0,0.0,0.002479359489121731,1230.0,0.2094436532301125,True
link_area_experimental_wall_velocity_only_minus_original_static,link_area_experimental,link_area_wall_velocity_only_32_40step,link_area_original_static_32_40step,0.0,0.0,0.007042082995889119,4.56326978133615e-06,0.0,0.0,True
link_area_experimental_combined_minus_original_static,link_area_experimental,link_area_runtime_geometry_plus_wall_velocity_32_40step,link_area_original_static_32_40step,0.0,205.0,0.007042082995889119,0.002479498561682851,1230.0,0.2094436532301125,True
link_area_experimental_combined_minus_geometry_only,link_area_experimental,link_area_runtime_geometry_plus_wall_velocity_32_40step,link_area_runtime_geometry_only_32_40step,0.0,0.0,0.007042082995889119,5.352457092178478e-06,0.0,0.0,True
link_area_experimental_combined_minus_wall_velocity_only,link_area_experimental,link_area_runtime_geometry_plus_wall_velocity_32_40step,link_area_wall_velocity_only_32_40step,0.0,205.0,0.0,0.0024793835728111092,1230.0,0.2094436532301125,True
