metric,value
active_cell_count_32,648
active_cell_count_48,648
active_cell_count_growth_observed,False
active_cell_count_non_decreasing,True
active_cell_count_ratio_48_vs_32,1.0
all_ratios_finite,True
all_values_finite,True
applied_cell_count_32,648
applied_cell_count_48,2136
applied_cell_count_growth_observed,True
applied_cell_count_ratio_48_vs_32,3.2962962962962963
bb_link_count_32,3888
bb_link_count_48,3888
bb_link_count_ratio_48_vs_32,1.0
force_impulse_interpretation,diagnostic_proxy_only
force_impulse_ratios_finite,True
grid_convergence_claim,False
hydro_force_max_norm_32,0.002050114988871742
hydro_force_max_norm_48,4.58601088618242e-05
hydro_force_ratio_48_vs_32,0.022369530056000814
impulse_proxy_32,0.08200459955486968
impulse_proxy_48,0.001834404354472968
impulse_proxy_ratio_48_vs_32,0.022369530056000814
lbm_max_v_48,0.007021783310068709
matched_phase_count,40
phase_count,40
phase_sequence_ends_at_0975,True
phase_sequence_starts_at_0,True
phasewise_audit_pass,True
physical_validation_claim,False
production_readiness_claim,False
rho_max_48,1.0017121783310068
rho_min_48,0.9982878216689931
