check,path,category,pass,value,notes
canonical_path_exists,src/mpm_lbm/sim/__init__.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/sim/lbm/config.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/sim/lbm/fluid.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/sim/lbm/relaxation_semantics.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/sim/mpm/config.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/sim/mpm/solid.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/sim/coupling/projection.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/sim/coupling/penalty.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/sim/coupling/moving_boundary.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/sim/coupling/link_area.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/sim/drivers/fsi_config.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/sim/drivers/fsi_driver.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/diagnostics/__init__.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/evidence/repository_evidence_index.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/evidence/repository_test_strength_audit.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/evidence/code_layout_audit.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/evidence/import_boundary_audit.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,src/mpm_lbm/evidence/compatibility_shim_audit.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,experiments/steps/step50_one_cycle_proxy/envelope.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,experiments/steps/step51_transfer_comparison_proxy/envelope.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,experiments/steps/step52_48_feasibility_proxy/envelope.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
canonical_path_exists,experiments/steps/step53_support_scaling_audit/audit.py,canonical_required_path,True,True,required Step 55 canonical package path must exist
root_src_file_classified,src/__init__.py,compatibility_export_surface,True,compatibility_export_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/artifact_utils.py,approved_legacy_support_surface,True,approved_legacy_support_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/boundary_motion_config.py,approved_legacy_sim_motion_surface,True,approved_legacy_sim_motion_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/boundary_motion_interface.py,approved_legacy_sim_motion_surface,True,approved_legacy_sim_motion_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/calibration.py,approved_legacy_support_surface,True,approved_legacy_support_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/coupling.py,approved_legacy_sim_coupling_surface,True,approved_legacy_sim_coupling_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/diagnostic_geometry_projection.py,approved_legacy_diagnostics_surface,True,approved_legacy_diagnostics_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/diagnostic_geometry_state_guard.py,approved_legacy_diagnostics_surface,True,approved_legacy_diagnostics_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/diagnostic_geometry_update.py,approved_legacy_diagnostics_surface,True,approved_legacy_diagnostics_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/diagnostic_geometry_update_config.py,approved_legacy_diagnostics_surface,True,approved_legacy_diagnostics_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/diagnostics.py,approved_legacy_diagnostics_surface,True,approved_legacy_diagnostics_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/fsi_config.py,approved_legacy_sim_driver_surface,True,approved_legacy_sim_driver_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/fsi_driver.py,approved_legacy_sim_driver_surface,True,approved_legacy_sim_driver_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_candidate_manifest.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_config.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_displacement_config.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_displacement_consistency.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_displacement_field.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_displacement_grid_diagnostics.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_displacement_quality.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_driver_config.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_fingerprint.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_import.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_intake.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_motion_config.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_motion_interface.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_normalization.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_quality.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/geometry_utils.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/jet_cycle_parameter_sensitivity.py,approved_legacy_diagnostics_surface,True,approved_legacy_diagnostics_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/jet_cycle_proxy_diagnostics.py,approved_legacy_diagnostics_surface,True,approved_legacy_diagnostics_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/lbm_config.py,approved_legacy_sim_lbm_surface,True,approved_legacy_sim_lbm_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/lbm_fluid.py,approved_legacy_sim_lbm_surface,True,approved_legacy_sim_lbm_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/lbm_relaxation_semantics.py,approved_legacy_sim_lbm_surface,True,approved_legacy_sim_lbm_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/link_area_accounting.py,approved_legacy_sim_coupling_surface,True,approved_legacy_sim_coupling_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/link_area_coupling.py,approved_legacy_sim_coupling_surface,True,approved_legacy_sim_coupling_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/mesh_io.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/mesh_quality.py,approved_legacy_sim_geometry_surface,True,approved_legacy_sim_geometry_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/momentum_accounting.py,approved_legacy_sim_coupling_surface,True,approved_legacy_sim_coupling_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/moving_boundary_coupling.py,approved_legacy_sim_coupling_surface,True,approved_legacy_sim_coupling_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/mpm_config.py,approved_legacy_sim_mpm_surface,True,approved_legacy_sim_mpm_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/mpm_solid.py,approved_legacy_sim_mpm_surface,True,approved_legacy_sim_mpm_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/multicycle_proxy_diagnostics.py,approved_legacy_diagnostics_surface,True,approved_legacy_diagnostics_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/performance.py,approved_legacy_support_surface,True,approved_legacy_support_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/projection.py,approved_legacy_sim_coupling_surface,True,approved_legacy_sim_coupling_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/proxy_diagnostic_truthfulness.py,approved_legacy_evidence_surface,True,approved_legacy_evidence_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/real_geometry_feasibility.py,approved_legacy_support_surface,True,approved_legacy_support_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/repository_evidence_index.py,approved_legacy_evidence_surface,True,approved_legacy_evidence_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/repository_evidence_integrity_artifact_manifest.py,approved_legacy_evidence_surface,True,approved_legacy_evidence_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/repository_evidence_integrity_claim_guard.py,approved_legacy_evidence_surface,True,approved_legacy_evidence_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/repository_evidence_integrity_regression_guard.py,approved_legacy_evidence_surface,True,approved_legacy_evidence_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/repository_test_strength_audit.py,approved_legacy_evidence_surface,True,approved_legacy_evidence_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/run_utils.py,approved_legacy_sim_io_surface,True,approved_legacy_sim_io_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/runtime_geometry_projection.py,approved_legacy_diagnostics_surface,True,approved_legacy_diagnostics_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/runtime_geometry_projection_config.py,approved_legacy_diagnostics_surface,True,approved_legacy_diagnostics_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/runtime_geometry_projection_consistency.py,approved_legacy_diagnostics_surface,True,approved_legacy_diagnostics_surface,root src file must be compatibility or approved legacy surface
root_src_file_classified,src/runtime_geometry_projection_quality.py,approved_legacy_diagnostics_surface,True,approved_legacy_diagnostics_surface,root src file must be compatibility or approved legacy surface
