canonical_module,legacy_module,symbol,canonical_import_pass,legacy_import_pass,same_object,pass,error
src.mpm_lbm.sim.drivers.sim_config,src.sim_config,UnifiedSimConfig,True,True,True,True,
src.mpm_lbm.sim.drivers.fsi_config,src.fsi_config,FSIDriverConfig,True,True,True,True,
src.mpm_lbm.sim.io.run_utils,src.run_utils,assert_no_nan_inf_array,True,True,True,True,
src.mpm_lbm.diagnostics.fsi_diagnostics,src.diagnostics,FSIDiagnostics3D,True,True,True,True,
src.mpm_lbm.sim.coupling.link_area_accounting,src.link_area_accounting,LinkAreaMomentumAccounting3D,True,True,True,True,
src.mpm_lbm.sim.coupling.link_area,src.link_area_coupling,LinkAreaMovingBoundaryCoupler3D,True,True,True,True,
src.mpm_lbm.sim.coupling.momentum_accounting,src.momentum_accounting,MomentumAccounting3D,True,True,True,True,
src.mpm_lbm.sim.geometry.config,src.geometry_config,GeometryConfig,True,True,True,True,
src.mpm_lbm.sim.geometry.sampler,src.geometry,GeometrySampler3D,True,True,True,True,
src.mpm_lbm.sim.geometry.importers,src.geometry_import,ImportedGeometrySampler3D,True,True,True,True,
src.mpm_lbm.sim.geometry.quality,src.geometry_quality,GeometryQualityGate,True,True,True,True,
src.mpm_lbm.sim.geometry.quality,src.geometry_quality,analyze_geometry_config,True,True,True,True,
src.mpm_lbm.sim.geometry.mesh_io,src.mesh_io,load_obj,True,True,True,True,
src.mpm_lbm.sim.geometry.voxel_io,src.voxel_io,load_voxel_geometry,True,True,True,True,
