metric,value
canonical_driver_module,src.mpm_lbm.sim.drivers.fsi_driver
driver_run_called_count,1
driver_run_required,True
has_inf_count,0
has_nan_count,0
legacy_driver_module_used_count,0
max_lbm_max_v,0.020408157259225845
max_mpm_max_speed,1.563986897468567
max_rho_max,1.0200003385543823
min_completed_lbm_steps,1
min_diagnostics_row_count,2
min_mpm_min_J,0.9999732971191406
min_rho_min,0.980000376701355
min_total_mpm_substeps,1
missing_required_rows,[]
optional_row_count,0
physics_feature_expansion,False
probe_32_matrix_pass,True
required_row_count,1
required_rows_present,"[""canonical_driver_moving_boundary_engineering_32_1step""]"
required_stable_count,1
row_count,1
run_optional_32_3step_probe,False
run_optional_penalty_32_probe,False
runtime_code_changed,False
runtime_warning_count,0
slowest_elapsed_seconds,216.48096530001203
slowest_row_name,canonical_driver_moving_boundary_engineering_32_1step
solver_behavior_changed,False
stable_count,1
total_elapsed_seconds,216.48096530001203
