actual_owner,classification,expected_owner,pass,path,path_exists
src/mpm_lbm/sim,motion,src/mpm_lbm/sim,True,src/mpm_lbm/sim/motion/boundary_motion_config.py,True
src/mpm_lbm/sim,motion,src/mpm_lbm/sim,True,src/mpm_lbm/sim/motion/geometry_motion_config.py,True
src/mpm_lbm/sim,motion,src/mpm_lbm/sim,True,src/mpm_lbm/sim/motion/boundary_motion_interface.py,True
src/mpm_lbm/sim,motion,src/mpm_lbm/sim,True,src/mpm_lbm/sim/motion/geometry_motion_interface.py,True
src/mpm_lbm/sim,wall_velocity,src/mpm_lbm/sim,True,src/mpm_lbm/sim/wall_velocity/application.py,True
src/mpm_lbm/sim,wall_velocity,src/mpm_lbm/sim,True,src/mpm_lbm/sim/wall_velocity/application_config.py,True
src/mpm_lbm/sim,wall_velocity,src/mpm_lbm/sim,True,src/mpm_lbm/sim/wall_velocity/config.py,True
src/mpm_lbm/sim,wall_velocity,src/mpm_lbm/sim,True,src/mpm_lbm/sim/wall_velocity/field.py,True
src/mpm_lbm/sim,runtime_geometry,src/mpm_lbm/sim,True,src/mpm_lbm/sim/runtime_geometry/projection.py,True
src/mpm_lbm/sim,runtime_geometry,src/mpm_lbm/sim,True,src/mpm_lbm/sim/runtime_geometry/projection_config.py,True
src/mpm_lbm/sim,runtime_geometry,src/mpm_lbm/sim,True,src/mpm_lbm/sim/runtime_geometry/projection_quality.py,True
src/mpm_lbm/sim,runtime_geometry,src/mpm_lbm/sim,True,src/mpm_lbm/sim/runtime_geometry/projection_consistency.py,True
src/mpm_lbm/sim,runtime_geometry,src/mpm_lbm/sim,True,src/mpm_lbm/sim/runtime_geometry/state_guard.py,True
src/mpm_lbm/diagnostics,diagnostics,src/mpm_lbm/diagnostics,True,src/mpm_lbm/diagnostics/geometry_update_config.py,True
src/mpm_lbm/diagnostics,diagnostics,src/mpm_lbm/diagnostics,True,src/mpm_lbm/diagnostics/geometry_update.py,True
src/mpm_lbm/diagnostics,diagnostics,src/mpm_lbm/diagnostics,True,src/mpm_lbm/diagnostics/geometry_projection.py,True
src/mpm_lbm/diagnostics,diagnostics,src/mpm_lbm/diagnostics,True,src/mpm_lbm/diagnostics/geometry_state_guard.py,True
src/mpm_lbm/sim,geometry_displacement,src/mpm_lbm/sim,True,src/mpm_lbm/sim/geometry_displacement/config.py,True
src/mpm_lbm/sim,geometry_displacement,src/mpm_lbm/sim,True,src/mpm_lbm/sim/geometry_displacement/field.py,True
src/mpm_lbm/sim,geometry_displacement,src/mpm_lbm/sim,True,src/mpm_lbm/sim/geometry_displacement/quality.py,True
src/mpm_lbm/sim,geometry_displacement,src/mpm_lbm/sim,True,src/mpm_lbm/sim/geometry_displacement/consistency.py,True
src/mpm_lbm/diagnostics,geometry_displacement,src/mpm_lbm/diagnostics,True,src/mpm_lbm/diagnostics/geometry_displacement_grid.py,True
src/mpm_lbm/sim,squid_proxy,src/mpm_lbm/sim,True,src/mpm_lbm/sim/squid_proxy/region_config.py,True
src/mpm_lbm/sim,squid_proxy,src/mpm_lbm/sim,True,src/mpm_lbm/sim/squid_proxy/regions.py,True
src/mpm_lbm/sim,squid_proxy,src/mpm_lbm/sim,True,src/mpm_lbm/sim/squid_proxy/kinematics_config.py,True
src/mpm_lbm/sim,squid_proxy,src/mpm_lbm/sim,True,src/mpm_lbm/sim/squid_proxy/kinematics_schedule.py,True
src/mpm_lbm/sim,squid_proxy,src/mpm_lbm/sim,True,src/mpm_lbm/sim/squid_proxy/kinematics_quality.py,True
src/mpm_lbm/sim,squid_proxy,src/mpm_lbm/sim,True,src/mpm_lbm/sim/squid_proxy/region_mapping.py,True
src/mpm_lbm/sim,squid_proxy,src/mpm_lbm/sim,True,src/mpm_lbm/sim/squid_proxy/motion_mapping.py,True
src/mpm_lbm/sim,squid_proxy,src/mpm_lbm/sim,True,src/mpm_lbm/sim/squid_proxy/motion_mapping_config.py,True
src/mpm_lbm/sim,squid_proxy,src/mpm_lbm/sim,True,src/mpm_lbm/sim/squid_proxy/motion_quality.py,True
src/mpm_lbm/diagnostics,squid_proxy,src/mpm_lbm/diagnostics,True,src/mpm_lbm/diagnostics/squid_motion_projection.py,True
src/mpm_lbm/sim/geometry,real_geometry_support,src/mpm_lbm/sim/geometry,True,src/mpm_lbm/sim/geometry/candidate_manifest.py,True
src/mpm_lbm/sim/geometry,real_geometry_support,src/mpm_lbm/sim/geometry,True,src/mpm_lbm/sim/geometry/fingerprint.py,True
src/mpm_lbm/sim/geometry,real_geometry_support,src/mpm_lbm/sim/geometry,True,src/mpm_lbm/sim/geometry/normalization.py,True
src/mpm_lbm/sim/geometry,real_geometry_support,src/mpm_lbm/sim/geometry,True,src/mpm_lbm/sim/geometry/intake.py,True
not_present,real_geometry_feasibility,not_src_mpm_lbm_sim,True,src/mpm_lbm/sim/geometry/real_geometry_feasibility.py,False
0 files under sim,evidence_audit_code,src/mpm_lbm/evidence,True,src/mpm_lbm/sim/**/*audit.py,False
