error,has_utf8_bom,pass,path,utf8_decodable
,False,True,baseline_tests/check_taichi_backend.py,True
,False,True,baseline_tests/run_lbm_poiseuille_baseline.py,True
,False,True,baseline_tests/run_lbm_refactored_body_force.py,True
,False,True,baseline_tests/run_lbm_refactored_dynamic_solid_dummy.py,True
,False,True,baseline_tests/run_lbm_refactored_poiseuille.py,True
,False,True,baseline_tests/run_lbm_refactored_smoke.py,True
,False,True,baseline_tests/run_lbm_smoke_baseline.py,True
,False,True,baseline_tests/run_mpm3d_baseline.py,True
,False,True,baseline_tests/run_mpm_elastic_block.py,True
,False,True,baseline_tests/run_mpm_falling_block.py,True
,False,True,baseline_tests/run_mpm_rest_block.py,True
,False,True,baseline_tests/run_step10_driver_mode_matrix.py,True
,False,True,baseline_tests/run_step10_driver_moving_boundary_mode.py,True
,False,True,baseline_tests/run_step10_driver_penalty_mode.py,True
,False,True,baseline_tests/run_step10_performance_profile.py,True
,False,True,baseline_tests/run_step12_artifact_manifest.py,True
,False,True,baseline_tests/run_step12_driver_profile_matrix.py,True
,False,True,baseline_tests/run_step12_memory_estimate.py,True
,False,True,baseline_tests/run_step12_no_physics_regression.py,True
,False,True,baseline_tests/run_step13_artifact_manifest.py,True
,False,True,baseline_tests/run_step13_driver_squid_proxy_modes.py,True
,False,True,baseline_tests/run_step13_geometry_sampler_box.py,True
,False,True,baseline_tests/run_step13_geometry_sampler_ellipsoid.py,True
,False,True,baseline_tests/run_step13_squid_proxy_geometry.py,True
,False,True,baseline_tests/run_step14_artifact_manifest.py,True
,False,True,baseline_tests/run_step14_feasibility_64.py,True
,False,True,baseline_tests/run_step14_scale_box_48.py,True
,False,True,baseline_tests/run_step14_scale_squid_proxy_48.py,True
,False,True,baseline_tests/run_step14_scaling_summary.py,True
,False,True,baseline_tests/run_step15_artifact_manifest.py,True
,False,True,baseline_tests/run_step15_calibrated_vs_original_comparison.py,True
,False,True,baseline_tests/run_step15_force_cap_sweep_box_48.py,True
,False,True,baseline_tests/run_step15_momentum_accounting_sanity.py,True
,False,True,baseline_tests/run_step15_reaction_scale_sweep_box_32.py,True
,False,True,baseline_tests/run_step15_squid_proxy_calibrated_window.py,True
,False,True,baseline_tests/run_step16_64_mode_comparison.py,True
,False,True,baseline_tests/run_step16_artifact_manifest.py,True
,False,True,baseline_tests/run_step16_feasibility_64_moving_boundary.py,True
,False,True,baseline_tests/run_step16_long_box_48_moving_boundary.py,True
,False,True,baseline_tests/run_step16_long_run_summary.py,True
,False,True,baseline_tests/run_step16_long_squid_proxy_48_moving_boundary.py,True
,False,True,baseline_tests/run_step17_artifact_manifest.py,True
,False,True,baseline_tests/run_step17_box_48_link_budget.py,True
,False,True,baseline_tests/run_step17_box_64_link_budget.py,True
,False,True,baseline_tests/run_step17_directional_link_sanity.py,True
,False,True,baseline_tests/run_step17_link_area_wall_couette.py,True
,False,True,baseline_tests/run_step17_squid_proxy_48_link_budget.py,True
,False,True,baseline_tests/run_step17_step16_regression.py,True
,False,True,baseline_tests/run_step18_artifact_manifest.py,True
,False,True,baseline_tests/run_step18_compare_engineering_vs_link_area.py,True
,False,True,baseline_tests/run_step18_link_area_policy_sweep_box_32.py,True
,False,True,baseline_tests/run_step18_link_area_transfer_box_48.py,True
,False,True,baseline_tests/run_step18_link_area_transfer_sanity.py,True
,False,True,baseline_tests/run_step18_link_area_transfer_squid_proxy_48.py,True
,False,True,baseline_tests/run_step18_regression_existing_modes.py,True
,False,True,baseline_tests/run_step19_artifact_manifest.py,True
,False,True,baseline_tests/run_step19_compare_48_long_engineering_vs_link_area.py,True
,False,True,baseline_tests/run_step19_compare_64_engineering_vs_link_area.py,True
,False,True,baseline_tests/run_step19_feasibility_64_link_area.py,True
,False,True,baseline_tests/run_step19_long_box_48_link_area.py,True
