classification,current_owner,is_root_shim,is_temporary_bridge,migration_required,notes,pass,path,recommended_step,simulation_required_for_migration,target_owner
approved_legacy_support,root_src,False,False,False,Classified for roadmap tracking.,True,src/__init__.py,Step69+,False,approved_legacy_support
approved_legacy_support,root_src,False,False,False,Classified for roadmap tracking.,True,src/artifact_utils.py,Step69+,False,approved_legacy_support
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/boundary_motion_config.py,done,False,canonical_package
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/boundary_motion_interface.py,done,False,canonical_package
approved_legacy_support,root_src,False,False,False,Classified for roadmap tracking.,True,src/calibration.py,Step69+,False,approved_legacy_support
approved_legacy_support,root_src,True,False,False,Classified for roadmap tracking.,True,src/coupling.py,Step69+,False,approved_legacy_support
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/diagnostic_geometry_projection.py,done,False,canonical_package
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/diagnostic_geometry_state_guard.py,done,False,canonical_package
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/diagnostic_geometry_update.py,done,False,canonical_package
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/diagnostic_geometry_update_config.py,done,False,canonical_package
approved_legacy_support,root_src,True,False,False,Classified for roadmap tracking.,True,src/diagnostics.py,Step69+,False,approved_legacy_support
approved_legacy_support,root_src,True,False,False,Classified for roadmap tracking.,True,src/fsi_config.py,Step69+,False,approved_legacy_support
approved_legacy_support,root_src,True,False,False,Classified for roadmap tracking.,True,src/fsi_driver.py,Step69+,False,approved_legacy_support
approved_legacy_support,root_src,True,False,False,Classified for roadmap tracking.,True,src/geometry.py,Step69+,False,approved_legacy_support
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/geometry_candidate_manifest.py,done,False,canonical_package
approved_legacy_support,root_src,True,False,False,Classified for roadmap tracking.,True,src/geometry_config.py,Step69+,False,approved_legacy_support
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/geometry_displacement_config.py,done,False,canonical_package
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/geometry_displacement_consistency.py,done,False,canonical_package
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/geometry_displacement_field.py,done,False,canonical_package
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/geometry_displacement_grid_diagnostics.py,done,False,canonical_package
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/geometry_displacement_quality.py,done,False,canonical_package
approved_legacy_support,root_src,False,False,False,Classified for roadmap tracking.,True,src/geometry_driver_config.py,Step69+,False,approved_legacy_support
root_compatibility_shim,root_src,True,False,False,Batch A migrated this file and left a root compatibility shim.,True,src/geometry_fingerprint.py,done,False,canonical_package
approved_legacy_support,root_src,True,False,False,Classified for roadmap tracking.,True,src/geometry_import.py,Step69+,False,approved_legacy_support
