forbidden_driver_call_count,forbidden_driver_calls,forbidden_runtime_flag_count,forbidden_runtime_flags,pass,path,readable_utf8
0,[],0,[],True,baseline_tests/run_step63_67_artifact_manifest.py,True
0,[],0,[],True,baseline_tests/run_step63_67_step62_regression_guard.py,True
0,[],0,[],True,baseline_tests/run_step63_code_placement_freeze_audit.py,True
0,[],0,[],True,baseline_tests/run_step63_encoding_policy_audit.py,True
0,[],0,[],True,baseline_tests/run_step63_regression_snapshot_consistency_audit.py,True
0,[],0,[],True,baseline_tests/run_step63_remaining_solver_inventory_audit.py,True
0,[],0,[],True,baseline_tests/run_step63_simulation_freeze_audit.py,True
0,[],0,[],True,baseline_tests/run_step63_solver_completion_roadmap_audit.py,True
0,[],0,[],True,baseline_tests/run_step64_behavior_preservation_audit.py,True
0,[],0,[],True,baseline_tests/run_step64_bridge_retirement_audit.py,True
0,[],0,[],True,baseline_tests/run_step64_import_execution_audit.py,True
0,[],0,[],True,baseline_tests/run_step64_legacy_shim_audit.py,True
0,[],0,[],True,baseline_tests/run_step64_motion_wall_velocity_migration_audit.py,True
0,[],0,[],True,baseline_tests/run_step65_behavior_preservation_audit.py,True
0,[],0,[],True,baseline_tests/run_step65_import_execution_audit.py,True
0,[],0,[],True,baseline_tests/run_step65_legacy_shim_audit.py,True
0,[],0,[],True,baseline_tests/run_step65_runtime_geometry_migration_audit.py,True
0,[],0,[],True,baseline_tests/run_step66_behavior_preservation_audit.py,True
0,[],0,[],True,baseline_tests/run_step66_diagnostic_geometry_displacement_migration_audit.py,True
0,[],0,[],True,baseline_tests/run_step66_import_execution_audit.py,True
0,[],0,[],True,baseline_tests/run_step66_legacy_shim_audit.py,True
0,[],0,[],True,baseline_tests/run_step67_behavior_preservation_audit.py,True
0,[],0,[],True,baseline_tests/run_step67_import_execution_audit.py,True
0,[],0,[],True,baseline_tests/run_step67_legacy_shim_audit.py,True
0,[],0,[],True,baseline_tests/run_step67_squid_proxy_real_geometry_migration_audit.py,True
0,[],0,[],True,src/mpm_lbm/evidence/batch_behavior_preservation_audit.py,True
0,[],0,[],True,src/mpm_lbm/evidence/batch_import_execution_audit.py,True
0,[],0,[],True,src/mpm_lbm/evidence/batch_legacy_shim_audit.py,True
0,[],0,[],True,src/mpm_lbm/evidence/batch_migration_audit.py,True
0,[],0,[],True,src/mpm_lbm/evidence/code_placement_freeze_audit.py,True
0,[],0,[],True,src/mpm_lbm/evidence/encoding_policy_audit.py,True
0,[],0,[],True,src/mpm_lbm/evidence/regression_snapshot_consistency_audit.py,True
0,[],0,[],True,src/mpm_lbm/evidence/remaining_solver_inventory_audit.py,True
0,[],0,[],True,src/mpm_lbm/evidence/simulation_freeze_audit.py,True
0,[],0,[],True,src/mpm_lbm/evidence/solver_completion_roadmap_audit.py,True
0,[],0,[],True,src/mpm_lbm/evidence/step63_67_regression_guard.py,True
0,[],0,[],True,tests/test_step63_67_step62_regression_contract.py,True
0,[],0,[],True,tests/test_step63_code_placement_freeze_contract.py,True
0,[],0,[],True,tests/test_step63_encoding_policy_contract.py,True
0,[],0,[],True,tests/test_step63_regression_snapshot_consistency_contract.py,True
0,[],0,[],True,tests/test_step63_remaining_solver_inventory_contract.py,True
0,[],0,[],True,tests/test_step63_simulation_freeze_contract.py,True
0,[],0,[],True,tests/test_step63_solver_completion_roadmap_contract.py,True
0,[],0,[],True,tests/test_step64_behavior_preservation_contract.py,True
0,[],0,[],True,tests/test_step64_bridge_retirement_contract.py,True
0,[],0,[],True,tests/test_step64_import_execution_contract.py,True
0,[],0,[],True,tests/test_step64_legacy_shim_contract.py,True
0,[],0,[],True,tests/test_step64_motion_wall_velocity_migration_contract.py,True
0,[],0,[],True,tests/test_step65_behavior_preservation_contract.py,True
0,[],0,[],True,tests/test_step65_import_execution_contract.py,True
0,[],0,[],True,tests/test_step65_legacy_shim_contract.py,True
0,[],0,[],True,tests/test_step65_runtime_geometry_migration_contract.py,True
0,[],0,[],True,tests/test_step66_behavior_preservation_contract.py,True
0,[],0,[],True,tests/test_step66_diagnostic_geometry_displacement_migration_contract.py,True
0,[],0,[],True,tests/test_step66_import_execution_contract.py,True
0,[],0,[],True,tests/test_step66_legacy_shim_contract.py,True
0,[],0,[],True,tests/test_step67_behavior_preservation_contract.py,True
0,[],0,[],True,tests/test_step67_import_execution_contract.py,True
0,[],0,[],True,tests/test_step67_legacy_shim_contract.py,True
0,[],0,[],True,tests/test_step67_squid_proxy_real_geometry_migration_contract.py,True
