path,size_bytes,extension,step68_related
.gitignore,526,,False
environment.yml,167,.yml,False
pytest.ini,39,.ini,False
README.md,45220,.md,False
requirements.txt,70,.txt,False
STEP10_FSI_DRIVER_GOAL.md,30681,.md,False
STEP10_FSI_DRIVER_REPORT.md,8019,.md,False
STEP11_WRITING_MODULE_GOAL.md,25958,.md,False
STEP11_WRITING_MODULE_REPORT.md,4045,.md,False
STEP12_PERFORMANCE_MEMORY_GOAL.md,26485,.md,False
STEP12_PERFORMANCE_MEMORY_REPORT.md,6226,.md,False
STEP13_GEOMETRY_INGESTION_GOAL.md,39201,.md,False
STEP13_GEOMETRY_INGESTION_REPORT.md,10528,.md,False
STEP14_LARGER_GRID_VALIDATION_GOAL.md,36798,.md,False
STEP14_LARGER_GRID_VALIDATION_REPORT.md,10471,.md,False
STEP15_MOVING_BOUNDARY_CALIBRATION_GOAL.md,41124,.md,False
STEP15_MOVING_BOUNDARY_CALIBRATION_REPORT.md,10701,.md,False
STEP16_LONG_RUN_VALIDATION_GOAL.md,33746,.md,False
STEP16_LONG_RUN_VALIDATION_REPORT.md,7154,.md,False
STEP17_LINK_AREA_ACCOUNTING_GOAL.md,20149,.md,False
STEP17_LINK_AREA_ACCOUNTING_REPORT.md,7651,.md,False
STEP18_LINK_AREA_TRANSFER_GOAL.md,33078,.md,False
STEP18_LINK_AREA_TRANSFER_REPORT.md,9735,.md,False
STEP19_LINK_AREA_LONG_RUN_GOAL.md,34366,.md,False
STEP19_LINK_AREA_LONG_RUN_REPORT.md,12974,.md,False
STEP1_BASELINE_REPORT.md,5859,.md,False
STEP1_ENVIRONMENT_AND_BASELINE_GOAL.md,10982,.md,False
STEP20_GEOMETRY_IMPORT_GOAL.md,29565,.md,False
STEP20_GEOMETRY_IMPORT_REPORT.md,10619,.md,False
STEP21_IMPORTED_GEOMETRY_SCALE_GOAL.md,31228,.md,False
STEP21_IMPORTED_GEOMETRY_SCALE_REPORT.md,11050,.md,False
STEP22_GEOMETRY_QUALITY_GOAL.md,24956,.md,False
STEP22_GEOMETRY_QUALITY_REPORT.md,10463,.md,False
STEP23_QUALITY_GATED_GEOMETRY_SCALE_GOAL.md,25100,.md,False
STEP23_QUALITY_GATED_GEOMETRY_SCALE_REPORT.md,12724,.md,False
STEP24_STRICT_QUALITY_GATED_IMPORTED_GEOMETRY_LONG_RUN_GOAL.md,31842,.md,False
STEP24_STRICT_QUALITY_GATED_IMPORTED_GEOMETRY_LONG_RUN_REPORT.md,15750,.md,False
STEP25_CONTROLLED_REAL_GEOMETRY_INTAKE_GOAL.md,28638,.md,False
STEP25_CONTROLLED_REAL_GEOMETRY_INTAKE_REPORT.md,15455,.md,False
STEP26_CONTROLLED_REAL_GEOMETRY_SHORT_FEASIBILITY_GOAL.md,27806,.md,False
STEP26_CONTROLLED_REAL_GEOMETRY_SHORT_FEASIBILITY_REPORT.md,18999,.md,False
STEP27_CONTROLLED_REAL_GEOMETRY_64_SHORT_DRIVER_GOAL.md,25500,.md,False
STEP27_CONTROLLED_REAL_GEOMETRY_64_SHORT_DRIVER_REPORT.md,15985,.md,False
STEP28_CONTROLLED_REAL_GEOMETRY_64_TRANSFER_DIAGNOSTICS_GOAL.md,30452,.md,False
STEP28_CONTROLLED_REAL_GEOMETRY_64_TRANSFER_DIAGNOSTICS_REPORT.md,18269,.md,False
STEP29_CONTROLLED_REAL_GEOMETRY_64_STABILITY_ENVELOPE_GOAL.md,30834,.md,False
STEP29_CONTROLLED_REAL_GEOMETRY_64_STABILITY_ENVELOPE_REPORT.md,20225,.md,False
STEP2_LBM_FLUID_REFACTOR_GOAL.md,18912,.md,False
STEP2_LBM_REFACTOR_REPORT.md,6160,.md,False
STEP30_CONTROLLED_SQUID_PROXY_REGION_GEOMETRY_GOAL.md,22276,.md,False
STEP30_CONTROLLED_SQUID_PROXY_REGION_GEOMETRY_REPORT.md,12218,.md,False
STEP31_CONTROLLED_SQUID_PROXY_REGION_STATIC_DRIVER_GOAL.md,19377,.md,False
STEP31_CONTROLLED_SQUID_PROXY_REGION_STATIC_DRIVER_REPORT.md,14051,.md,False
STEP32_CONTROLLED_SQUID_PROXY_KINEMATICS_SCHEDULE_GOAL.md,22863,.md,False
STEP32_CONTROLLED_SQUID_PROXY_KINEMATICS_SCHEDULE_REPORT.md,13266,.md,False
STEP33_CONTROLLED_SQUID_PROXY_KINEMATICS_MAPPING_GOAL.md,24236,.md,False
STEP33_CONTROLLED_SQUID_PROXY_KINEMATICS_MAPPING_REPORT.md,12798,.md,False
STEP34_CONTROLLED_SQUID_PROXY_BOUNDARY_MOTION_DRIVER_INTERFACE_GOAL.md,9066,.md,False
STEP34_CONTROLLED_SQUID_PROXY_BOUNDARY_MOTION_DRIVER_INTERFACE_REPORT.md,12943,.md,False
STEP35_CONTROLLED_SQUID_PROXY_MOVING_WALL_VELOCITY_FIELD_DIAGNOSTIC_GOAL.md,22747,.md,False
STEP35_CONTROLLED_SQUID_PROXY_MOVING_WALL_VELOCITY_FIELD_DIAGNOSTIC_REPORT.md,13001,.md,False
STEP36_CONTROLLED_MOVING_WALL_BOUNCEBACK_VELOCITY_APPLICATION_SMOKE_GOAL.md,24703,.md,False
STEP36_CONTROLLED_MOVING_WALL_BOUNCEBACK_VELOCITY_APPLICATION_SMOKE_REPORT.md,7415,.md,False
STEP37_CONTROLLED_MOVING_WALL_APPLICATION_SHORT_WINDOW_ENVELOPE_GOAL.md,21940,.md,False
STEP37_CONTROLLED_MOVING_WALL_APPLICATION_SHORT_WINDOW_ENVELOPE_REPORT.md,8935,.md,False
STEP38_CONTROLLED_TETHERED_JET_CYCLE_DIAGNOSTICS_PROTOTYPE_GOAL.md,16975,.md,False
