metric,value
driver_initialize_call_count,0
driver_run_call_count,0
driver_step_once_call_count,0
experiment_boundary_audit_pass,True
experiment_file_count,34
pass_count,19
physics_feature_expansion,False
protected_external_edit_count,0
protected_real_geometry_candidate_edit_count,0
quarantined_driver_helper_count,1
quarantined_driver_helper_executed,False
real_geometry_feasibility_under_sim,False
row_count,19
runtime_code_changed,False
solver_behavior_changed,False
step68_driver_run_output_dir_count,0
step68_particle_npy_count,0
step68_vtr_count,0
