error,experiment_import_pass,experiment_module,legacy_import_pass,legacy_module,pass,same_object,symbol
,True,experiments.steps.real_geometry_feasibility.feasibility,True,src.real_geometry_feasibility,True,True,PROJECTION_FIELDS
,True,experiments.steps.real_geometry_feasibility.feasibility,True,src.real_geometry_feasibility,True,True,SHORT_DRIVER_FIELDS
,True,experiments.steps.real_geometry_feasibility.feasibility,True,src.real_geometry_feasibility,True,True,run_projection_only_scale_case
,True,experiments.steps.real_geometry_feasibility.feasibility,True,src.real_geometry_feasibility,True,True,run_short_driver_case
,True,experiments.steps.real_geometry_feasibility.feasibility,True,src.real_geometry_feasibility,True,True,summarize_short_driver_diagnostics
,True,experiments.steps.real_geometry_feasibility.feasibility,True,src.real_geometry_feasibility,True,True,compare_step25_projection_smoke
,True,experiments.steps.real_geometry_feasibility.feasibility,True,src.real_geometry_feasibility,True,True,assert_short_driver_row
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling,True,src.runtime_geometry_wall_velocity_coupling,True,True,ROW_DESCRIPTOR_PATHS
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling,True,src.runtime_geometry_wall_velocity_coupling,True,True,COUPLING_SMOKE_FIELDS
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling,True,src.runtime_geometry_wall_velocity_coupling,True,True,load_coupling_smoke_inputs
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling,True,src.runtime_geometry_wall_velocity_coupling,True,True,run_coupling_smoke_matrix
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling,True,src.runtime_geometry_wall_velocity_coupling,True,True,smoke_row
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling,True,src.runtime_geometry_wall_velocity_coupling,True,True,summarize_coupling_smoke_matrix
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling,True,src.runtime_geometry_wall_velocity_coupling,True,True,write_coupling_smoke_rows
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling,True,src.runtime_geometry_wall_velocity_coupling,True,True,write_csv_rows
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling,True,src.runtime_geometry_wall_velocity_coupling,True,True,write_json
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling,True,src.runtime_geometry_wall_velocity_coupling,True,True,read_json
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,EXPECTED_COUPLING_SMOKE_ID
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,EXPECTED_PHASE
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,EXPECTED_N_GRID
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,EXPECTED_N_LBM_STEPS
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,EXPECTED_MPM_SUBSTEPS
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,EXPECTED_COUPLING_MODE
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,EXPECTED_REACTION_TRANSFER_MODE
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,MUTATION_FLAG_FIELDS
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,RuntimeGeometryWallVelocityCouplingSmokeConfig
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,validate_coupling_smoke_config
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,summarize_coupling_smoke_config_validation
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,mutation_flags
,True,experiments.steps.runtime_geometry_wall_velocity_shared.coupling_config,True,src.runtime_geometry_wall_velocity_coupling_config,True,True,mutation_flag_enabled_count
,True,experiments.steps.runtime_geometry_wall_velocity_shared.diagnostics,True,src.runtime_geometry_wall_velocity_diagnostics,True,True,summarize_coupling_smoke_quality
,True,experiments.steps.runtime_geometry_wall_velocity_shared.diagnostics,True,src.runtime_geometry_wall_velocity_diagnostics,True,True,compare_smoke_rows
,True,experiments.steps.runtime_geometry_wall_velocity_shared.diagnostics,True,src.runtime_geometry_wall_velocity_diagnostics,True,True,mass_force_bounceback_diagnostics
,True,experiments.steps.runtime_geometry_wall_velocity_shared.diagnostics,True,src.runtime_geometry_wall_velocity_diagnostics,True,True,summary_rows
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope,True,src.runtime_geometry_wall_velocity_envelope,True,True,ROW_DESCRIPTOR_PATHS
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope,True,src.runtime_geometry_wall_velocity_envelope,True,True,ENVELOPE_FIELDS
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope,True,src.runtime_geometry_wall_velocity_envelope,True,True,load_short_step_envelope_inputs
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope,True,src.runtime_geometry_wall_velocity_envelope,True,True,build_step_phase_sequence
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope,True,src.runtime_geometry_wall_velocity_envelope,True,True,run_short_step_envelope_matrix
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope,True,src.runtime_geometry_wall_velocity_envelope,True,True,run_short_step_row
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope,True,src.runtime_geometry_wall_velocity_envelope,True,True,summarize_short_step_envelope_matrix
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope,True,src.runtime_geometry_wall_velocity_envelope,True,True,write_short_step_envelope_rows
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope,True,src.runtime_geometry_wall_velocity_envelope,True,True,write_csv_rows
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope,True,src.runtime_geometry_wall_velocity_envelope,True,True,write_json
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope,True,src.runtime_geometry_wall_velocity_envelope,True,True,read_json
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope_config,True,src.runtime_geometry_wall_velocity_envelope_config,True,True,EXPECTED_ENVELOPE_ID
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope_config,True,src.runtime_geometry_wall_velocity_envelope_config,True,True,EXPECTED_PHASE_SEQUENCE
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope_config,True,src.runtime_geometry_wall_velocity_envelope_config,True,True,EXPECTED_N_GRID
,True,experiments.steps.runtime_geometry_wall_velocity_shared.envelope_config,True,src.runtime_geometry_wall_velocity_envelope_config,True,True,EXPECTED_N_LBM_STEPS
