approved_legacy_source,current_classification,current_migration_required,current_root_step_specific_implementation,current_step_specific_proxy_remaining,is_root_shim,pass,path,public_symbols,source_classification,source_migration_required,step68_step_specific_shim,step69_support_shim,unknown_requires_review
True,approved_legacy_support,False,False,False,False,True,src/__init__.py,[],approved_legacy_support,False,False,False,False
True,approved_legacy_support,False,False,False,False,True,src/artifact_utils.py,"[""LARGE_FILE_THRESHOLD_MB"", ""format_size"", ""scan_artifacts"", ""write_artifact_manifest"", ""summarize_artifacts"", ""write_artifact_summary""]",approved_legacy_support,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/boundary_motion_config.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/boundary_motion_interface.py,[],root_compatibility_shim,False,False,False,False
True,approved_legacy_support,False,False,False,False,True,src/calibration.py,"[""classify_calibration_row"", ""choose_recommended_row"", ""write_calibration_summary""]",approved_legacy_support,False,False,False,False
True,root_compatibility_shim,False,False,False,True,True,src/coupling.py,[],approved_legacy_support,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/diagnostic_geometry_projection.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/diagnostic_geometry_state_guard.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/diagnostic_geometry_update.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/diagnostic_geometry_update_config.py,[],root_compatibility_shim,False,False,False,False
True,root_compatibility_shim,False,False,False,True,True,src/diagnostics.py,[],approved_legacy_support,False,False,False,False
True,root_compatibility_shim,False,False,False,True,True,src/fsi_config.py,[],approved_legacy_support,False,False,False,False
True,root_compatibility_shim,False,False,False,True,True,src/fsi_driver.py,[],approved_legacy_support,False,False,False,False
True,root_compatibility_shim,False,False,False,True,True,src/geometry.py,[],approved_legacy_support,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/geometry_candidate_manifest.py,[],root_compatibility_shim,False,False,False,False
True,root_compatibility_shim,False,False,False,True,True,src/geometry_config.py,[],approved_legacy_support,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/geometry_displacement_config.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/geometry_displacement_consistency.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/geometry_displacement_field.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/geometry_displacement_grid_diagnostics.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/geometry_displacement_quality.py,[],root_compatibility_shim,False,False,False,False
True,approved_legacy_support,False,False,False,False,True,src/geometry_driver_config.py,"[""VALIDATION_SCOPE"", ""ARTIFACT_POLICY"", ""geometry_config_payload_from_candidate_descriptor"", ""write_geometry_config_from_descriptor"", ""driver_config_payload_for_candidate""]",approved_legacy_support,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/geometry_fingerprint.py,[],root_compatibility_shim,False,False,False,False
True,root_compatibility_shim,False,False,False,True,True,src/geometry_import.py,[],approved_legacy_support,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/geometry_intake.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/geometry_motion_config.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/geometry_motion_interface.py,[],root_compatibility_shim,False,False,False,False
