canonical_import_pass,canonical_module,error,legacy_import_pass,legacy_module,pass,same_object,symbol
True,src.mpm_lbm.sim.squid_proxy.region_projection,,True,src.squid_region_projection,True,True,run_squid_region_projection_smoke
True,src.mpm_lbm.sim.squid_proxy.region_projection,,True,src.squid_region_projection,True,True,summarize_projection_rows
True,src.mpm_lbm.sim.squid_proxy.region_projection,,True,src.squid_region_projection,True,True,write_projection_results
True,src.mpm_lbm.sim.squid_proxy.region_quality,,True,src.squid_region_quality,True,True,evaluate_region_quality
True,src.mpm_lbm.sim.squid_proxy.region_quality,,True,src.squid_region_quality,True,True,overlap_matrix_rows
True,src.mpm_lbm.sim.squid_proxy.region_quality,,True,src.squid_region_quality,True,True,summarize_overlap_diagnostics
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,SEMANTIC_OVERLAP_NOTE
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,SCOPE_NOTE
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,ALIGNMENT_FIELDS
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,ENGINEERING_LINK_AREA_FIELDS
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,load_region_driver_context
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,summarize_region_projection_alignment
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,summarize_static_driver_region_context
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,summarize_alignment_rows
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,assert_alignment_summary
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,compare_engineering_vs_link_area_static
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,summarize_engineering_vs_link_area_rows
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,assert_engineering_vs_link_area_summary
True,src.mpm_lbm.diagnostics.squid_region_driver,,True,src.squid_region_driver_diagnostics,True,True,write_region_driver_summary
True,src.mpm_lbm.sim.wall_velocity.application_envelope,,True,src.wall_velocity_application_envelope,True,True,APPLICATION_TIMESERIES_FIELDS
True,src.mpm_lbm.sim.wall_velocity.application_envelope,,True,src.wall_velocity_application_envelope,True,True,collect_wall_velocity_application_reports
True,src.mpm_lbm.sim.wall_velocity.application_envelope,,True,src.wall_velocity_application_envelope,True,True,reports_to_timeseries_rows
True,src.mpm_lbm.sim.wall_velocity.application_envelope,,True,src.wall_velocity_application_envelope,True,True,summarize_application_envelope
True,src.mpm_lbm.sim.wall_velocity.application_envelope,,True,src.wall_velocity_application_envelope,True,True,summarize_driver_stability_envelope
True,src.mpm_lbm.sim.wall_velocity.application_envelope,,True,src.wall_velocity_application_envelope,True,True,compare_static_experimental_envelopes
True,src.mpm_lbm.sim.wall_velocity.application_envelope,,True,src.wall_velocity_application_envelope,True,True,compare_engineering_link_area_envelopes
True,src.mpm_lbm.sim.wall_velocity.application_envelope,,True,src.wall_velocity_application_envelope,True,True,write_envelope_rows
True,src.mpm_lbm.sim.wall_velocity.application_envelope,,True,src.wall_velocity_application_envelope,True,True,write_timeseries
True,src.mpm_lbm.sim.wall_velocity.consistency,,True,src.wall_velocity_consistency,True,True,compare_wall_velocity_to_motion_mapping
True,src.mpm_lbm.sim.wall_velocity.quality,,True,src.wall_velocity_quality,True,True,analyze_wall_velocity_quality
True,src.mpm_lbm.sim.wall_velocity.quality,,True,src.wall_velocity_quality,True,True,quality_summary_rows
