actual_module,canonical_module,classification,error,expected_module,forbidden_target,heavy_import_during_src_import,import_pass,legacy_target_is_shim,pass,same_object,stale_export,symbol
src.mpm_lbm.diagnostics.fsi_diagnostics,,canonical_target_required,,src.mpm_lbm.diagnostics.fsi_diagnostics,False,False,True,False,True,True,False,FSIDiagnostics3D
src.mpm_lbm.sim.drivers.fsi_driver,,canonical_target_required,,src.mpm_lbm.sim.drivers.fsi_driver,False,False,True,False,True,True,False,FSIDriver3D
src.mpm_lbm.sim.drivers.fsi_config,,canonical_target_required,,src.mpm_lbm.sim.drivers.fsi_config,False,False,True,False,True,True,False,FSIDriverConfig
src.mpm_lbm.sim.geometry.config,,canonical_target_required,,src.mpm_lbm.sim.geometry.config,False,False,True,False,True,True,False,GeometryConfig
src.mpm_lbm.sim.geometry.quality,,canonical_target_required,,src.mpm_lbm.sim.geometry.quality,False,False,True,False,True,True,False,GeometryQualityGate
src.mpm_lbm.sim.geometry.sampler,,canonical_target_required,,src.mpm_lbm.sim.geometry.sampler,False,False,True,False,True,True,False,GeometrySampler3D
src.units,src.mpm_lbm.sim.units.mapper,legacy_shim_target_allowed,,src.units,False,False,True,True,True,True,False,GridUnitMapper
src.mpm_lbm.sim.geometry.importers,,canonical_target_required,,src.mpm_lbm.sim.geometry.importers,False,False,True,False,True,True,False,ImportedGeometrySampler3D
src.lbm_config,src.mpm_lbm.sim.lbm.config,legacy_shim_target_allowed,,src.lbm_config,False,False,True,True,True,True,False,LBMConfig
src.lbm_fluid,src.mpm_lbm.sim.lbm.fluid,legacy_shim_target_allowed,,src.lbm_fluid,False,False,True,True,True,True,False,LBMFluid3D
src.mpm_lbm.sim.coupling.link_area_accounting,,canonical_target_required,,src.mpm_lbm.sim.coupling.link_area_accounting,False,False,True,False,True,True,False,LinkAreaMomentumAccounting3D
src.mpm_lbm.sim.coupling.link_area,,canonical_target_required,,src.mpm_lbm.sim.coupling.link_area,False,False,True,False,True,True,False,LinkAreaMovingBoundaryCoupler3D
src.mpm_config,src.mpm_lbm.sim.mpm.config,legacy_shim_target_allowed,,src.mpm_config,False,False,True,True,True,True,False,MPMConfig
src.mpm_solid,src.mpm_lbm.sim.mpm.solid,legacy_shim_target_allowed,,src.mpm_solid,False,False,True,True,True,True,False,MPMSolid3D
src.projection,src.mpm_lbm.sim.coupling.projection,legacy_shim_target_allowed,,src.projection,False,False,True,True,True,True,False,MPMToLBMProjector3D
src.mpm_lbm.sim.coupling.momentum_accounting,,canonical_target_required,,src.mpm_lbm.sim.coupling.momentum_accounting,False,False,True,False,True,True,False,MomentumAccounting3D
src.moving_boundary_coupling,src.mpm_lbm.sim.coupling.moving_boundary,legacy_shim_target_allowed,,src.moving_boundary_coupling,False,False,True,True,True,True,False,MovingBoundaryFSICoupler3D
src.coupling,src.mpm_lbm.sim.coupling.penalty,legacy_shim_target_allowed,,src.coupling,False,False,True,True,True,True,False,PenaltyFSICoupler3D
src.mpm_lbm.sim.squid_proxy.region_config,,canonical_target_required,,src.mpm_lbm.sim.squid_proxy.region_config,False,False,True,False,True,True,False,SquidProxyRegionConfig
src.mpm_lbm.sim.squid_proxy.region_config,,canonical_target_required,,src.mpm_lbm.sim.squid_proxy.region_config,False,False,True,False,True,True,False,SquidRegion
src.mpm_lbm.sim.drivers.sim_config,,canonical_target_required,,src.mpm_lbm.sim.drivers.sim_config,False,False,True,False,True,True,False,UnifiedSimConfig
src.mpm_lbm.sim.geometry.voxel_io,,canonical_target_required,,src.mpm_lbm.sim.geometry.voxel_io,False,False,True,False,True,True,False,VoxelGeometry
src.mpm_lbm.sim.geometry.quality,,canonical_target_required,,src.mpm_lbm.sim.geometry.quality,False,False,True,False,True,True,False,analyze_geometry_config
src.mpm_lbm.sim.geometry.mesh_quality,,canonical_target_required,,src.mpm_lbm.sim.geometry.mesh_quality,False,False,True,False,True,True,False,analyze_mesh
src.mpm_lbm.sim.geometry.voxel_quality,,canonical_target_required,,src.mpm_lbm.sim.geometry.voxel_quality,False,False,True,False,True,True,False,analyze_voxel_occupancy
src.calibration,,approved_legacy_tooling_allowed,,src.calibration,False,False,True,False,True,True,False,choose_recommended_row
src.calibration,,approved_legacy_tooling_allowed,,src.calibration,False,False,True,False,True,True,False,classify_calibration_row
src.mpm_lbm.sim.squid_proxy.region_config,,canonical_target_required,,src.mpm_lbm.sim.squid_proxy.region_config,False,False,True,False,True,True,False,default_squid_proxy_region_config
src.mpm_lbm.sim.geometry.mesh_io,,canonical_target_required,,src.mpm_lbm.sim.geometry.mesh_io,False,False,True,False,True,True,False,load_obj
src.mpm_lbm.sim.geometry.voxel_io,,canonical_target_required,,src.mpm_lbm.sim.geometry.voxel_io,False,False,True,False,True,True,False,load_voxel_geometry
src.mpm_lbm.sim.geometry.mesh_io,,canonical_target_required,,src.mpm_lbm.sim.geometry.mesh_io,False,False,True,False,True,True,False,mesh_bounds
src.mpm_lbm.sim.geometry.mesh_io,,canonical_target_required,,src.mpm_lbm.sim.geometry.mesh_io,False,False,True,False,True,True,False,normalize_vertices
src.mpm_lbm.sim.squid_proxy.regions,,canonical_target_required,,src.mpm_lbm.sim.squid_proxy.regions,False,False,True,False,True,True,False,sample_squid_proxy_regions
src.mpm_lbm.sim.geometry.voxel_io,,canonical_target_required,,src.mpm_lbm.sim.geometry.voxel_io,False,False,True,False,True,True,False,save_voxel_geometry
src.mpm_lbm.sim.squid_proxy.regions,,canonical_target_required,,src.mpm_lbm.sim.squid_proxy.regions,False,False,True,False,True,True,False,summarize_region_masks
src.mpm_lbm.sim.geometry.voxel_io,,canonical_target_required,,src.mpm_lbm.sim.geometry.voxel_io,False,False,True,False,True,True,False,voxel_centers_to_points
src.calibration,,approved_legacy_tooling_allowed,,src.calibration,False,False,True,False,True,True,False,write_calibration_summary
src.mpm_lbm.sim.geometry.mesh_io,,canonical_target_required,,src.mpm_lbm.sim.geometry.mesh_io,False,False,True,False,True,True,False,write_obj
