actual,check,expected,pass,path
False,vtr_default_allowed,False,True,
False,particle_npy_default_allowed,False,True,
False,default_write_vtk_allowed,False,True,
False,default_write_particles_allowed,False,True,
False,protected_external_edit_allowed,False,True,
False,protected_real_geometry_edit_allowed,False,True,
True,report_consistency_required,True,True,
True,artifact_manifest_required,True,True,
False,private_absolute_paths_allowed,False,True,
False,driver_run_outputs_committable,False,True,
