metric,value
changed_schema_classes,"[""FSIDriverConfig""]"
config_schema_delta_audit_pass,True
expected_changed_schema_classes,"[""FSIDriverConfig""]"
fsidriver_write_particles_default_current,False
fsidriver_write_particles_default_previous,True
fsidriver_write_vtk_default_current,False
fsidriver_write_vtk_default_previous,True
missing_expected_changed_schema_count,0
pass_count,14
row_count,14
unchanged_schema_classes_checked,"[""BoundaryMotionInterfaceConfig"", ""GeometryConfig"", ""GeometryDisplacementConfig"", ""GeometryMotionInterfaceConfig"", ""LBMConfig"", ""MPMConfig"", ""RuntimeGeometryProjectionIntegrationConfig"", ""SquidKinematicsScheduleConfig"", ""SquidMotionMappingConfig"", ""SquidProxyRegionConfig"", ""UnifiedSimConfig"", ""WallVelocityApplicationConfig"", ""WallVelocityFieldConfig""]"
unexpected_changed_schema_count,0
