actual,check,expected,pass
preserve_legacy_external_solver_parameter_for_now,tau_convention_decision,preserve_legacy_external_solver_parameter_for_now,True
tau_from_legacy_external_solver_parameter,default_solver_tau_formula,tau_from_legacy_external_solver_parameter,True
0.5333333333333333,legacy_tau_probe,0.5333333333333333,True
0.8,standard_tau_probe,0.8,True
legacy_external_solver_parameter,summary_default_solver_formula,legacy_external_solver_parameter,True
False,summary_standard_lattice_viscosity_is_default,False,True
False,summary_physical_viscosity_validation_claim,False,True
True,policy_future_standard_tau_migration_requires_baseline_rerun,True,True
False,policy_solver_numerical_behavior_changed,False,True
legacy_external_solver_relaxation_parameter,default_tau_convention_constant,legacy_external_solver_relaxation_parameter,True
legacy_external_solver_relaxation_parameter,legacy_tau_convention_constant,legacy_external_solver_relaxation_parameter,True
standard_lattice_kinematic_viscosity,standard_tau_convention_constant,standard_lattice_kinematic_viscosity,True
True,fluid_source_uses_legacy_helper,True,True
False,fluid_source_avoids_hardcoded_legacy_formula,False,True
False,fluid_source_avoids_standard_tau_default,False,True
