actual_kind,canonical_module,check,error,expected_kind,pass,symbol
class,src.mpm_lbm.sim.wall_velocity.config,canonical_symbol_import,,class,True,WallVelocityFieldConfig
function,src.mpm_lbm.sim.wall_velocity.config,canonical_symbol_import,,function,True,validate_wall_velocity_config
function,src.mpm_lbm.sim.wall_velocity.config,canonical_symbol_import,,function,True,assert_valid_wall_velocity_config
constant,src.mpm_lbm.sim.wall_velocity.config,canonical_symbol_import,,constant,True,STEP35_EXECUTION_FLAG_FIELDS
class,src.mpm_lbm.sim.wall_velocity.application_config,canonical_symbol_import,,class,True,WallVelocityApplicationConfig
function,src.mpm_lbm.sim.wall_velocity.application_config,canonical_symbol_import,,function,True,validate_wall_velocity_application_config
function,src.mpm_lbm.sim.wall_velocity.application_config,canonical_symbol_import,,function,True,assert_valid_wall_velocity_application_config
constant,src.mpm_lbm.sim.wall_velocity.application_config,canonical_symbol_import,,constant,True,APPLICATION_FLAG_FIELDS
function,src.mpm_lbm.sim.wall_velocity.field,canonical_symbol_import,,function,True,load_wall_velocity_inputs
function,src.mpm_lbm.sim.wall_velocity.field,canonical_symbol_import,,function,True,interpolate_motion_rows_to_phase
function,src.mpm_lbm.sim.wall_velocity.field,canonical_symbol_import,,function,True,compute_wall_velocity_summary
function,src.mpm_lbm.sim.wall_velocity.field,canonical_symbol_import,,function,True,generate_wall_velocity_field_rows
function,src.mpm_lbm.sim.wall_velocity.field,canonical_symbol_import,,function,True,summarize_wall_velocity_rows
function,src.mpm_lbm.sim.wall_velocity.application,canonical_symbol_import,,function,True,load_wall_velocity_application_config
function,src.mpm_lbm.sim.wall_velocity.application,canonical_symbol_import,,function,True,build_wall_velocity_grid
function,src.mpm_lbm.sim.wall_velocity.application,canonical_symbol_import,,function,True,summarize_wall_velocity_application
function,src.mpm_lbm.sim.wall_velocity.application,canonical_symbol_import,,function,True,build_wall_velocity_application_report
function,src.mpm_lbm.sim.wall_velocity.application,canonical_symbol_import,,function,True,apply_wall_velocity_application_to_lbm
function,src.mpm_lbm.sim.wall_velocity.application_envelope,canonical_symbol_import,,function,True,collect_wall_velocity_application_reports
function,src.mpm_lbm.sim.wall_velocity.application_envelope,canonical_symbol_import,,function,True,summarize_application_envelope
function,src.mpm_lbm.sim.wall_velocity.consistency,canonical_symbol_import,,function,True,compare_wall_velocity_to_motion_mapping
function,src.mpm_lbm.sim.wall_velocity.quality,canonical_symbol_import,,function,True,analyze_wall_velocity_quality
,,output_snapshot_unchanged_after_imports,,,True,
