actual,check,expected,pass,summary_key
True,step73_wall_velocity_readiness,True,True,wall_velocity_readiness_audit_pass
True,step73_wall_velocity_api,True,True,wall_velocity_api_audit_pass
True,step73_wall_velocity_config_schema,True,True,wall_velocity_config_schema_audit_pass
True,step73_wall_velocity_driver_gate,True,True,wall_velocity_driver_gate_audit_pass
True,step73_wall_velocity_application_safety,True,True,wall_velocity_application_safety_audit_pass
True,step73_wall_velocity_output_policy,True,True,wall_velocity_output_policy_audit_pass
True,step73_full_activation_gate_coverage,True,True,full_activation_gate_coverage_audit_pass
True,step73_no_simulation,True,True,no_simulation_audit_pass
True,step73_step72_regression_guard,True,True,step73_step72_regression_guard_pass
True,step73_artifact_manifest,True,True,artifact_budget_pass
False,runtime_geometry_activation_allowed_still_closed,False,True,runtime_geometry_activation_allowed
False,wall_velocity_activation_allowed_still_closed,False,True,wall_velocity_activation_allowed
False,combined_runtime_geometry_wall_velocity_activation_allowed_still_closed,False,True,combined_runtime_geometry_wall_velocity_activation_allowed
False,real_geometry_activation_allowed_still_closed,False,True,real_geometry_activation_allowed
